order,group,lb,cap,lmax,dpm,method,nodes,seconds,witness
324,C2+C2+C3+C3+C9,7,8,8,9,search,6764953,4.56,"(0,0,0,0,1) (0,0,0,0,2) (0,0,0,0,4) (0,1,0,0,0) (1,0,0,1,0) (1,0,1,0,0) (1,0,1,1,0) (1,0,1,2,0)"
324,C2+C2+C3+C3+C3+C3,6,8,TIMEOUT,,search,,>600,
325,C13+C25,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (8,8) (3,16) (6,7) (12,14) (11,3)"
325,C5+C5+C13,8,8,8,9,pinned,0,0.00,"(1,0,1) (2,0,2) (4,0,4) (3,0,8) (1,0,3) (2,0,6) (0,1,0) (0,2,0)"
326,C2+C163,8,8,8,9,pinned,0,0.00,"(1,1) (0,2) (0,4) (0,8) (0,16) (0,32) (0,64) (0,128)"
327,C3+C109,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (1,4) (2,8) (1,16) (2,32) (1,64) (2,19)"
328,C8+C41,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (0,8) (0,16) (0,32) (0,23) (0,5)"
328,C2+C4+C41,8,8,8,9,pinned,0,0.00,"(0,1,1) (0,2,2) (0,0,4) (0,0,8) (0,0,16) (0,0,32) (0,0,23) (1,0,0)"
328,C2+C2+C2+C41,8,8,8,9,pinned,0,0.00,"(1,0,0,1) (0,0,0,2) (0,0,0,4) (0,0,0,8) (0,0,0,16) (0,0,0,32) (0,1,0,0) (0,0,1,0)"
329,C7+C47,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (1,8) (2,16) (4,32) (1,17) (2,34)"
330,C2+C3+C5+C11,8,8,8,9,pinned,0,0.00,"(1,1,1,1) (0,2,2,2) (0,1,4,4) (0,2,3,8) (0,1,1,5) (0,2,2,10) (0,1,4,9) (0,2,3,7)"
