order,group,lb,cap,lmax,dpm,method,nodes,seconds,witness
136,C2+C4+C17,7,7,7,8,pinned,0,0.00,"(0,1,1) (0,2,2) (0,0,4) (0,0,8) (0,0,16) (0,0,15) (1,0,0)"
136,C2+C2+C2+C17,7,7,7,8,pinned,0,0.00,"(1,0,0,1) (0,0,0,2) (0,0,0,4) (0,0,0,8) (0,0,0,16) (0,1,0,0) (0,0,1,0)"
137,C137,7,7,7,8,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,)"
138,C2+C3+C23,7,7,7,8,pinned,0,0.00,"(1,1,1) (0,2,2) (0,1,4) (0,2,8) (0,1,16) (0,2,9) (0,1,18)"
139,C139,7,7,7,8,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,)"
140,C4+C5+C7,7,7,7,8,pinned,0,0.00,"(1,1,1) (2,2,2) (0,4,4) (0,3,1) (0,1,2) (0,2,4) (0,4,1)"
140,C2+C2+C5+C7,7,7,7,8,pinned,0,0.00,"(1,0,1,1) (0,0,2,2) (0,0,4,4) (0,0,3,1) (0,0,1,2) (0,0,2,4) (0,1,0,0)"
141,C3+C47,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (1,4) (2,8) (1,16) (2,32) (1,17)"
142,C2+C71,7,7,7,8,pinned,0,0.00,"(1,1) (0,2) (0,4) (0,8) (0,16) (0,32) (0,64)"
143,C11+C13,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (4,4) (8,8) (5,3) (10,6) (9,12)"
144,C9+C16,7,7,7,8,pinned,0,0.00,"(1,1) (2,2) (4,4) (8,8) (7,0) (5,0) (1,0)"
144,C3+C3+C16,6,7,7,8,search,3000,0.00,"(0,0,1) (0,0,2) (0,0,4) (0,1,8) (1,0,8) (1,1,8) (1,2,8)"
144,C2+C8+C9,7,7,7,8,pinned,0,0.00,"(0,1,1) (0,2,2) (0,4,4) (0,0,8) (0,0,7) (0,0,5) (1,0,0)"
