order,primary,invariant,classes,L,DPM,control,expected_DPM,match,counts,witness,nodes,secs,note
55,5+11,55,27,5,6,,,,1:27;2:351;3:2700;4:10400;5:6395,"(1,0) (2,0) (0,1) (0,2) (0,4)",86794,0.01,
56,7+8,56,28,5,6,,,,1:28;2:378;3:3042;4:12771;5:11368,"(1,0) (2,0) (0,1) (0,2) (0,4)",112940,0.01,
56,2+4+7,2+28,29,5,6,,,,1:29;2:406;3:3419;4:15811;5:21536,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2)",196734,0.02,
56,2+2+2+7,2+2+14,31,5,6,,,,1:31;2:465;3:4256;4:22911;5:47628,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1) (0,0,0,2)",376094,0.03,
57,3+19,57,28,5,6,,,,1:28;2:378;3:3033;4:12357;5:7893,"(1,0) (0,1) (0,2) (0,4) (0,8)",105511,0.01,
58,2+29,58,29,5,6,,,,1:29;2:406;3:3402;4:15078;5:14714,"(1,0) (0,1) (0,2) (0,4) (0,8)",155368,0.02,
59,59,59,29,5,6,cyclic,6,OK,1:29;2:406;3:3393;4:14674;5:11571,(1) (2) (4) (8) (16),138425,0.02,
60,3+4+5,60,30,5,6,,,,1:30;2:435;3:3789;4:17654;5:19632,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2)",203567,0.02,
60,2+2+3+5,2+30,31,5,6,,,,1:31;2:465;3:4223;4:21468;5:32872,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1) (0,0,0,2)",288975,0.03,
61,61,61,30,5,6,cyclic,6,OK,1:30;2:435;3:3780;4:17250;5:15480,(1) (2) (4) (8) (16),174981,0.02,
62,2+31,62,31,5,6,,,,1:31;2:465;3:4205;4:20625;5:24933,"(1,0) (0,1) (0,2) (0,4) (0,8)",246145,0.03,
63,7+9,63,31,5,6,,,,1:31;2:465;3:4195;4:20109;5:19077,"(1,0) (2,0) (0,1) (0,2) (0,4)",210865,0.03,
63,3+3+7,3+21,31,5,6,,,,1:31;2:465;3:4194;4:19974;5:16152,"(1,0,0) (0,0,1) (0,1,1) (0,2,1) (0,1,3)",195613,0.02,
64,64,64,32,6,7,cyclic,7,OK,1:32;2:496;3:4650;4:23912;5:32448;6:1024,(1) (2) (4) (8) (16) (32),277735,0.04,
64,2+32,2+32,33,6,7,,,,1:33;2:528;3:5145;4:28592;5:52880;6:5120,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16)",393157,0.05,
64,4+16,4+16,33,6,7,,,,1:33;2:528;3:5145;4:28592;5:55488;6:12032,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8)",414416,0.05,
64,2+2+16,2+2+16,35,6,7,,,,1:35;2:595;3:6230;4:39316;5:105864;6:32000,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8)",761193,0.08,
64,8+8,8+8,33,6,7,,,,1:33;2:528;3:5145;4:28608;5:53712;6:17664,"(1,0) (2,0) (4,0) (0,1) (0,2) (0,4)",423861,0.05,
64,2+4+8,2+4+8,35,6,7,,,,1:35;2:595;3:6230;4:39344;5:109984;6:66816,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4)",878921,0.09,
64,2+2+2+8,2+2+2+8,39,6,7,,,,1:39;2:741;3:8808;4:67144;5:272216;6:250880,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1) (0,0,0,2) (0,0,0,4)",2615066,0.22,
64,4+4+4,4+4+4,35,6,7,,,,1:35;2:595;3:6230;4:39368;5:122304;6:125440,"(1,0,0) (2,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2)",1162341,0.11,
