order,primary,invariant,classes,L,DPM,control,expected_DPM,match,counts,witness,nodes,secs,note
116,4+29,116,58,6,7,,,,1:58;2:1653;3:29792;4:341656;5:1823976;6:1191904,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8)",28488365,4.72,
116,2+2+29,2+58,59,6,7,,,,1:59;2:1711;3:31444;4:371868;5:2178596;6:2090018,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8)",39748195,6.08,
117,9+13,117,58,6,7,,,,1:58;2:1653;3:29773;4:339588;5:1737711;6:753366,"(1,0) (2,0) (4,0) (0,1) (0,2) (0,4)",24005640,4.08,
117,3+3+13,3+39,58,6,7,,,,1:58;2:1653;3:29772;4:339318;5:1712520;6:623712,"(1,0,0) (0,0,1) (0,1,1) (0,2,1) (0,1,3) (0,0,6)",22514125,3.53,
118,2+59,118,59,6,7,,,,1:59;2:1711;3:31407;4:367923;5:2026723;6:1322864,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16)",31787321,5.38,
119,7+17,119,59,6,7,,,,1:59;2:1711;3:31388;4:365862;5:1945398;6:928294,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8)",27695749,4.91,
120,3+5+8,120,60,6,7,,,,1:60;2:1770;3:33079;4:395576;5:2242876;6:1645212,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4)",34037291,6.07,
120,2+3+4+5,2+60,61,6,7,,,,1:61;2:1830;3:34848;4:429112;5:2659100;6:3046904,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,2,0) (0,0,0,1) (0,0,0,2)",55894896,8.66,
120,2+2+2+3+5,2+2+30,63,6,7,,,,1:63;2:1953;3:38565;4:501256;5:3568376;6:6449520,"(1,0,0,0,0) (0,1,0,0,0) (0,0,1,0,0) (0,0,0,1,0) (0,0,0,0,1) (0,0,0,0,2)",95291125,12.78,
121,121,121,60,6,7,cyclic,7,OK,1:60;2:1770;3:33060;4:393525;5:2160675;6:1168585,(1) (2) (4) (8) (16) (32),32215323,5.80,
121,11+11,11+11,60,6,7,,,,1:60;2:1770;3:33060;4:393525;5:2156220;6:1274790,"(1,0) (2,0) (4,0) (0,1) (0,2) (0,4)",32969190,5.89,
122,2+61,122,61,6,7,,,,1:61;2:1830;3:34810;4:424950;5:2488746;6:1879305,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16)",42085935,7.41,
123,3+41,123,61,6,7,,,,1:61;2:1830;3:34790;4:422635;5:2386223;6:1331800,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16)",36226233,6.46,
124,4+31,124,62,6,7,,,,1:62;2:1891;3:36600;4:455820;5:2750244;6:2352944,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8)",49773218,8.68,
124,2+2+31,2+62,63,6,7,,,,1:63;2:1953;3:38490;4:492930;5:3227754;6:3903828,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8)",69101671,11.15,
125,125,125,62,6,7,cyclic,7,OK,1:62;2:1891;3:36580;4:453535;5:2652850;6:1704550,(1) (2) (4) (8) (16) (32),42679756,7.80,
125,5+25,5+25,62,6,7,,,,1:62;2:1891;3:36580;4:453560;5:2664200;6:1859350,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8)",44083233,7.96,
125,5+5+5,5+5+5,62,6,7,,,,1:62;2:1891;3:36580;4:453685;5:2720250;6:2576875,"(1,0,0) (2,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2)",49911483,8.22,
126,2+7+9,126,63,6,7,,,,1:63;2:1953;3:38450;4:488274;5:3022617;6:2482407,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4)",53372011,9.42,
126,2+3+3+7,3+42,63,6,7,,,,1:63;2:1953;3:38449;4:487993;5:2996202;6:2161044,"(1,0,0,0) (0,1,0,0) (0,0,0,1) (0,0,1,1) (0,0,2,1) (0,0,1,3)",50225943,8.08,
127,127,127,63,6,7,cyclic,7,OK,1:63;2:1953;3:38430;4:485982;5:2926476;6:1995147,(1) (2) (4) (8) (16) (32),48611737,8.98,
128,128,128,64,7,8,cyclic,8,OK,1:64;2:2016;3:40362;4:522600;5:3337152;6:3212432;7:32768,(1) (2) (4) (8) (16) (32) (64),57499192,11.05,
128,2+64,2+64,65,7,8,,,,1:65;2:2080;3:42377;4:563504;5:3888496;6:5480064;7:180224,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16) (0,32)",77034518,14.34,
128,4+32,4+32,65,7,8,,,,1:65;2:2080;3:42377;4:563472;5:3892288;6:6031968;7:491520,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8) (0,16)",81053860,14.68,
128,2+2+32,2+2+32,67,7,8,,,,1:67;2:2211;3:46598;4:651076;5:5091928;6:11425488;7:1261568,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8) (0,0,16)",131737401,21.72,
128,8+16,8+16,65,7,8,,,,1:65;2:2080;3:42377;4:563488;5:3891696;6:5885440;7:905216,"(1,0) (2,0) (4,0) (0,1) (0,2) (0,4) (0,8)",82141021,14.79,
128,2+4+16,2+4+16,67,7,8,,,,1:67;2:2211;3:46598;4:651040;5:5102480;6:12469760;7:3223552,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8)",146359702,23.98,
128,2+2+2+16,2+2+2+16,71,7,8,,,,1:71;2:2485;3:55832;4:851096;5:7966056;6:29767360;7:11354112,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1) (0,0,0,2) (0,0,0,4) (0,0,0,8)",343946898,49.69,
128,2+8+8,2+8+8,67,7,8,,,,1:67;2:2211;3:46598;4:651072;5:5098848;6:12128256;7:4866048,"(1,0,0) (0,1,0) (0,2,0) (0,4,0) (0,0,1) (0,0,2) (0,0,4)",154257550,25.47,
128,4+4+8,4+4+8,67,7,8,,,,1:67;2:2211;3:46598;4:650968;5:5121920;6:14564352;7:8404992,"(1,0,0) (2,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4)",186678185,29.86,
128,2+2+4+8,2+2+4+8,71,7,8,,,,1:71;2:2485;3:55832;4:851152;5:7993864;6:31673856;7:25305088,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,2,0) (0,0,0,1) (0,0,0,2) (0,0,0,4)",437375401,64.98,
128,2+2+2+2+8,2+2+2+2+8,79,7,8,,,,1:79;2:3081;3:77692;4:1366040;5:16120272;6:100481920;7:131002368,"(1,0,0,0,0) (0,1,0,0,0) (0,0,1,0,0) (0,0,0,1,0) (0,0,0,0,1) (0,0,0,0,2) (0,0,0,0,4)",1847683200,249.42,
128,2+4+4+4,2+4+4+4,71,7,8,,,,1:71;2:2485;3:55832;4:851200;5:8059240;6:36314880;7:50792448,"(1,0,0,0) (0,1,0,0) (0,2,0,0) (0,0,1,0) (0,0,2,0) (0,0,0,1) (0,0,0,2)",663256047,96.85,
128,2+2+2+4+4,2+2+2+4+4,79,7,8,,,,1:79;2:3081;3:77692;4:1366728;5:16198896;6:104477184;7:225533952,"(1,0,0,0,0) (0,1,0,0,0) (0,0,1,0,0) (0,0,0,1,0) (0,0,0,2,0) (0,0,0,0,1) (0,0,0,0,2)",2687918398,361.53,
128,2+2+2+2+2+4,2+2+2+2+2+4,,,,,,TIMEOUT,,,,1800,timed out
128,2+2+2+2+2+2+2,2+2+2+2+2+2+2,,7,8,elem2,8,lemma,,,,,"value by NOTE Lemma 2 (linear independence), search skipped"
129,3+43,129,64,7,8,,,,1:64;2:2016;3:40341;4:520044;5:3213903;6:2273544;7:6,"(1,1) (2,2) (1,4) (2,8) (1,11) (1,16) (1,21)",54549305,10.20,
130,2+5+13,130,65,7,8,,,,1:65;2:2080;3:42336;4:558630;5:3667216;6:3666690;7:384,"(1,0,0) (0,1,1) (0,2,2) (0,1,3) (0,4,4) (0,2,5) (0,2,6)",73598094,13.74,
131,131,131,65,7,8,cyclic,8,OK,1:65;2:2080;3:42315;4:556075;5:3547050;6:2797990;7:65,(1) (2) (4) (8) (16) (32) (64),63574639,12.51,
132,3+4+11,132,66,7,8,,,,1:66;2:2145;3:44373;4:596360;5:4009505;6:4252078;7:5172,"(0,1,0) (0,2,0) (1,0,1) (2,0,2) (1,0,3) (1,0,4) (1,0,5)",84112429,15.47,
132,2+2+3+11,2+66,67,7,8,,,,1:67;2:2211;3:46517;4:641350;5:4641863;6:6724742;7:13824,"(1,0,0,0) (0,1,0,0) (0,0,1,1) (0,0,2,2) (0,0,1,3) (0,0,1,4) (0,0,1,5)",113824930,19.13,
133,7+19,133,66,7,8,,,,1:66;2:2145;3:44352;4:593838;5:3894993;6:3241098;7:162,"(1,1) (2,1) (2,2) (2,3) (2,5) (6,7) (3,9)",71931395,13.95,
134,2+67,134,67,7,8,,,,1:67;2:2211;3:46475;4:636207;5:4401111;6:4869909;7:3267,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16) (0,32)",93984665,17.59,
135,5+27,135,67,7,8,,,,1:67;2:2211;3:46453;4:633386;5:4258318;6:3783558;7:252,"(0,1) (1,1) (2,2) (4,5) (4,7) (3,10) (2,13)",81936886,15.79,
135,3+5+9,3+45,67,6,7,,,,1:67;2:2211;3:46452;4:633074;5:4220095;6:3391470,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4)",77195273,14.28,
135,3+3+3+5,3+3+15,67,6,7,,,,1:67;2:2211;3:46449;4:632138;5:4105426;6:2186496,"(1,0,0,0) (0,0,0,1) (0,1,0,1) (0,0,1,1) (0,2,2,1) (0,2,1,2)",64390994,9.46,
136,8+17,136,68,7,8,,,,1:68;2:2278;3:48642;4:677888;5:4811608;6:5806848;7:61216,"(1,0) (2,0) (4,0) (0,1) (0,2) (0,4) (0,8)",109779084,20.59,
136,2+4+17,2+68,69,7,8,,,,1:69;2:2346;3:50919;4:727168;5:5530264;6:9396736;7:219448,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8)",156936866,27.48,
136,2+2+2+17,2+2+34,71,7,8,,,,1:71;2:2485;3:55676;4:832288;5:7083832;6:17672032;7:774144,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1) (0,0,0,2) (0,0,0,4) (0,0,0,8)",267026908,40.43,
137,137,137,68,7,8,cyclic,8,OK,1:68;2:2278;3:48620;4:675087;5:4670784;6:4502858;7:952,(1) (2) (4) (8) (16) (32) (64),94087343,18.58,
138,2+3+23,138,69,7,8,,,,1:69;2:2346;3:50875;4:721501;5:5239322;6:6308236;7:6754,"(1,0,0) (0,0,1) (0,1,3) (0,2,5) (0,2,7) (0,2,9) (0,1,10)",118696781,22.51,
139,139,139,69,7,8,cyclic,8,OK,1:69;2:2346;3:50853;4:718704;5:5102757;6:5236686;7:1725,(1) (2) (4) (8) (16) (32) (64),106914341,21.43,
140,4+5+7,140,70,7,8,,,,1:70;2:2415;3:53176;4:767389;5:5725288;6:7729278;7:36174,"(1,0,0) (2,0,0) (0,1,1) (0,2,1) (0,2,2) (0,4,2) (0,2,3)",143077135,26.80,
140,2+2+5+7,2+70,71,7,8,,,,1:71;2:2485;3:55590;4:821281;5:6537528;6:11721870;7:95304,"(1,0,0,0) (0,1,0,0) (0,0,1,1) (0,0,2,1) (0,0,2,2) (0,0,4,2) (0,0,2,3)",195962478,34.09,
141,3+47,141,70,7,8,,,,1:70;2:2415;3:53153;4:764290;5:5552246;6:5884872;7:2070,"(0,1) (0,2) (1,4) (2,8) (1,13) (1,17) (1,21)",119018863,23.51,
142,2+71,142,71,7,8,,,,1:71;2:2485;3:55545;4:815325;5:6226857;6:8566145;7:25800,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16) (0,32)",155720458,30.34,
143,11+13,143,71,7,8,,,,1:71;2:2485;3:55522;4:812240;5:6061677;6:7048746;7:4152,"(1,0) (0,1) (1,2) (8,3) (2,4) (7,5) (5,6)",138618745,28.44,
144,9+16,144,72,7,8,,,,1:72;2:2556;3:57983;4:865351;5:6753566;6:9777360;7:201220,"(1,0) (2,0) (4,0) (0,1) (0,2) (0,4) (0,8)",162405571,33.03,
144,2+8+9,2+72,73,7,8,,,,1:73;2:2628;3:60538;4:924093;5:7677240;6:15049067;7:821216,"(1,0,0) (0,1,0) (0,2,0) (0,4,0) (0,0,1) (0,0,2) (0,0,4)",250868853,44.69,
144,4+4+9,4+36,73,7,8,,,,1:73;2:2628;3:60538;4:924045;5:7678224;6:16185741;7:1351704,"(1,0,0) (2,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4)",271773410,47.17,
144,2+2+4+9,2+2+36,75,7,8,,,,1:75;2:2775;3:65863;4:1048917;5:9668808;6:28216610;7:3776800,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,2,0) (0,0,0,1) (0,0,0,2) (0,0,0,4)",451198015,71.96,
144,2+2+2+2+9,2+2+2+18,79,7,8,,,,1:79;2:3081;3:77401;4:1330005;5:14293944;6:63760704;7:17418240,"(1,0,0,0,0) (0,1,0,0,0) (0,0,1,0,0) (0,0,0,1,0) (0,0,0,0,1) (0,0,0,0,2) (0,0,0,0,4)",1035370056,146.82,
144,3+3+16,3+48,72,7,8,,,,1:72;2:2556;3:57982;4:865025;5:6713927;6:9095890;7:37128,"(0,0,1) (0,0,2) (0,0,4) (1,0,8) (0,1,8) (1,1,8) (2,1,8)",153010342,30.19,
144,2+3+3+8,6+24,73,7,8,,,,1:73;2:2628;3:60537;4:923793;5:7646238;6:14289081;7:191144,"(1,0,0,0) (0,0,0,1) (0,0,0,2) (0,1,0,4) (0,0,1,4) (0,1,1,4) (0,2,1,4)",210262130,39.40,
144,3+3+4+4,12+12,73,7,8,,,,1:73;2:2628;3:60537;4:923745;5:7641774;6:15650751;7:355788,"(0,0,1,0) (0,0,2,0) (0,0,0,1) (1,0,0,2) (0,1,0,2) (1,1,0,2) (2,1,0,2)",222475406,41.27,
144,2+2+3+3+4,2+6+12,75,7,8,,,,1:75;2:2775;3:65862;4:1048681;5:9650604;6:27535270;7:1093348,"(1,0,0,0,0) (0,1,0,0,0) (0,0,0,0,1) (0,0,1,0,2) (0,0,0,1,2) (0,0,1,1,2) (0,0,2,1,2)",385553140,64.04,
144,2+2+2+2+3+3,2+2+6+6,79,7,8,,,,1:79;2:3081;3:77400;4:1329945;5:14290920;6:63571200;7:5806080,"(1,0,0,0,0,0) (0,1,0,0,0,0) (0,0,1,0,0,0) (0,0,0,1,1,0) (0,0,0,1,0,1) (0,0,0,1,1,1) (0,0,0,1,2,1)",971216274,125.31,
145,5+29,145,72,7,8,,,,1:72;2:2556;3:57960;4:862295;5:6596240;6:8157730;7:6216,"(0,1) (1,1) (0,2) (2,2) (4,3) (3,7) (2,14)",156714527,31.70,
146,2+73,146,73,7,8,,,,1:73;2:2628;3:60492;4:917892;5:7343244;6:11162376;7:56484,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16) (0,32)",198721142,40.39,
147,3+49,147,73,7,8,,,,1:73;2:2628;3:60468;4:914505;5:7146426;6:8937642;7:7770,"(0,1) (1,1) (2,1) (1,3) (0,6) (0,12) (0,24)",171796382,34.64,
147,3+7+7,7+21,73,7,8,,,,1:73;2:2628;3:60468;4:914526;5:7151382;6:8397648;7:2016,"(1,1,0) (2,2,0) (1,0,1) (1,2,1) (2,0,2) (1,3,2) (1,6,3)",168750192,34.36,
148,4+37,148,74,7,8,,,,1:74;2:2701;3:63072;4:972648;5:7958808;6:12981213;7:184113,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8) (0,16)",229036144,45.37,
148,2+2+37,2+74,75,7,8,,,,1:75;2:2775;3:65772;4:1036548;5:8993628;6:18907983;7:473724,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8) (0,0,16)",309989418,58.00,
149,149,149,74,7,8,cyclic,8,OK,1:74;2:2701;3:63048;4:969289;5:7767114;6:10596652;7:17834,(1) (2) (4) (8) (16) (32) (64),198365814,41.55,
150,2+3+25,150,75,7,8,,,,1:75;2:2775;3:65724;4:1029738;5:8602670;6:14205240;7:67920,"(1,0,0) (0,0,1) (0,1,1) (0,2,1) (0,1,3) (0,0,6) (0,0,12)",248771955,49.36,
150,2+3+5+5,5+30,75,7,8,,,,1:75;2:2775;3:65724;4:1029768;5:8615040;6:14836920;7:1680,"(1,0,1,0) (0,1,1,0) (1,0,0,1) (1,2,2,1) (1,1,3,1) (0,2,1,2) (0,1,4,2)",256843980,49.45,
