0,0,1073741824,18035055,58520,2256,0:1 1:1 10:0 756:0 757:0 3250:0 3186:0 3187:0 3160:1 7651:0 7560:0 7561:0 20007:0 59548401:0 59548377:0 45773612811:0 45775397187:0
1,205891132094649,1073741824,18034598,43501,2254,237617431723407:0
2,617673396283947,1073741824,18036851,47449,2225,-
3,823564528378596,1073741824,18041721,0,2275,-
4,1853020188851841,1073741824,18029953,0,2256,-
5,2058911320946490,1073741824,18030480,0,2294,-
6,2470693585135788,1073741824,18029668,18671,2256,-
7,2676584717230437,1073741824,18018460,0,2422,-
8,5559060566555523,1073741824,18039054,0,2301,-
9,5764951698650172,1073741824,18043995,71087,2338,-
10,6176733962839470,1073741824,18013504,0,2463,-
11,6382625094934119,1073741824,18035088,0,2247,-
12,7412080755407364,1073741824,18038270,0,2243,-
13,7617971887502013,1073741824,18017067,0,2253,-
14,8029754151691311,1073741824,18046747,0,2233,-
15,8235645283785960,1073741824,18053964,0,2333,-
16,16677181699666569,1073741824,18030870,5912,2331,-
17,16883072831761218,1073741824,18026184,29578,2277,-
18,17294855095950516,1073741824,18034370,40141,2279,-
19,17500746228045165,1073741824,18024447,0,2256,-
20,18530201888518410,1073741824,18031263,0,2257,-
21,18736093020613059,1073741824,18048989,0,2235,-
22,19147875284802357,1073741824,18039672,0,2227,-
23,19353766416897006,1073741824,18038101,0,2248,-
24,22236242266222092,1073741824,18043955,0,2271,-
25,22442133398316741,1073741824,18048222,0,2254,-
26,22853915662506039,1073741824,18035896,0,2261,-
27,23059806794600688,1073741824,18036694,0,2276,-
28,24089262455073933,1073741824,18042124,0,2238,-
29,24295153587168582,1073741824,18034472,29898,2235,-
30,24706935851357880,1073741824,18037740,10218,2233,-
31,24912826983452529,1073741824,18047942,65264,2247,25005505715035632:0 25005505715035875:0 25005505715035876:0 25005505715017011:0 25005505715017012:0 25005505715017005:0 25005505715017002:0 25005505715016277:0 25005505715016276:0 25005505715016255:0 25005505715016256:0 25006879956022552:0 25006879956022555:0 25006879956023275:0 25006879956023281:0 25006879956023280:0 24991943720875285:0 24991943720875257:0 24991943720860930:0 24991943715007537:0 24991943715007536:0 24991943715007650:0 24991943420078307:0 24991943420078301:0 24991943420078302:0
