2,53,0,0,0,0,0,8
6,1,0,0,0,0,0,0
10,3,0,0,0,0,0,0
14,3,0,0,0,0,0,0
18,209,0,0,0,0,0,0
22,1,0,0,0,0,0,0
26,1,0,0,0,0,0,0
30,1,0,0,0,0,0,0
34,1,0,0,0,0,0,0
38,3,0,0,0,0,0,0
42,3,0,0,0,0,0,0
46,3,0,0,0,0,0,0
50,1,0,0,0,0,0,0
54,3,0,0,0,0,0,0
58,3,0,0,0,0,0,0
62,9,0,0,0,0,0,0
66,21,0,0,0,0,0,0
70,1,0,0,0,0,0,0
74,3,0,0,0,0,0,0
78,9,0,0,0,0,0,0
82,3,0,0,0,0,0,0
86,1,0,0,0,0,0,0
90,3,0,0,0,0,0,0
94,3,0,0,0,0,0,0
98,1,0,0,0,0,0,0
102,21,0,0,0,0,0,0
106,3,0,0,0,0,0,0
110,1,0,0,0,0,0,0
114,9,0,0,0,0,0,0
118,3,0,0,0,0,0,0
122,913,0,0,0,0,0,1
126,7,0,0,0,0,0,0
130,3,0,0,0,0,0,0
134,1,0,0,0,0,0,0
138,17,0,0,0,0,0,0
142,11,0,0,0,0,0,0
146,3,0,0,0,0,0,4
150,1,0,0,0,0,0,0
154,1,0,0,0,0,0,0
158,99,0,0,0,0,0,0
162,203,0,0,0,0,0,0
166,11,0,0,0,0,0,0
170,1,0,0,0,0,0,0
174,1,0,0,0,0,0,0
178,3,0,0,0,0,0,0
182,3,0,0,0,0,0,0
186,1,0,0,0,0,0,0
190,3,0,0,0,0,0,0
194,1,0,0,0,0,0,0
198,7,0,0,0,0,0,0
202,1,0,0,0,0,0,0
206,3,0,0,0,0,0,0
210,3,0,0,0,0,0,0
214,7,0,0,0,0,0,0
218,9,0,0,0,0,0,0
222,3,0,0,0,0,0,0
226,1,0,0,0,0,0,0
230,3,0,0,0,0,0,0
234,1,0,0,0,0,0,0
238,1,0,0,0,0,0,0
242,1,0,0,0,0,0,0
246,11,0,0,0,0,0,0
250,3,0,0,0,0,0,0
254,1,0,0,0,0,0,0
258,29,0,0,0,0,0,0
262,9,0,0,0,0,0,0
266,1,0,0,0,0,0,0
270,1,0,0,0,0,0,0
274,3,0,0,0,0,0,0
278,1,0,0,0,0,0,0
