solution 11: n=35 disc=1  triangles=[(0, 1, 5), (3, 4, 8), (3, 7, 2), (3, 7, 8), (6, 1, 2), (6, 1, 5), (6, 4, 5), (6, 4, 8), (6, 7, 2), (6, 13, 11), (6, 13, 17), (6, 16, 8), (6, 16, 17), (9, 10, 11), (9, 13, 11), (9, 13, 14), (9, 16, 8), (9, 16, 14), (12, 13, 17), (15, 16, 14)]  empty=[(0, 1, 5), (3, 4, 8), (6, 7, 2), (9, 10, 11), (12, 13, 17), (15, 16, 14)]
solution 12: n=35 disc=1  triangles=[(0, 1, 5), (3, 4, 8), (3, 7, 2), (3, 7, 8), (6, 7, 2), (6, 16, 2), (6, 16, 11), (9, 4, 8), (9, 4, 11), (9, 10, 11), (12, 1, 2), (12, 1, 5), (12, 13, 5), (12, 16, 2), (12, 16, 17), (15, 4, 5), (15, 4, 11), (15, 13, 5), (15, 13, 14), (15, 16, 11)]  empty=[(0, 1, 5), (3, 4, 8), (6, 7, 2), (9, 10, 11), (12, 16, 17), (15, 13, 14)]
solution 13: n=35 disc=1  triangles=[(0, 1, 5), (3, 4, 8), (3, 7, 2), (3, 7, 8), (6, 7, 2), (6, 16, 2), (6, 16, 11), (9, 4, 8), (9, 4, 11), (9, 10, 11), (12, 4, 5), (12, 4, 11), (12, 13, 5), (12, 16, 11), (12, 16, 17), (15, 1, 2), (15, 1, 5), (15, 13, 5), (15, 13, 14), (15, 16, 2)]  empty=[(0, 1, 5), (3, 4, 8), (6, 7, 2), (9, 10, 11), (12, 16, 17), (15, 13, 14)]
solution 14: n=35 disc=1  triangles=[(0, 1, 5), (3, 4, 8), (3, 7, 2), (3, 7, 8), (6, 7, 2), (6, 16, 2), (6, 16, 11), (9, 4, 8), (9, 4, 11), (9, 10, 11), (12, 13, 11), (12, 16, 11), (12, 16, 17), (15, 1, 2), (15, 1, 5), (15, 4, 5), (15, 4, 11), (15, 13, 11), (15, 13, 14), (15, 16, 2)]  empty=[(0, 1, 5), (3, 4, 8), (6, 7, 2), (9, 10, 11), (12, 16, 17), (15, 13, 14)]
solution 15: n=35 disc=1  triangles=[(0, 1, 5), (3, 4, 8), (3, 7, 2), (3, 7, 8), (6, 7, 2), (6, 16, 2), (6, 16, 11), (9, 4, 8), (9, 4, 11), (9, 10, 11), (12, 13, 2), (12, 16, 2), (12, 16, 17), (15, 1, 2), (15, 1, 5), (15, 4, 5), (15, 4, 11), (15, 13, 2), (15, 13, 14), (15, 16, 11)]  empty=[(0, 1, 5), (3, 4, 8), (6, 7, 2), (9, 10, 11), (12, 16, 17), (15, 13, 14)]
solution 16: n=35 disc=1  triangles=[(0, 1, 11), (0, 10, 5), (0, 10, 11), (3, 4, 2), (6, 7, 11), (9, 1, 2), (9, 1, 8), (9, 4, 2), (9, 4, 5), (9, 10, 5), (12, 1, 11), (12, 1, 17), (12, 7, 11), (12, 7, 14), (12, 13, 14), (15, 1, 8), (15, 1, 17), (15, 7, 8), (15, 7, 14), (15, 16, 17)]  empty=[(0, 10, 5), (3, 4, 2), (6, 7, 11), (9, 1, 8), (12, 13, 14), (15, 16, 17)]
solution 17: n=35 disc=1  triangles=[(0, 1, 11), (0, 10, 5), (0, 10, 11), (3, 4, 2), (6, 7, 11), (9, 1, 2), (9, 1, 17), (9, 4, 2), (9, 4, 5), (9, 10, 5), (9, 16, 8), (9, 16, 17), (12, 1, 11), (12, 1, 17), (12, 7, 11), (12, 7, 14), (12, 13, 14), (15, 7, 8), (15, 7, 14), (15, 16, 8)]  empty=[(0, 10, 5), (3, 4, 2), (6, 7, 11), (9, 1, 17), (12, 13, 14), (15, 16, 8)]
solution 18: n=35 disc=1  triangles=[(0, 1, 5), (3, 4, 14), (3, 13, 8), (3, 13, 14), (3, 16, 2), (3, 16, 8), (6, 7, 8), (6, 13, 8), (6, 13, 11), (9, 10, 17), (9, 16, 8), (9, 16, 17), (12, 10, 11), (12, 10, 17), (12, 13, 11), (15, 1, 2), (15, 1, 5), (15, 4, 5), (15, 4, 14), (15, 16, 2)]  empty=[(0, 1, 5), (3, 16, 2), (6, 7, 8), (9, 10, 17), (12, 13, 11), (15, 4, 14)]
solution 19: n=35 disc=1  triangles=[(0, 1, 5), (3, 4, 14), (3, 13, 8), (3, 13, 14), (3, 16, 2), (3, 16, 8), (6, 7, 8), (6, 13, 8), (6, 13, 11), (9, 10, 17), (9, 16, 8), (9, 16, 17), (12, 10, 11), (12, 10, 17), (12, 13, 11), (15, 1, 2), (15, 1, 5), (15, 4, 5), (15, 4, 14), (15, 16, 2)]  empty=[(0, 1, 5), (3, 4, 14), (6, 7, 8), (9, 10, 17), (12, 13, 11), (15, 16, 2)]
solution 20: n=35 disc=1  triangles=[(0, 1, 5), (3, 4, 14), (3, 13, 2), (3, 13, 14), (6, 7, 8), (6, 13, 2), (6, 13, 11), (6, 16, 2), (6, 16, 8), (9, 10, 17), (9, 16, 8), (9, 16, 17), (12, 10, 11), (12, 10, 17), (12, 13, 11), (15, 1, 2), (15, 1, 5), (15, 4, 5), (15, 4, 14), (15, 16, 2)]  empty=[(0, 1, 5), (3, 13, 2), (6, 7, 8), (9, 16, 17), (12, 10, 11), (15, 4, 14)]
