disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 13 9 8 3 2 | 0 1 3 | 0 2 1 8 4 | 0 3 8 6 5 | 0 4 6 | 0 5 4 8 7 | 0 6 8 | 0 7 6 4 3 1 9 | 0 8 1 13 12 10 | 0 9 12 11 | 0 10 12 | 0 11 10 9 13 | 0 12 9 1 14 | 0 13 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 13 8 7 2 | 0 1 7 3 | 0 2 7 5 4 | 0 3 5 | 0 4 3 7 6 | 0 5 7 | 0 6 5 3 2 1 8 | 0 7 1 13 12 10 9 | 0 8 10 | 0 9 8 12 11 | 0 10 12 | 0 11 10 8 13 | 0 12 8 1 14 | 0 13 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 5 3 2 | 0 1 3 | 0 2 1 5 4 | 0 3 5 | 0 4 3 1 14 7 6 | 0 5 7 | 0 6 5 14 8 | 0 7 14 12 9 | 0 8 12 11 10 | 0 9 11 | 0 10 9 12 | 0 11 9 8 14 13 | 0 12 14 | 0 13 12 8 7 5 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 13 11 10 2 | 0 1 10 9 7 3 | 0 2 7 5 4 | 0 3 5 | 0 4 3 7 6 | 0 5 7 | 0 6 5 3 2 9 8 | 0 7 9 | 0 8 7 2 10 | 0 9 2 1 11 | 0 10 1 13 12 | 0 11 13 | 0 12 11 1 14 | 0 13 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 13 11 10 2 | 0 1 10 3 | 0 2 10 8 4 | 0 3 8 6 5 | 0 4 6 | 0 5 4 8 7 | 0 6 8 | 0 7 6 4 3 10 9 | 0 8 10 | 0 9 8 3 2 1 11 | 0 10 1 13 12 | 0 11 13 | 0 12 11 1 14 | 0 13 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 4 3 2 | 0 1 3 | 0 2 1 4 | 0 3 1 14 6 5 | 0 4 6 | 0 5 4 14 7 | 0 6 14 12 8 | 0 7 12 10 9 | 0 8 10 | 0 9 8 12 11 | 0 10 12 | 0 11 10 8 7 14 13 | 0 12 14 | 0 13 12 7 6 4 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 5 3 2 | 0 1 3 | 0 2 1 5 4 | 0 3 5 | 0 4 3 1 14 7 6 | 0 5 7 | 0 6 5 14 8 | 0 7 14 12 9 | 0 8 12 10 | 0 9 12 11 | 0 10 12 | 0 11 10 9 8 14 13 | 0 12 14 | 0 13 12 8 7 5 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 13 11 10 3 2 | 0 1 3 | 0 2 1 10 5 4 | 0 3 5 | 0 4 3 10 9 7 6 | 0 5 7 | 0 6 5 9 8 | 0 7 9 | 0 8 7 5 10 | 0 9 5 3 1 11 | 0 10 1 13 12 | 0 11 13 | 0 12 11 1 14 | 0 13 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 5 3 2 | 0 1 3 | 0 2 1 5 4 | 0 3 5 | 0 4 3 1 14 7 6 | 0 5 7 | 0 6 5 14 8 | 0 7 14 12 10 9 | 0 8 10 | 0 9 8 12 11 | 0 10 12 | 0 11 10 8 14 13 | 0 12 14 | 0 13 12 8 7 5 1
disc=3 n=15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 | 0 14 13 11 7 5 2 | 0 1 5 3 | 0 2 5 4 | 0 3 5 | 0 4 3 2 1 7 6 | 0 5 7 | 0 6 5 1 11 9 8 | 0 7 9 | 0 8 7 11 10 | 0 9 11 | 0 10 9 7 1 13 12 | 0 11 13 | 0 12 11 1 14 | 0 13 1
