2,617673396283947,1073741824,18036851,47449,2665,-
6,2470693585135788,1073741824,18029668,18671,3602,-
10,6176733962839470,1073741824,18013504,0,3527,-
14,8029754151691311,1073741824,18046747,0,2645,-
18,17294855095950516,1073741824,18034370,40141,3330,-
22,19147875284802357,1073741824,18039672,0,3003,-
26,22853915662506039,1073741824,18035896,0,2897,-
30,24706935851357880,1073741824,18037740,10218,3537,-
34,50649218495283654,1073741824,18037757,0,3415,-
38,52502238684135495,1073741824,18060031,0,3147,-
42,56208279061839177,1073741824,18028354,0,2811,-
46,58061299250691018,1073741824,18040185,0,3184,-
50,67326400194950223,1073741824,18028758,0,3380,-
54,69179420383802064,1073741824,18030337,0,3128,-
58,72885460761505746,1073741824,18023693,0,3247,-
62,74738480950357587,1073741824,18011249,0,3109,-
66,150712308693283068,1073741824,18031144,0,2245,-
70,152565328882134909,1073741824,18037426,0,2322,-
74,156271369259838591,1073741824,18043659,0,2267,-
78,158124389448690432,1073741824,18046150,0,2239,-
82,167389490392949637,1073741824,18019037,0,2216,-
86,169242510581801478,1073741824,18023395,0,2212,-
90,172948550959505160,1073741824,18028271,0,2219,-
94,174801571148357001,1073741824,18030461,0,2417,-
98,200743853792282775,1073741824,18044030,0,2301,-
102,202596873981134616,1073741824,18014475,0,2280,-
106,206302914358838298,1073741824,18029340,0,2293,-
110,208155934547690139,1073741824,18058872,0,2397,-
114,217421035491949344,1073741824,18031476,0,2349,-
118,219274055680801185,1073741824,18040998,0,2491,-
122,222980096058504867,1073741824,18024181,0,2388,-
126,224833116247356708,1073741824,18046751,0,2422,-
130,450901579287281310,1073741824,18032340,0,2274,-
134,452754599476133151,1073741824,18019917,0,2257,-
138,456460639853836833,1073741824,18035386,0,2309,-
142,458313660042688674,1073741824,18022605,0,2308,-
146,467578760986947879,1073741824,18055525,0,2312,-
150,469431781175799720,1073741824,18035397,0,2324,-
154,473137821553503402,1073741824,18050608,0,2359,-
158,474990841742355243,1073741824,18041292,0,2308,-
162,500933124386281017,1073741824,18041942,0,2292,-
166,502786144575132858,1073741824,18039272,0,2326,-
170,506492184952836540,1073741824,18021823,0,2377,-
