x,Lx,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,U2,U4,U6,U8,U10,U12,U14,U16,U18,U20,U22,U24,U26,U28,U30,U32,T012,T024,T013,Q0123,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254,c255
206000000,-9966,3706,-1312,7536,84,8144,-1880,8248,5720,17768,-2212,12826,9564,-5560,3588,14332,-10424,-2178,590,-4112,-1020,12830,11766,15238,16662,9146,15792,-1030,-1136,-21576,5096,3124,-6390,286,-3546,-13446,7398,-5194,10200,8576,-11904,-2018,1448,6206,13778,15766,-6984,-1848,-3688,-14096,-15134,832,-34046,802590,803560,803689,803719,804076,804264,804733,803724,805190,803823,805251,805134,804927,805270,804836,804811,805533,805240,804490,803738,804605,805335,803648,805577,804591,805646,804697,805555,804555,803213,805527,803716,805136,806498,804254,806613,806011,805310,803139,804614,804531,804976,804384,804628,803626,802821,804929,806286,804271,804524,804923,804824,804582,803679,805160,805389,804877,804225,803883,803611,805462,805358,804255,803901,803870,805030,805970,806604,804747,804047,807330,803348,804975,805570,804925,804619,804218,803647,803872,805239,804180,804120,804455,804053,803725,804339,803429,806287,804461,804100,803312,802946,804700,805596,806270,805443,803498,804825,805341,803084,805301,804051,804189,804138,805075,804407,803683,805078,804724,804955,804701,804486,804830,803375,805046,804815,805225,804456,804123,805760,806536,805336,804729,805600,804118,804205,805160,804797,803560,803848,804651,804738,804937,806121,805464,805923,805583,804405,804689,804091,805310,804982,802932,804432,806101,805627,806831,804015,804902,803677,802799,805638,804204,804101,803564,804994,804547,804281,805293,804440,803764,806076,804540,804065,804534,804234,804726,804497,803769,803532,803680,805088,804935,803437,805367,805427,804052,803901,804429,803503,804900,805082,804519,803798,803328,805636,805798,806272,806410,804971,804068,806056,803538,804359,805088,804783,805241,804733,802962,804016,806753,805276,803654,803818,804087,804911,804956,804494,805660,804485,804313,805170,803576,804428,804944,804507,803492,803832,806670,805371,804264,806474,805111,804681,804399,805046,804633,803894,806728,803421,804809,805312,805070,805076,804321,804373,802600,807086,806037,805306,804615,805152,805103,805306,804921,804238,805563,805583,803231,805073,804430,805546,804186,805771,804797,804636
206500000,-10210,3650,66,7828,528,8526,-1230,7562,6790,16974,-2824,12946,9594,-5526,3936,15098,-8820,-1560,-200,-4718,-646,13084,12392,16008,17172,9420,15578,-512,-960,-20294,5194,2442,-6536,958,-2772,-13222,7614,-5882,10268,9080,-11058,-2762,1236,6258,14290,16074,-6800,-1946,-3498,-13846,-15092,1056,-32888,804656,805500,805648,805633,806102,806274,806651,805715,807148,805784,807217,807109,806852,807227,806786,806788,807515,807106,806441,805678,806571,807300,805644,807502,806514,807605,806566,807533,806546,805134,807493,805625,807159,808468,806074,808511,807987,807222,805100,806587,806548,806913,806394,806576,805574,804767,806782,808223,806178,806492,806901,806755,806426,805683,807076,807396,806853,806155,805771,805558,807410,807378,806187,805843,805830,807103,807885,808605,806604,805980,809245,805238,806911,807542,806902,806490,806159,805626,805820,807217,806108,806128,806414,806031,805671,806383,805452,808254,806412,806088,805300,804922,806600,807499,808161,807469,805418,806744,807304,805032,807299,805982,806148,806098,806990,806350,805674,807021,806666,806854,806692,806448,806773,805343,806967,806733,807143,806361,806078,807722,808469,807278,806752,807548,806049,806178,807120,806803,805500,805781,806728,806733,806830,808052,807428,807859,807473,806335,806654,806037,807267,806872,804894,806330,808112,807479,808768,806009,806890,805670,804697,807503,806156,806051,805543,806939,806462,806195,807295,806405,805774,808022,806510,805972,806466,806170,806685,806450,805688,805532,805660,807130,806926,805455,807317,807407,805984,805844,806380,805491,806914,807012,806444,805744,805263,807545,807733,808242,808337,806922,806040,808080,805451,806358,806997,806681,807204,806711,804894,805986,808680,807235,805658,805710,806048,806856,806837,806483,807688,806354,806222,807104,805549,806407,806930,806470,805416,805783,808626,807266,806208,808476,807098,806651,806391,806934,806611,805848,808616,805386,806756,807222,807052,806976,806282,806379,804533,809038,807992,807301,806552,807116,807035,807245,806885,806300,807493,807571,805199,807002,806433,807516,806152,807771,806803,806591
207000000,-10366,3988,-838,7194,1092,8396,-786,8848,7000,16264,-1996,13106,9602,-4998,4036,15440,-8298,-1512,-314,-5334,-526,12190,12218,16514,17372,8592,15782,-352,196,-19842,5196,2266,-6546,-176,-2172,-13292,7602,-5502,10520,8588,-10888,-3014,2002,6666,14438,15502,-5428,-1750,-3688,-13460,-15960,672,-32996,806519,807400,807616,807541,808073,808254,808629,807644,809071,807753,809155,809044,808903,809199,808708,808720,809472,809096,808433,807655,808513,809231,807548,809435,808530,809642,808467,809469,808513,807077,809498,807515,809095,810469,808048,810463,809922,809188,807081,808494,808460,808830,808277,808559,807560,806659,808749,810184,808185,808511,808881,808740,808366,807622,809043,809393,808816,808092,807705,807522,809400,809335,808006,807837,807710,809049,809780,810621,808641,807887,811188,807186,808893,809411,808835,808497,808128,807608,807727,809100,808024,808048,808330,807960,807599,808311,807386,810266,808398,808007,807185,806833,808579,809472,810201,809424,807489,808668,809277,806999,809256,807894,808143,808062,808869,808313,807658,808886,808658,808794,808687,808434,808734,807311,808904,808695,809136,808268,808048,809660,810453,809291,808794,809478,807933,808033,809144,808749,807400,807757,808711,808732,808751,809945,809473,809784,809497,808335,808589,807939,809269,808737,806882,808293,810092,809415,810677,807920,808777,807605,806671,809498,808166,807979,807521,808967,808395,808150,809237,808328,807664,809932,808480,807911,808382,808144,808655,808333,807612,807460,807633,809093,808845,807359,809302,809441,807972,807765,808269,807465,808816,808922,808409,807728,807229,809507,809699,810186,810343,808937,807960,810056,807447,808394,808916,808636,809191,808641,806818,807989,810614,809186,807547,807672,808017,808880,808818,808465,809572,808343,808196,809028,807473,808415,808819,808477,807339,807727,810553,809304,808157,810413,809079,808592,808352,808884,808555,807808,810544,807325,808754,809221,809046,808911,808230,808410,806408,811063,809883,809237,808502,809052,808965,809280,808821,808372,809423,809460,807101,808954,808399,809405,808122,809771,808749,808457
207500000,-11112,4270,-342,7966,1032,8094,448,8620,6826,16382,-3656,13872,9280,-4378,4252,15814,-8080,-1972,-548,-5702,-678,11672,11864,16556,17938,8546,16042,-1542,-142,-21192,5390,1706,-5826,34,-1554,-12548,7236,-6548,9536,8486,-10532,-3168,1714,5564,14596,15748,-5320,-1914,-3214,-13020,-16218,380,-33890,808444,809366,809588,809498,810027,810217,810589,809583,811002,809716,811149,810998,810879,811114,810634,810664,811381,811028,810387,809566,810509,811177,809515,811434,810475,811654,810361,811371,810389,809053,811448,809514,811080,812411,809965,812438,811832,811179,809026,810344,810437,810749,810225,810510,809544,808595,810772,812169,810124,810402,810813,810670,810346,809531,811036,811315,810750,809984,809698,809486,811329,811295,809958,809768,809673,811008,811728,812587,810533,809895,813086,809179,810882,811290,810799,810515,810020,809571,809626,811007,809974,810002,810253,809848,809565,810175,809282,812252,810387,809975,809085,808763,810574,811460,812211,811422,809427,810644,811182,808951,811192,809834,810111,810029,810780,810349,809551,810833,810648,810760,810688,810312,810668,809324,810813,810641,811146,810232,809997,811649,812367,811279,810696,811466,809878,810024,811064,810769,809366,809720,810656,810674,810691,811930,811404,811715,811407,810237,810537,809951,811250,810618,808808,810298,812110,811375,812624,809804,810677,809558,808624,811507,810051,809829,809516,810980,810345,810131,811176,810212,809601,811904,810463,809827,810340,810135,810565,810289,809539,809352,809515,811024,810818,809253,811262,811464,809947,809731,810213,809470,810783,810853,810372,809685,809242,811470,811680,812160,812317,810867,809944,812065,809413,810322,810893,810532,811111,810593,808782,809927,812603,811138,809436,809616,809860,810925,810850,810381,811531,810288,810222,811006,809326,810364,810790,810474,809291,809708,812551,811294,810138,812380,810973,810587,810308,810781,810522,809758,812549,809218,810674,811202,811039,810879,810139,810431,808351,813085,811830,811247,810421,810956,810954,811235,810772,810338,811439,811428,809010,810910,810414,811401,810042,811791,810769,810429
208000000,-10818,4300,-1292,8954,1964,7112,984,8272,6216,16084,-4208,13758,9870,-4060,6148,15498,-6612,-3368,-410,-5844,-1352,10954,11034,15838,17934,9924,15216,-732,176,-20452,5534,2616,-5348,-560,-1182,-12242,5998,-7026,10160,9434,-10084,-3332,1126,5504,14520,15446,-5530,-1786,-3744,-13542,-16474,160,-32606,810363,811371,811551,811510,812021,812183,812527,811508,812952,811702,813074,812971,812888,813072,812525,812553,813341,812928,812269,811602,812462,813091,811572,813365,812480,813669,812234,813337,812311,810952,813329,811451,813080,814362,811897,814355,813754,813169,811051,812362,812345,812724,812179,812393,811531,810593,812738,814118,812128,812338,812871,812647,812261,811490,812968,813274,812717,811960,811616,811446,813294,813211,811909,811721,811690,812912,813662,814504,812488,811859,814993,811127,812810,813256,812779,812503,811986,811561,811599,812959,811866,811935,812218,811799,811513,812187,811223,814167,812300,811965,811036,810754,812489,813446,814142,813376,811421,812594,813120,810880,813272,811753,812095,812075,812739,812298,811480,812744,812651,812723,812619,812256,812563,811263,812769,812594,813081,812182,811983,813623,814287,813238,812649,813329,811861,811905,813037,812737,811371,811690,812653,812525,812633,813862,813433,813570,813317,812169,812479,811966,813261,812499,810738,812227,814101,813324,814654,811811,812607,811481,810552,813491,811986,811849,811517,812905,812366,812110,813176,812179,811522,813804,812450,811765,812312,812113,812496,812196,811456,811293,811521,812997,812734,811197,813197,813400,811887,811662,812154,811523,812776,812734,812406,811601,811109,813403,813647,814160,814231,812767,811857,814053,811371,812266,812833,812499,812998,812586,810767,811838,814615,813209,811309,811540,811849,812861,812877,812396,813460,812280,812207,812893,811236,812331,812709,812430,811249,811712,814473,813253,812023,814361,812856,812534,812216,812738,812464,811725,814552,811096,812615,813198,813001,812802,812087,812395,810310,815003,813765,813134,812391,812926,812879,813219,812722,812300,813330,813276,811030,812860,812373,813277,812029,813745,812737,812468
208500000,-9300,4672,-2040,8892,2454,6910,-654,8668,5396,15018,-4640,14236,10104,-3902,5460,14874,-6018,-4736,-248,-4834,-2428,10790,9640,15754,19334,9586,15790,-2118,-206,-19988,5984,3614,-4432,-664,-1424,-12892,5638,-6968,10888,9202,-9868,-3954,336,5038,15264,16268,-5704,-690,-4184,-13932,-16034,112,-33076,812379,813350,813518,813503,813993,814082,814495,813486,814924,813698,815013,814889,814857,815051,814553,814441,815319,814951,814241,813664,814428,815017,813592,815287,814460,815682,814138,815299,814299,812959,815192,813424,814992,816316,813964,816307,815680,815118,813095,814292,814353,814645,814131,814339,813607,812517,814718,816011,814114,814314,814857,814665,814275,813373,814898,815258,814649,813911,813599,813466,815201,815108,813860,813702,813655,814823,815617,816499,814520,813854,816995,813136,814745,815171,814778,814428,814036,813527,813584,814867,813817,813959,814147,813762,813440,814030,813140,816106,814266,813962,813010,812659,814429,815381,816044,815268,813364,814551,815110,812838,815209,813750,814089,814045,814682,814267,813464,814683,814510,814688,814550,814220,814517,813230,814719,814502,815180,814028,813908,815600,816254,815109,814569,815270,813782,813829,814993,814666,813350,813671,814557,814478,814629,815820,815413,815508,815346,814207,814432,813990,815285,814386,812705,814175,815989,815320,816557,813723,814570,813453,812532,815442,813968,813840,813510,814857,814261,814106,815116,814138,813486,815800,814410,813824,814236,814088,814468,814159,813423,813264,813339,814907,814621,813152,815092,815301,813801,813634,814102,813469,814674,814774,814300,813512,813098,815310,815609,816042,816162,814731,813751,815957,813366,814212,814832,814422,815033,814568,812676,813744,816564,815109,813245,813546,813772,814840,814783,814387,815469,814275,814177,814865,813247,814216,814634,814287,813169,813609,816438,815153,813979,816270,814849,814440,814214,814703,814491,813582,816464,813041,814523,815125,815062,814775,813999,814238,812268,816903,815699,815069,814400,814843,814786,815146,814657,814209,815263,815168,812989,814823,814297,815161,814030,815629,814666,814421
209000000,-8570,4306,-1040,8402,2448,8914,-934,10090,6114,16118,-5164,15084,9874,-3928,5598,14524,-6052,-4616,540,-5502,-2752,9588,9164,15872,17178,9530,15922,-2804,-372,-19564,7284,2308,-3510,26,-1952,-13386,6214,-6810,10238,9164,-10174,-3574,168,4832,14964,16388,-5838,-146,-4010,-14356,-15618,-342,-33376,814426,815296,815473,815448,815931,816063,816431,815413,816966,815648,817075,816927,816757,816980,816490,816300,817336,816892,816267,815555,816451,816982,815601,817276,816407,817602,816081,817242,816227,814912,817161,815322,817003,818287,815888,818235,817679,817071,815028,816197,816323,816722,816090,816264,815578,814506,816752,817931,816032,816295,816739,816598,816178,815330,816841,817221,816611,815890,815529,815412,817175,817054,815806,815590,815671,816778,817798,818366,816414,815796,818911,815056,816704,817110,816779,816396,815964,815463,815540,816833,815876,815899,816147,815775,815448,816009,815053,818042,816194,815920,814989,814643,816419,817346,817950,817228,815261,816470,817070,814843,817144,815684,816012,816005,816556,816184,815478,816608,816475,816557,816473,816240,816507,815229,816701,816463,817074,815989,815865,817509,818200,817008,816561,817200,815751,815772,816921,816596,815296,815625,816521,816396,816683,817939,817306,817377,817262,816174,816358,815950,817252,816343,814649,816183,817954,817231,818483,815670,816594,815372,814483,817407,815920,815735,815427,816820,816274,816029,817068,816074,815446,817877,816322,815732,816135,816104,816399,816176,815452,815200,815367,816831,816536,815126,817013,817247,815699,815618,816089,815419,816562,816756,816191,815492,815125,817274,817534,817962,818033,816707,815717,817927,815250,816139,816824,816317,817022,816512,814684,815776,818481,817042,815187,815494,815691,816784,816763,816309,817447,816155,816092,816800,815204,816189,816610,816218,815123,815588,818329,817040,815980,818150,816790,816416,816128,816671,816464,815617,818379,814997,816463,817067,817046,816708,815915,816220,814236,818812,817657,816966,816292,816852,816675,817067,816680,816146,817183,817114,814944,816734,816265,817097,815927,817590,816596,816447
209500000,-8760,5088,-3140,7770,2808,8876,-1142,10186,6078,16490,-5022,14426,9962,-3356,5248,15404,-6994,-4392,-236,-5990,-3992,11172,8954,15666,17890,10628,16120,-2864,1442,-19010,8260,2464,-2800,-1348,-2054,-13722,6174,-6610,10030,9156,-10312,-3870,-568,4636,15020,16842,-4490,678,-3810,-14588,-15020,326,-33074,816340,817240,817390,817423,817877,817959,818367,817372,818917,817541,818993,818833,818772,818977,818456,818222,819291,818857,818169,817581,818366,818947,817498,819148,818345,819620,818006,819250,818243,816914,819094,817263,818939,820204,817863,820202,819613,818954,817071,818175,818266,818637,818099,818167,817493,816451,818601,819900,817993,818266,818755,818629,818099,817212,818894,819209,818662,817914,817486,817418,819159,818982,817774,817534,817605,818670,819682,820356,818436,817700,820849,817045,818645,819043,818716,818320,817995,817428,817486,818816,817765,817868,818093,817743,817424,817912,817002,819929,818105,817868,816934,816578,818274,819244,819841,819192,817217,818438,819020,816803,819078,817664,817991,818057,818465,818152,817411,818523,818527,818485,818424,818201,818478,817209,818671,818425,819050,817900,817842,819497,820151,819022,818467,819099,817706,817760,818925,818505,817240,817573,818446,818316,818581,819867,819382,819306,819231,818209,818320,817813,819193,818279,816701,818135,819852,819208,820398,817665,818537,817319,816446,819353,817914,817764,817305,818853,818333,817990,819047,818045,817336,819834,818273,817692,818075,818082,818352,818127,817367,817199,817237,818764,818480,817061,818917,819133,817662,817557,817987,817419,818518,818722,818118,817416,817025,819182,819464,819921,820014,818584,817692,819896,817208,818092,818766,818332,819004,818433,816623,817791,820415,819020,817140,817479,817683,818730,818837,818276,819405,818097,818064,818736,817142,818089,818540,818121,817114,817538,820306,818956,817933,820141,818757,818396,818083,818660,818417,817611,820357,816955,818422,819056,819037,818648,817820,818138,816125,820777,819650,818952,818265,818819,818641,819053,818635,818058,819060,819105,816933,818672,818225,819066,817899,819531,818505,818315
210000000,-9698,4288,-3126,8632,2952,8410,-1928,10010,5420,17198,-5410,13790,10228,-3590,6044,14848,-5930,-4242,-776,-5916,-4092,12020,8374,15458,17820,11728,15742,-2762,1434,-18852,8840,2254,-2916,-832,-1982,-13916,5778,-6628,10104,9618,-10258,-4698,2,4722,14658,16470,-4154,1076,-3398,-14824,-14784,-634,-32874,818218,819171,819329,819379,819806,819859,820336,819322,820829,819480,820884,820695,820702,820946,820404,820162,821176,820794,820149,819614,820251,820899,819468,821090,820261,821532,819951,821237,820204,818859,821005,819183,820799,822101,819842,822133,821611,820992,819045,820144,820222,820552,820071,820133,819539,818387,820471,821903,819840,820232,820730,820521,820050,819194,820822,821245,820624,819811,819443,819399,821058,820909,819682,819527,819504,820570,821592,822282,820418,819686,822754,818953,820580,821048,820758,820303,819908,819436,819449,820749,819693,819834,820060,819700,819362,819918,819045,821874,820148,819875,818880,818562,820169,821155,821781,821132,819164,820312,821031,818757,821040,819666,819937,819977,820450,820089,819410,820440,820497,820415,820443,820227,820395,819199,820550,820392,820959,819863,819801,821442,822101,820967,820378,821079,819624,819718,820952,820474,819171,819537,820336,820279,820503,821720,821312,821244,821141,820283,820266,819863,821091,820242,818659,820026,821724,821181,822454,819575,820523,819305,818458,821284,819811,819719,819293,820830,820231,819983,820962,820026,819274,821773,820262,819574,820017,820069,820299,820054,819305,819208,819209,820786,820484,819055,820853,821010,819636,819556,819976,819393,820489,820656,820090,819425,818970,821131,821379,821844,822010,820548,819660,821899,819204,820045,820631,820274,821006,820443,818579,819732,822325,820981,819070,819439,819622,820687,820765,820239,821354,820002,820026,820653,819151,820077,820495,819989,819044,819494,822265,820953,819932,822068,820777,820427,820085,820593,820418,819554,822266,818843,820372,821027,820906,820590,819818,820044,818041,822803,821557,820977,820283,820773,820559,821007,820537,819999,821043,821092,818955,820599,820158,821056,819930,821496,820474,820316
210500000,-8256,3540,-4168,8592,4046,7768,-906,9326,4954,16020,-5240,13844,10528,-4052,6222,14548,-5400,-3548,194,-5266,-4074,12478,8060,14534,18360,12414,15374,-1988,1136,-17938,8580,1596,-2678,-1696,-1676,-13374,4790,-6796,10060,10108,-10334,-4094,810,4614,15096,16098,-4128,1006,-3154,-13240,-15422,460,-34380,820273,821140,821301,821340,821834,821810,822299,821292,822835,821457,822791,822647,822685,822888,822427,822072,823117,822870,822089,821560,822179,822829,821444,823038,822252,823510,821903,823183,822216,820822,822933,821077,822791,824047,821805,824158,823600,822951,821006,822086,822128,822556,821974,822078,821509,820345,822476,823799,821816,822172,822736,822447,821972,821151,822783,823229,822622,821801,821399,821308,822982,822903,821621,821393,821499,822536,823478,824283,822422,821649,824746,820900,822553,823034,822719,822235,821837,821382,821405,822688,821633,821700,822050,821628,821240,821910,821015,823836,822141,821815,820780,820538,822110,823214,823698,823042,821180,822312,823002,820694,823052,821639,821865,821923,822404,821975,821347,822407,822488,822368,822471,822126,822357,821188,822495,822428,822974,821884,821797,823404,823992,822902,822319,823083,821507,821685,822829,822301,821140,821501,822343,822251,822458,823628,823274,823207,823152,822192,822217,821835,823077,822198,820611,821938,823721,823093,824462,821532,822505,821223,820410,823237,821736,821673,821220,822829,822207,821885,822952,821937,821244,823714,822266,821488,821987,822003,822213,822007,821205,821122,821176,822773,822447,820973,822848,822941,821676,821524,821955,821341,822407,822603,822073,821368,820923,823122,823459,823893,823912,822499,821571,823737,821142,822058,822608,822198,822922,822403,820529,821649,824261,822960,821009,821412,821572,822667,822687,822201,823325,822054,821940,822592,821087,822039,822406,821953,821059,821481,824230,822903,821935,824138,822713,822266,822020,822494,822323,821484,824169,820782,822374,822965,822975,822557,821779,821952,820052,824765,823601,822853,822157,822619,822456,822911,822558,821847,823020,823050,820784,822465,822086,822987,821742,823388,822301,822100
211000000,-7950,4806,-4282,7932,4198,7752,-902,10438,4510,16054,-5446,13920,11006,-4552,5244,14518,-5750,-4452,1288,-4878,-4444,11766,8152,15886,17230,12362,14732,-2548,1564,-18226,7906,2336,-3426,-1938,-1524,-13150,4406,-6350,10092,9218,-10344,-3646,844,4554,14820,15404,-3896,-26,-3844,-13846,-15782,1244,-33524,822315,823111,823316,823308,823809,823811,824259,823213,824814,823369,824796,824565,824704,824808,824428,824039,825088,824801,824034,823480,824100,824822,823390,824938,824233,825517,823843,825087,824194,822834,824914,823014,824809,826008,823736,826111,825563,824879,822918,824096,824072,824452,823915,824055,823440,822269,824366,825800,823839,824094,824671,824407,823930,823083,824722,825201,824614,823802,823447,823231,824920,824906,823573,823343,823498,824491,825367,826247,824383,823570,826712,822862,824462,825047,824629,824167,823793,823316,823365,824657,823608,823631,823998,823563,823221,823825,822962,825767,824073,823709,822661,822527,824119,825073,825644,825053,823146,824279,824900,822677,825011,823559,823822,823879,824267,823907,823265,824345,824461,824228,824429,824112,824375,823109,824539,824451,824927,823836,823715,825282,825957,824807,824299,825021,823434,823667,824820,824272,823111,823513,824304,824164,824374,825550,825253,825254,825075,824145,824126,823763,825046,824122,822600,823889,825729,825046,826408,823534,824424,823148,822319,825228,823700,823561,823170,824836,824222,823844,824912,823902,823180,825606,824217,823463,823946,823917,824191,823926,823167,823109,823131,824674,824342,822919,824826,824897,823586,823483,823899,823294,824244,824527,823967,823340,822870,825188,825316,825766,825844,824414,823528,825749,823126,823977,824557,824260,824837,824319,822456,823627,826313,824895,822943,823380,823468,824690,824701,824157,825178,824049,823865,824554,823055,823980,824300,823956,822996,823484,826110,824780,823939,826009,824614,824224,823957,824538,824256,823406,826197,822764,824336,824979,824960,824512,823770,823910,822019,826662,825519,824726,824120,824553,824422,824864,824545,823844,824966,824963,822716,824479,824090,824908,823761,825331,824272,824034
211500000,-7010,5640,-4378,8218,5076,7846,-2268,9774,4276,16178,-4884,12646,11284,-6080,5686,15660,-7352,-5314,1366,-4836,-4464,11204,7340,15920,16672,11748,15070,-546,1052,-18324,7474,1110,-2978,-2340,-808,-13914,4080,-6266,10584,9272,-11254,-3364,566,4506,14866,16558,-4426,-530,-3838,-13572,-16020,844,-34000,824334,825137,825306,825260,825801,825758,826254,825154,826827,825348,826665,826596,826589,826859,826342,826006,827093,826871,826021,825409,826024,826704,825352,826932,826150,827459,825905,827107,826159,824758,826885,824973,826760,827950,825747,828166,827485,826824,824940,826007,826024,826407,825811,825940,825423,824176,826372,827755,825804,826025,826609,826342,825965,825048,826700,827226,826541,825788,825354,825169,826847,826813,825546,825304,825456,826424,827359,828207,826364,825527,828729,824862,826395,827020,826543,826144,825804,825257,825304,826531,825523,825601,825959,825509,825144,825762,824920,827653,826047,825686,824573,824445,826080,826973,827569,826993,825173,826231,826846,824652,826901,825568,825719,825860,826304,825781,825236,826309,826452,826060,826368,826141,826310,825072,826480,826419,826884,825732,825676,827235,827898,826746,826180,827004,825411,825592,826697,826290,825137,825429,826253,826148,826374,827503,827194,827194,827137,826082,826063,825688,827020,826153,824575,825852,827617,827042,828288,825538,826407,825047,824247,827195,825679,825492,825108,826819,826170,825765,826775,825877,825120,827616,826144,825425,825930,825863,826121,825828,825100,825061,825095,826633,826309,824842,826681,826807,825600,825473,825860,825237,826120,826497,825812,825283,824841,827111,827262,827742,827797,826371,825457,827683,825110,825977,826518,826181,826855,826224,824444,825565,828264,826806,824911,825298,825367,826670,826631,826121,827213,825968,825834,826440,825017,825966,826232,825835,825026,825411,828044,826650,825872,828031,826599,826147,825914,826468,826233,825357,828169,824641,826318,826892,826877,826493,825747,825758,823985,828634,827535,826605,826072,826518,826330,826791,826486,825773,826943,826905,824692,826375,826079,826844,825656,827331,826290,825977
212000000,-6910,5370,-3808,8564,5120,7764,-2618,10360,5296,15652,-5058,12818,12146,-7640,6132,15474,-7272,-5706,314,-4988,-4696,12182,6954,15940,15930,10542,15262,-764,1848,-19092,9026,106,-2756,-1966,-1306,-14146,4716,-6452,10488,9886,-11584,-4166,224,3790,14620,16940,-4670,134,-3426,-13560,-15570,500,-34722,826255,827070,827282,827204,827763,827741,828239,827149,828794,827329,828646,828538,828563,828766,828262,827940,828977,828879,828003,827384,828015,828724,827290,828815,828061,829419,827776,829088,828112,826709,828890,826897,828645,829904,827720,830121,829446,828787,826915,827954,828058,828363,827789,827935,827399,826139,828308,829723,827690,827992,828574,828261,827841,826935,828660,829161,828505,827718,827336,827123,828782,828852,827477,827194,827383,828432,829331,830153,828339,827492,830605,826846,828334,829009,828460,828157,827722,827182,827324,828427,827595,827524,827926,827448,827093,827659,826916,829619,828033,827559,826487,826470,828040,828919,829556,828973,827187,828115,828789,826648,828879,827557,827619,827797,828211,827688,827173,828200,828476,828006,828373,828025,828293,827017,828441,828319,828845,827686,827682,829194,829820,828692,828167,828986,827321,827549,828642,828248,827070,827416,828222,828184,828360,829443,829090,829053,829062,828058,828093,827567,828917,828098,826559,827847,829572,828962,830230,827485,828406,827000,826248,829216,827621,827416,827000,828733,828111,827750,828744,827774,827170,829580,828111,827330,827897,827830,827989,827797,827061,827011,826963,828600,828193,826818,828651,828806,827612,827445,827862,827155,828058,828437,827822,827237,826805,829042,829195,829753,829730,828301,827393,829696,827103,827974,828472,827990,828781,828168,826410,827560,830200,828706,826946,827307,827315,828551,828537,828091,829155,827917,827801,828338,826979,827904,828096,827838,827024,827458,830008,828589,827807,830029,828475,828116,827890,828347,828160,827322,830027,826696,828247,828831,828861,828451,827710,827734,826006,830591,829463,828566,827944,828465,828282,828759,828467,827758,828915,828835,826589,828349,828058,828764,827617,829273,828248,827928
