seg 500/5000  x=1.00e+10  421s  eta 3793s
seg 1000/5000  x=2.00e+10  804s  eta 3215s
seg 1500/5000  x=3.00e+10  1182s  eta 2758s
seg 2000/5000  x=4.00e+10  1546s  eta 2319s
seg 2500/5000  x=5.00e+10  1918s  eta 1918s
seg 3000/5000  x=6.00e+10  2293s  eta 1529s
seg 3500/5000  x=7.00e+10  2650s  eta 1136s
seg 4000/5000  x=8.00e+10  3018s  eta 755s
seg 4500/5000  x=9.00e+10  3361s  eta 373s
seg 5000/5000  x=1.00e+11  3696s  eta 0s
done 3696.1 s
