seg 22200/50000  x=4.44e+11  9577s  eta 11993s
seg 22400/50000  x=4.48e+11  9667s  eta 11911s
seg 22600/50000  x=4.52e+11  9752s  eta 11824s
seg 22800/50000  x=4.56e+11  9839s  eta 11738s
seg 23000/50000  x=4.60e+11  9920s  eta 11645s
seg 23200/50000  x=4.64e+11  10000s  eta 11552s
seg 23400/50000  x=4.68e+11  10083s  eta 11462s
seg 23600/50000  x=4.72e+11  10164s  eta 11370s
seg 23800/50000  x=4.76e+11  10249s  eta 11282s
seg 24000/50000  x=4.80e+11  10331s  eta 11191s
seg 24200/50000  x=4.84e+11  10411s  eta 11099s
seg 24400/50000  x=4.88e+11  10491s  eta 11007s
seg 24600/50000  x=4.92e+11  10571s  eta 10915s
seg 24800/50000  x=4.96e+11  10651s  eta 10823s
seg 25000/50000  x=5.00e+11  10731s  eta 10731s
seg 25200/50000  x=5.04e+11  10810s  eta 10639s
seg 25400/50000  x=5.08e+11  10889s  eta 10546s
seg 25600/50000  x=5.12e+11  10973s  eta 10459s
seg 25800/50000  x=5.16e+11  11054s  eta 10369s
seg 26000/50000  x=5.20e+11  11138s  eta 10281s
seg 26200/50000  x=5.24e+11  11222s  eta 10194s
seg 26400/50000  x=5.28e+11  11302s  eta 10104s
seg 26600/50000  x=5.32e+11  11387s  eta 10017s
seg 26800/50000  x=5.36e+11  11470s  eta 9929s
seg 27000/50000  x=5.40e+11  11553s  eta 9841s
seg 27200/50000  x=5.44e+11  11633s  eta 9752s
seg 27400/50000  x=5.48e+11  11716s  eta 9663s
seg 27600/50000  x=5.52e+11  11798s  eta 9575s
seg 27800/50000  x=5.56e+11  11878s  eta 9486s
seg 28000/50000  x=5.60e+11  11957s  eta 9395s
seg 28200/50000  x=5.64e+11  12041s  eta 9308s
seg 28400/50000  x=5.68e+11  12123s  eta 9220s
seg 28600/50000  x=5.72e+11  12208s  eta 9135s
seg 28800/50000  x=5.76e+11  12289s  eta 9046s
seg 29000/50000  x=5.80e+11  12368s  eta 8956s
seg 29200/50000  x=5.84e+11  12448s  eta 8867s
seg 29400/50000  x=5.88e+11  12529s  eta 8779s
seg 29600/50000  x=5.92e+11  12615s  eta 8694s
seg 29800/50000  x=5.96e+11  12698s  eta 8608s
seg 30000/50000  x=6.00e+11  12781s  eta 8520s
seg 30200/50000  x=6.04e+11  12862s  eta 8433s
seg 30400/50000  x=6.08e+11  12950s  eta 8349s
seg 30600/50000  x=6.12e+11  13035s  eta 8264s
seg 30800/50000  x=6.16e+11  13124s  eta 8181s
seg 31000/50000  x=6.20e+11  13206s  eta 8094s
seg 31200/50000  x=6.24e+11  13290s  eta 8008s
seg 31400/50000  x=6.28e+11  13385s  eta 7929s
