seg 200/2000  x=1.00e+08  50s  eta 453s
seg 400/2000  x=2.00e+08  90s  eta 361s
seg 600/2000  x=3.00e+08  136s  eta 317s
seg 800/2000  x=4.00e+08  157s  eta 235s
seg 1000/2000  x=5.00e+08  177s  eta 177s
seg 1200/2000  x=6.00e+08  194s  eta 130s
seg 1400/2000  x=7.00e+08  200s  eta 86s
seg 1600/2000  x=8.00e+08  205s  eta 51s
seg 1800/2000  x=9.00e+08  211s  eta 23s
seg 2000/2000  x=1.00e+09  216s  eta 0s
done 230.6 s
