graph6	class	class_sizes
K??FEb_F?wD_	T2	-
K??FEbGL@WB_	T2	-
K??FEagT@WB_	E	[8, 8, 7, 7]
K??FEaKY@gB_	T2	-
K??FEaKR@oE_	E	[8, 8, 7, 7]
K?AEF@oM?w@o	T2	-
K?AEB`gHcoB_	E	[8, 8, 7, 7]
K?AEEHaM@oB_	T2	-
K?AEEDcF@oF?	T2	-
K?AEDDWX@oB_	E	[8, 8, 7, 7]
K?ABF@ce?sB_	T2	-
K?ABEb_J?sB_	T2	-
K?ABEagE`gH_	E	[8, 8, 7, 7]
K?ABE`Ke@gDO	E	[8, 8, 7, 7]
K?ABE`Ke@WEO	E	[8, 8, 7, 7]
K?ABBb_e?[B_	T2	-
K?ABBb_E_wP_	T2	-
K?ABB`gc_wP_	E	[8, 8, 7, 7]
K?ABB`gEcgP_	T2	-
K?ABCqWUBGCo	T2	-
K?ABArOb@WEO	E	[8, 8, 7, 7]
K?ABApok?[P_	T2	-
K?ABApoMCWOo	T2	-
K?ABApoc`WP_	E	[8, 8, 7, 7]
K?ABArCe@gDO	E	[8, 8, 7, 7]
K?ABCiWRB_DO	E	[8, 8, 7, 7]
K?ABCiWFBOKO	T2	-
K?ABCiKU@oKO	T2	-
K?ABEDoM?wP_	T2	-
K?ABEDWM?wS_	E	[8, 8, 7, 7]
K?ABEESU@WF?	T2	-
K?ABBF_e?wB_	T2	-
K?ABBFOe@WB_	E	[8, 8, 7, 7]
K?ABBFOb@oB_	E	[8, 8, 7, 7]
K?ABBFCe@oB_	E	[8, 8, 7, 7]
K?ABCfOY?wD_	T2	-
K?ABCfOR@oD_	E	[8, 8, 7, 7]
K?ABCfGT@oD_	E	[8, 8, 7, 7]
K?ABCeWU@WK_	T2	-
K?ABCdWT@WT?	E	[8, 8, 7, 7]
K?ABCfCY?wF?	E	[8, 8, 7, 7]
K?ABCfCU@WF?	E	[8, 8, 7, 7]
K?ABAdoi?wP_	E	[8, 8, 7, 7]
K?ABAdgi?wQ_	E	[8, 8, 7, 7]
K?ABAfCi?wF?	E	[8, 8, 7, 7]
K?AB?vOTDOD_	E	[8, 8, 7, 7]
K?AB?tos@WP_	E	[8, 8, 7, 7]
K?ABCN_U?wF?	T2	-
K?ABCNOY?wF?	E	[8, 8, 7, 7]
K?BD?qcKaoHG	E	[8, 8, 7, 7]
K?BD?pck?sHG	E	[8, 8, 7, 7]
K?BD?pSw@SBG	T2	-
K?`@F@gd?sAo	E	[8, 8, 7, 7]
K?`@Eb_M?k@o	E	[8, 8, 7, 7]
K?`@Eb_J?sAo	E	[8, 8, 7, 7]
K?`@Eb_F?[EO	T2	-
K?`@E`gh?sAo	E	[8, 8, 7, 7]
K?`@E`gFCcCo	E	[8, 8, 7, 7]
K?`@E`gFCKEO	E	[8, 8, 7, 7]
K?`@E`gEcKE_	E	[8, 8, 7, 7]
K?`@E`Wh?kDO	E	[8, 8, 7, 7]
K?`@EaKY?kEO	E	[8, 8, 7, 7]
K?`@EaKX?sEO	E	[8, 8, 7, 7]
K?`@EROM?kCo	E	[8, 8, 7, 7]
K?`@EQgLAcAo	E	[8, 8, 7, 7]
K?`@EQK[?kEO	E	[8, 8, 7, 7]
K?`@Cr_T?[EO	T2	-
K?`@CrGX?kEO	E	[8, 8, 7, 7]
K?`@CrGT@KEO	E	[8, 8, 7, 7]
K?`@CqW[AKCo	E	[8, 8, 7, 7]
K?`@CrCY?kEO	E	[8, 8, 7, 7]
K?`DAagK_iH_	E	[8, 8, 7, 7]
K?`D@`gE_iW_	E	[8, 8, 7, 7]
K?`D@`cS_wPG	E	[8, 8, 7, 7]
K?`D@bAJAgBG	E	[8, 8, 7, 7]
K?`D@`ae?iH_	E	[8, 8, 7, 7]
K?`D@aQY?wGg	E	[8, 8, 7, 7]
K?`@`ago_YI_	E	[8, 8, 7, 7]
K?`CRAWK`gGg	E	[8, 8, 7, 7]
K?`CPbGP`gEG	E	[8, 8, 7, 7]
K?`CPbGHb_Ag	E	[8, 8, 7, 7]
K?`CPag[?kGg	E	[8, 8, 7, 7]
K?`CPagXAcAg	E	[8, 8, 7, 7]
K?`CPagWagAg	E	[8, 8, 7, 7]
K?`CPagPagEG	E	[8, 8, 7, 7]
