graph6	class	class_sizes
Q??????wF?R?U?D_?w?L?AW?`_?	X	[12, 12, 11, 10]
Q??????wF?R?T?F?@o?F??w?`_?	T2	-
Q??????wF?R?T?F?@W?L??w?`_?	E	[12, 11, 11, 11]
Q??????wF?R?T?K_@K?[?@W?B_?	E	[12, 11, 11, 11]
Q??????wF?R?T?K_@K?Y??w?E_?	E	[12, 11, 11, 11]
Q??????wF?R?T?K_@K?R?@o?E_?	T2	-
Q??????wF?R?T?E_Co?F?@W?H_?	X	[12, 12, 11, 10]
Q??????wF?R?T?E_CW?L?@W?H_?	E	[12, 11, 11, 11]
Q??????wF?R?T?E_CW?F?@W?K_?	E	[12, 11, 11, 11]
Q??????wF?R?T?E_@W?F?@W?c_?	E	[12, 11, 11, 11]
Q??????wF?R?T?CoCW?T?BG?D_?	E	[12, 11, 11, 11]
Q??????wF?R?T?Co@S?T?HO?D_?	T2	-
Q??????wF?R?P_F?Ao?R??w?`_?	T2	-
Q??????wF?R?P_F?Ag?T?GW?B_?	T2	-
Q??????wF?R?P_F?AW?L?GW?H_?	E	[12, 11, 11, 11]
Q??????wF?R?P_DO@c?s?GW?B_?	E	[12, 11, 11, 11]
Q??????wF?R?P_DO@c?U?Cg?`_?	T2	-
Q??????wF?R?D_D_Gg@P?AW?B_?	T2	-
Q??????wF?R?D_D_Gg?R?AW?a_?	T2	-
Q??????wE_[?M?F?@o?J??w?B_?	T2	-
Q??????wE_[?M?F?@W?L?@W?B_?	T2	-
Q??????wE_[?M?D_@o?R?@W?B_?	T2	-
Q??????wE_[?M?D_@g?T?@W?B_?	T2	-
Q??????wE_[?M?D_@g?R??w?E_?	T2	-
Q??????wE_[?M?D_@K?R?@o?E_?	T2	-
Q??????wE_[?J?E_Ag?X??w?B_?	T2	-
Q??????wE_[?J?E_Ag?T?@W?B_?	T2	-
Q??????wE_[?J?E_Ag?L?AW?B_?	T2	-
Q??????wE_[?J?E_AW?X?@W?B_?	T2	-
Q??????wE_[?J?E_AK?[?@W?B_?	T2	-
