graph6	class	class_sizes
S???????F?[?e?T?BO?R?HO?DO?D_?D_?	E	[13, 13, 12, 12]
S???????F?[?e?T?BO?R?HO?BO?H_?D_?	E	[13, 13, 12, 12]
S???????F?[?e?T?BO?R?HO?@o?K_?D_?	E	[13, 13, 12, 12]
S???????F?[?e?T?BO?R??s?D_?K_@@_?	E	[13, 13, 12, 12]
S???????F?[?e?T?BO?R??s?D_?D_@G_?	E	[13, 13, 12, 12]
S???????F?[?e?P_B_?i?Go?Ao?B_?P_?	E	[13, 13, 12, 12]
S???????F?[?e?P_Ag?b?@o?IO@@_?P_?	E	[13, 13, 12, 12]
S???????F?[?e?P_Ag?b?BC?_o?T??E_?	E	[13, 13, 12, 12]
S???????F?[?e?P_Ag?b?@S?Go?T?@C_?	E	[13, 13, 12, 12]
S???????F?Y?w?M?B_?[?@o?Ao?B_?B_?	T2	-
S???????F?Y?w?M?B_?[?@W?BO?D_?B_?	T2	-
S???????F?Y?w?J?BO?k?BO?Ao?B_?B_?	T2	-
S???????F?Y?w?J?BO?k??w?HO?H_?B_?	T2	-
S???????F?Y?w?F?B_?U?@o?Ao?B_@@_?	T2	-
S???????F?Y?q?H_E_?Y?Ag?BO?`_?B_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_E_?Y?Ag?Ao?a_?B_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_E_?Y?AW?QO?D_?B_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_E_?Y?AK?R??D_?B_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_E_?Y?AK?Q_?E_?B_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_Cg?w?Cg?Ao?Q_?B_?	E	[13, 13, 12, 12]
S???????F?Y?i?X?AW?p?Ao?EO?H_?B_?	E	[13, 13, 12, 12]
S???????F?Y?i?X?AW?p?Ac?F??H_?B_?	E	[13, 13, 12, 12]
S???????F?Y?i?X?AW?p?Ac?E_?I_?B_?	E	[13, 13, 12, 12]
S???????F?Y?b?R?DO?e?CW?`O?H_?D_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_DG?s?DG?DO?D_?B_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_DG?s?@g?DO?`_?B_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_@K?s?GW?DO?g_?D_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_D_?M??k?o_?a_?B_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_@g?M?GW?Ao?`_@__?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_@K?J?GW?aO?g_?c_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_@K?J??w?cO?c_@__?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_@K?J?@S?q?@__?D_?	E	[13, 13, 12, 12]
S???????F?Y?b?I_BOAE?KG?Co?I_?B_?	E	[13, 13, 12, 12]
S???????F?Y?b?I_BOAE?HG?DO?`_?B_?	E	[13, 13, 12, 12]
