graph6	class	class_sizes
M???FB_eAgBOH_B_?	E	[9, 9, 9, 8]
M???FBOw@oAoB_B_?	T2	-
M???FBOw@WBOD_B_?	T2	-
M???FBOq@KF?D_B_?	T2	-
M???FBOq@KCoF?E_?	T2	-
M???FBOiAgDOD_B_?	T2	-
M???FBObB_DOD_B_?	E	[9, 9, 9, 8]
M???FBObBCF?B_D_?	E	[9, 9, 9, 8]
M???FBObBCD_E_D_?	E	[9, 9, 9, 8]
M???FBObBCDOD_F??	E	[9, 9, 9, 8]
M???FBObASF?H_D_?	E	[9, 9, 9, 8]
M???FBObASD_D_K_?	E	[9, 9, 9, 8]
M???FAW`agD_K_Q_?	E	[9, 9, 9, 8]
M??CEB_[@oB_B_@o?	E	[9, 9, 9, 8]
M??CEB_WPoAoB_F??	E	[9, 9, 9, 8]
M??CE@oY@gB_@oa_?	E	[9, 9, 9, 8]
M??CE@oY?iD_E_`_?	E	[9, 9, 9, 8]
M??CE@oY@EQ_F?B_?	E	[9, 9, 9, 8]
M??CE@oQdGDOF?DO?	E	[9, 9, 9, 8]
M??CE?wLB_H_Ao`_?	E	[9, 9, 9, 8]
M??CEBAWOsE_J?F??	E	[9, 9, 9, 8]
M??CEB@W_sE_J?F??	E	[9, 9, 9, 8]
M??CEB@K`oE_B_R??	E	[9, 9, 9, 8]
M??CEB@K`SE_F?R??	E	[9, 9, 9, 8]
M??CEA`UAgB_I_H_?	E	[9, 9, 9, 8]
M??CEA`UAgEOJ?B_?	E	[9, 9, 9, 8]
M??CEA`FAoF?P_H_?	E	[9, 9, 9, 8]
M??CEA`F?wJ?W_H_?	T2	-
M??CBBOw@oAoB_BO?	E	[9, 9, 9, 8]
M??CBBOw@SAoF?BO?	E	[9, 9, 9, 8]
M??CBBOkBOB_B_@o?	E	[9, 9, 9, 8]
M??CBBOi?qE_P_B_?	E	[9, 9, 9, 8]
M??CBBOQd_CoF?BO?	E	[9, 9, 9, 8]
M??CBBOQcgB_H_IO?	E	[9, 9, 9, 8]
M??CBBOQcWDOL?DO?	E	[9, 9, 9, 8]
M??CBBOQcWAgM?H_?	E	[9, 9, 9, 8]
M??CB@ow?sAoBOb??	T2	-
M??CB@ow?qAoB_b??	E	[9, 9, 9, 8]
M??CB@ow?YB_B_c_?	T2	-
M??CB@ow?e@oF?b??	E	[9, 9, 9, 8]
M??CB@ow?UAoF?b??	E	[9, 9, 9, 8]
M??CB@ow?U@oF?d??	T2	-
M??CB@os@cP_BOB_?	T2	-
M??CB@o[CoP_B_@o?	T2	-
M??CB@o[CcP_B_BO?	T2	-
M??CB@o[CaP_B_B_?	T2	-
M??CB@oYCaP_B_D_?	E	[9, 9, 9, 8]
M??CB@oYCaOoF?B_?	E	[9, 9, 9, 8]
M??CB@oYCIR?D_B_?	E	[9, 9, 9, 8]
M??CB@oYCIQ_E_B_?	E	[9, 9, 9, 8]
M??CB@oY?iR?`_B_?	E	[9, 9, 9, 8]
M??CB@oY?iQOb?B_?	E	[9, 9, 9, 8]
M??CB@oYCEOoF?F??	T2	-
M??CB@oodO@oF?DO?	E	[9, 9, 9, 8]
M??CB@oodO@gD_F??	E	[9, 9, 9, 8]
M??CBAWwAgEOBOB_?	E	[9, 9, 9, 8]
M??CBAWsB_D_@oB_?	E	[9, 9, 9, 8]
M??CBAWsB_CoBOB_?	T2	-
M??CBAWs?w@oX?Go?	E	[9, 9, 9, 8]
M??CBAWs?YHOH_L??	E	[9, 9, 9, 8]
M??CBAWeAoGoH_HO?	T2	-
M??CBAWe?kGoX?IO?	T2	-
M??CBAWp@aJ?B_H_?	E	[9, 9, 9, 8]
M??CBAWp?qI_H_I_?	E	[9, 9, 9, 8]
M??CBAWp?iM?I_B_?	E	[9, 9, 9, 8]
M??CBAWp?iJ?I_H_?	E	[9, 9, 9, 8]
M??CBAWp?iIOI_J??	E	[9, 9, 9, 8]
M??CBAWdAcKOJ?BO?	E	[9, 9, 9, 8]
M??CBAWd?sH_W_HO?	E	[9, 9, 9, 8]
M??CB@WsDOE_B_@o?	E	[9, 9, 9, 8]
M??CB@WsCKB_J?Go?	E	[9, 9, 9, 8]
M??CB@Ws?kSOBOJ??	E	[9, 9, 9, 8]
M??CB@W[CaOoJ?B_?	E	[9, 9, 9, 8]
M??CB@W[CaCoB_b??	E	[9, 9, 9, 8]
M??CB@WU@gOgB_g_?	E	[9, 9, 9, 8]
M??CB@WU@IE_`_a_?	E	[9, 9, 9, 8]
M??CB@WpD_@WJ?D_?	E	[9, 9, 9, 8]
M??CB@WpCoF?@oH_?	E	[9, 9, 9, 8]
M??CB@WpCg@oK_IO?	E	[9, 9, 9, 8]
M??CB@WpCcB_H_IO?	E	[9, 9, 9, 8]
M??CB@WpCc@oL?IO?	E	[9, 9, 9, 8]
M??CB@WX@oQG`_B_?	E	[9, 9, 9, 8]
M??CB@WTCoT?H_@o?	E	[9, 9, 9, 8]
M??CB@WT@oD_`__o?	E	[9, 9, 9, 8]
M??CB@WTCcSOBOJ??	E	[9, 9, 9, 8]
M??CB@WTCaD_B_g_?	E	[9, 9, 9, 8]
M??CB@WTCaPOJ?H_?	E	[9, 9, 9, 8]
M??CB@WT?YT?H_c_?	E	[9, 9, 9, 8]
M??CB@WocgB_H_IO?	E	[9, 9, 9, 8]
M??CB?[U@oWG`_H_?	E	[9, 9, 9, 8]
M??CB?[FCoW_W_Go?	T2	-
M??CB?[FCoWOW_HO?	T2	-
M??CB?[FCoOoW_WO?	T2	-
M??CB?[FAoW_g_Go?	T2	-
M??CB?[FAoK_g__o?	T2	-
M??CB?[FAoWGH_g_?	T2	-
M??CB?[FAoSGH_o_?	T2	-
M??CBBAw@oAoF?BO?	E	[9, 9, 9, 8]
M??CBBAkB_B_BOB_?	T2	-
M??CBBAk?qI_B_J??	E	[9, 9, 9, 8]
M??CBAQe?wH_X?Go?	E	[9, 9, 9, 8]
M??CBAQe?kH_J?WO?	E	[9, 9, 9, 8]
M??CBAQb?wJ?X?Go?	E	[9, 9, 9, 8]
M??CBAQb?[J?X?KO?	E	[9, 9, 9, 8]
M??CBAQo`aH_F?J??	E	[9, 9, 9, 8]
M??CBAQo_qK_F?J??	E	[9, 9, 9, 8]
M??CBAQo_qI_J?J??	E	[9, 9, 9, 8]
M??CBAQo_qE_R?J??	E	[9, 9, 9, 8]
M??CBAQaagH_M?HO?	E	[9, 9, 9, 8]
M??CBAQa_wI_Y?HO?	E	[9, 9, 9, 8]
M??CBAQa_wI_J?WO?	E	[9, 9, 9, 8]
M??CBAQa_wB_X?WO?	T2	-
M??CBAQaaaH_J?L??	E	[9, 9, 9, 8]
