graph6	class	class_sizes
S???????F?[?e?T?BO?[?HO?@o?B_?D_?	T2	-
S???????F?[?e?P_B_?e?@o?@o@@_?P_?	T2	-
S???????F?Y?w?M?@o?[?DO?@o?B_?D_?	T2	-
S???????F?Y?w?J?@W?U?D_?Oo?H_?B_?	T2	-
S???????F?Y?w?J?@W?U?Co?Co?H_?`_?	T2	-
S???????F?Y?w?J?@W?U?Cg?SO?H_?B_?	T2	-
S???????F?Y?w?F?BO@W?@W?BO?D_?B_?	T2	-
S???????F?Y?q?H_Co?M?CW?HO?`_?P_?	T2	-
S???????F?Y?q?H_Co?M??[?X??`_?P_?	T2	-
S???????F?Y?q?H_Co?M??[?P_?o_?P_?	T2	-
S???????F?Y?q?H_Cg?k?Cg?HO?P_?B_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_Cg?k?AK?H_?`_?E_?	E	[13, 13, 12, 12]
S???????F?Y?i?[?B_?U?@o?Co?D_?B_?	E	[13, 13, 12, 12]
S???????F?Y?i?[?B_?U?@g?DO?D_?B_?	T2	-
S???????F?Y?i?[?B_?U?@g?Co?B_?E_?	E	[13, 13, 12, 12]
S???????F?Y?i?[?B_?U?@K?Co?F??E_?	T2	-
S???????F?Y?i?X?AW?d?B_?HO?H_?B_?	E	[13, 13, 12, 12]
S???????F?Y?i?X?AW?d?Ao?KO?H_?B_?	E	[13, 13, 12, 12]
S???????F?Y?i?X?AW?d?Ac?L??H_?B_?	E	[13, 13, 12, 12]
S???????F?Y?i?X?AW?d?Ac?KO?J??B_?	E	[13, 13, 12, 12]
S???????F?Y?b?[?D_?U?Co?Ao?H_?B_?	E	[13, 13, 12, 12]
S???????F?Y?b?[?DO?R?D_?DO?D_?B_?	E	[13, 13, 12, 12]
S???????F?Y?b?Y?BO?i?@K?_o?F??E_?	E	[13, 13, 12, 12]
S???????F?Y?b?R?DO@B?Co?Ao?B_?g_?	E	[13, 13, 12, 12]
S???????F?Y?b?R?DO@B?@W?PO?c_?D_?	E	[13, 13, 12, 12]
S???????F?Y?b?R?DO@B?DC?P_?E_?D_?	E	[13, 13, 12, 12]
S???????F?Y?b?R?DO@B?DC?PO?F??D_?	E	[13, 13, 12, 12]
S???????F?Y?b?R?DO@B?@S?R??`_?D_?	E	[13, 13, 12, 12]
S???????F?Y?b?R?DO@B?@S?P_?c_?D_?	E	[13, 13, 12, 12]
S???????F?Y?b?R?@W@D?GS?R??H_?`_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_DO?R?Co?@o?g_?H_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_DO?R?CW?DO?g_?D_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_DO?R?Cc?P_?I_?H_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_DO?R?CS?DO?h??D_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_DG?[?D_?@o?B_?`_?	T2	-
S???????F?Y?b?W_DG?[?@g?PO?`_?B_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_DG?P_@g?P_?c_?I_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_DG?P_CK?E_?e??I_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_@W?M?EO?Co?`_@@_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_@W?L?F??`O?`_?B_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_@W?L?BO?oO?`_?B_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_@W?L?BC?oO?b??B_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_@W?L?BC?@o?a_@`??	E	[13, 13, 12, 12]
S???????F?Y?b?W_@W?D_BG?T??B_@__?	E	[13, 13, 12, 12]
S???????F?Y?b?W_@W?D_BG?DO?b?@__?	E	[13, 13, 12, 12]
S???????F?Y?b?W_@W?D_BG?Co?a_@a??	E	[13, 13, 12, 12]
S???????F?Y?b?Q_D_?b?CS?B_@C_?H_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_DG@`?DC?F??D_?B_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_DG@`?DC?EO?F??B_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_DG@`?CS?F??H_?D_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_@g@H?GW?Ao?a_?c_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_@g@H?KC?QO?F??B_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_@g@H?Gc?Q_?a_?B_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_@g@H?Gc?QO?b??B_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_@g@H?GS?PO?d??D_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_@g@H??k?P_?E_@__?	E	[13, 13, 12, 12]
S???????F?Y?b?Oo@S@P?@o?cO?`_?a_?	E	[13, 13, 12, 12]
S???????F?Y?b?Oo@S@P?@o?PO@__?H_?	E	[13, 13, 12, 12]
S???????F?Y?b?Oo@S@P?Cg?cO?I_?a_?	E	[13, 13, 12, 12]
S???????F?Y?b?Oo@S@P?Cg?SO@A_?I_?	E	[13, 13, 12, 12]
S???????F?Y?b?Oo@S@P?GS?Oo?I_?k??	E	[13, 13, 12, 12]
S???????F?Y?b?Ao@S@K?SO?Co?B_@__?	E	[13, 13, 12, 12]
S???????F?Y?b?Ao@S@K?OW?DO?`_@__?	E	[13, 13, 12, 12]
S???????F?Y?b?Ao@S@K?PC?@o?b?@__?	E	[13, 13, 12, 12]
S???????F?Y?b?Ao@EBC?@g?Oo@a??I_?	E	[13, 13, 12, 12]
S???????F?R?`_[?Gg?e?B_?@o?P_@@_?	E	[13, 13, 12, 12]
S???????F?R?`_[?Gg?e?BO?Go?D_@@_?	E	[13, 13, 12, 12]
S???????F?R?`_[?Gg?e?@W?Ao?P_@O_?	E	[13, 13, 12, 12]
S???????F?R?`_[?Gg?d?@g?@o?Q_@O_?	E	[13, 13, 12, 12]
S???????F?R?`_[?Gg?d?@c?`O?R??P_?	E	[13, 13, 12, 12]
S???????F?R?`_[?Ag?L?OW?Go?Q_@C_?	E	[13, 13, 12, 12]
S???????F?R?`_[?Ag?L?OS?I_?B_@O_?	E	[13, 13, 12, 12]
S???????F?R?`_[?Ag?L?OS?Ao?R?@O_?	E	[13, 13, 12, 12]
S???????F?R?`_[?Ag?L?OS?Ao?P_@Q??	E	[13, 13, 12, 12]
S??????_E?[?[?ECAa?[?BO?a_?BO?F??	T2	-
S??????_E?[?WAM?Aa?W_@o?Q_?R??F??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?D_?s?Co?@o?B_?L??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?D_?s?CW?BO?B_?L??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?D_?s?Cc?@o?F??J??	T2	-
S??????_E?[?SAJ?D_?s??s?Ao?b??J??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?EO?w?BO?@o?F??D_?	E	[13, 13, 12, 12]
S??????_E?[?SAJ?EO?o_B_?B_?B_?J??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?EO?o_Ao?E_?B_?J??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?EO?o_BC?B_?F??J??	T2	-
S??????_E?[?SAJ?EO?o_AS?B_?L??J??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?DO?W_D_?P_?B_?F??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?DO?W_DO?Q_?B_?F??	E	[13, 13, 12, 12]
S??????_E?[?SAF?F??[?@c?@o@B??F??	E	[13, 13, 12, 12]
S??????_E?[?SAF?F??[?@S?Ao@B??F??	E	[13, 13, 12, 12]
S??????_E?[?SAF?F??[?@S?@o@D??F??	E	[13, 13, 12, 12]
S??????_E?[?SAF?DO?S_HO?Co?b??F??	E	[13, 13, 12, 12]
S??????_E?[?SAF?BO?[?@o?`_?B_@@_?	T2	-
S??????_E?M?[?J?PO?U??e?Co?b??J??	E	[13, 13, 12, 12]
S??????_E?M?[?ICOo?QOAW?D_?L??c_?	E	[13, 13, 12, 12]
S??????_E?M?[?IC?q?IOBG?Q_?F?CQ??	E	[13, 13, 12, 12]
S??????_E?M?[?IC?q?IOBG?H_CE??d??	E	[13, 13, 12, 12]
S??????_E?M?[?IC?q?IO@W?Q_?T?CQ??	E	[13, 13, 12, 12]
S??????_E?M?[?GEP_?s?B_?B_?B_?J??	T2	-
S??????_E?M?[?GEP_?s?BO?Ao?F??J??	T2	-
S??????_E?M?[?GEP_?s?Ao?E_?B_?J??	T2	-
S??????_E?M?[?GEP_?s?Ao?B_?H_?J??	T2	-
S??????_E?M?[?GEP_?s?Ao?Ao?J??J??	T2	-
