graph6	class	class_sizes
O???CB?oJ_DGBOK_Ao?[?	E	[10, 10, 10, 10]
O???CB?oJ_DG@oM?Ao?[?	E	[10, 10, 10, 10]
O???CB?oJ_DG@oL?BO?[?	E	[10, 10, 10, 10]
O???CB?oJ_DG@oJ?Ao?s?	E	[10, 10, 10, 10]
O???CB?oJAEGM?D_@o?[?	T2	-
O???CB?oJABGM?H_Ao?[?	E	[10, 10, 10, 10]
O???CB?oJABGL?I_Ao?[?	E	[10, 10, 10, 10]
O???CB?oJABGL?H_@o?s?	E	[10, 10, 10, 10]
O???CB?oJABGH_H_B_?s?	E	[10, 10, 10, 10]
O???CB?oHaF?M?B_?wAK?	T2	-
O???CB?oHaD_I_EOAoAK?	E	[10, 10, 10, 10]
O???CB?oHaDGX?D_@o?s?	E	[10, 10, 10, 10]
O???CB?oHaDGL?E_@oAK?	E	[10, 10, 10, 10]
O???CB?gJ_HGH_DO@o?s?	E	[10, 10, 10, 10]
O???CB?gJ_HGH_BOAo?s?	E	[10, 10, 10, 10]
O???CB?gJ_HGH_@oB_?s?	E	[10, 10, 10, 10]
O???CB?gIoM?J?Ao?w?k?	E	[10, 10, 10, 10]
O???CB?gIoJ?F?H_?w@E?	T2	-
O???CB?gIoJ?D_J??w@E?	E	[10, 10, 10, 10]
O???CB?gIoJ?D_B_Cg@E?	E	[10, 10, 10, 10]
O???CB?gIoF?EOP_Co?M?	T2	-
O???CB?gIoK_M?Co?w?[?	E	[10, 10, 10, 10]
O???CB?gIoK_K_EO?w?[?	E	[10, 10, 10, 10]
O???CB?gIoK_K_DO@W?[?	E	[10, 10, 10, 10]
O???CB?gIoI_M?Go?w?[?	E	[10, 10, 10, 10]
O???CB?gIoI_F?I_?w@E?	E	[10, 10, 10, 10]
O???CB?gIoI_K_IO?w?[?	E	[10, 10, 10, 10]
O???CB?gIoI_K_Go@g?[?	E	[10, 10, 10, 10]
O???CB?gIoE_EOI_Go?M?	E	[10, 10, 10, 10]
O???CB?gGwB_U?P_CW@E?	T2	-
O???CB?gGwB_S_Q_CW@I?	X	[11, 10, 10, 9]
O???CB?gGwBOT?Q_Cg@E?	E	[10, 10, 10, 10]
O???C@_wBAR?F?E_?w?L?	T2	-
O???C@_sF?F?F?B_?[?M?	E	[10, 10, 10, 10]
O???C@_sF?F?F?Ao?s?M?	E	[10, 10, 10, 10]
O???C@_sF?F?D_@W@o?U?	E	[10, 10, 10, 10]
O???C@_sF?D_AoAoAo?h?	E	[10, 10, 10, 10]
O???C@_sF?D_AgF??w?e?	E	[10, 10, 10, 10]
O???C@_sF?D_AgE_?w?i?	E	[10, 10, 10, 10]
O???C@_sF?D_AWE_?w?k?	E	[10, 10, 10, 10]
O???C@_sF?DGBOB_AS?k?	E	[10, 10, 10, 10]
O???C@_sF?DCF?D_@W?M?	E	[10, 10, 10, 10]
O???C@_sF?DCF?Co@o?M?	E	[10, 10, 10, 10]
O???C@_sF?DCB_B_Ag?e?	T2	-
O???C@_sF?DCEOD_@o?M?	E	[10, 10, 10, 10]
O???C@_sD_L?F?Ao?s?M?	E	[10, 10, 10, 10]
O???C@_sD_L?DOAo?s?[?	E	[10, 10, 10, 10]
O???C@_sD_L?BOAoAo?L?	E	[10, 10, 10, 10]
O???C@_sAaT?HOE_?s?[?	E	[10, 10, 10, 10]
O???C@_sAaP_AoB_Co@`?	E	[10, 10, 10, 10]
O???C@_sAaSGIGB_@o?k?	T2	-
O???C@_sAQU?IO@gAo?[?	T2	-
O???C@_sAQT?KOD_?s?[?	E	[10, 10, 10, 10]
O???C@_sAQT?DGE_?w@K?	E	[10, 10, 10, 10]
O???C@_sAQR?M?H_?w?L?	E	[10, 10, 10, 10]
O???C@_sAQS_K_Ao@o?h?	E	[10, 10, 10, 10]
O???C@_sAQS_H_BOBO?d?	E	[10, 10, 10, 10]
O???C@_sAQS_GoDGBO?[?	E	[10, 10, 10, 10]
O???C@_sAQS_EGI_Ao?M?	E	[10, 10, 10, 10]
O???C@_sAQS_BGI_Ao?e?	E	[10, 10, 10, 10]
O???C@_sAQS_AgJ?Ao?e?	E	[10, 10, 10, 10]
O???C@_sAQS_AgI_Ao?i?	E	[10, 10, 10, 10]
O???C@_sAQQ_KOH_@o?T?	E	[10, 10, 10, 10]
O???C@_sAQQ_HG@oBO@S?	E	[10, 10, 10, 10]
O???C@_sAQQ_BGE_CW@K?	E	[10, 10, 10, 10]
O???C@_sAQQ_@gHOBO@S?	E	[10, 10, 10, 10]
O???C@_sAQQ_@gBOEO@S?	E	[10, 10, 10, 10]
O???C@_sAQQ_@g@oF?@S?	E	[10, 10, 10, 10]
O???C@_sAQP_E_@oCo@`?	E	[10, 10, 10, 10]
O???C@_sAQP_IOH_Ao?d?	E	[10, 10, 10, 10]
O???C@_sAQP_HG@oEO?s?	E	[10, 10, 10, 10]
O???C@_sAQP_DGE_CW@K?	E	[10, 10, 10, 10]
O???C@_sAQP_GgI_Ao?i?	E	[10, 10, 10, 10]
O???C@_sAQP_CgM??w@K?	E	[10, 10, 10, 10]
O???C@_sAQP_CgF?CW@K?	E	[10, 10, 10, 10]
O???C@_sAQP_@gF?CW@c?	E	[10, 10, 10, 10]
O???C@_sAQP_@gDOEO@S?	E	[10, 10, 10, 10]
O???C@_sAQP_@g@oF?@c?	E	[10, 10, 10, 10]
O???C@_sAQOoDGHODO?s?	E	[10, 10, 10, 10]
O???C@_sAQOoBGI_E_?e?	E	[10, 10, 10, 10]
O???C@_sAQOoBGHOEO?s?	E	[10, 10, 10, 10]
O???C@_sAQSGM?D_?s?[?	E	[10, 10, 10, 10]
O???C@_sAQSGHGD_@o?s?	E	[10, 10, 10, 10]
O???C@_[F?R?F?B_?w?F?	E	[10, 10, 10, 10]
O???C@_[F?R?D_BG?w?U?	E	[10, 10, 10, 10]
O???C@_[F?R?D_@g@g?U?	E	[10, 10, 10, 10]
O???C@_[F?R?D_@W@o?U?	E	[10, 10, 10, 10]
O???C@_[F?R?BGB_?w?e?	E	[10, 10, 10, 10]
O???C@_[F?R?AWB_Ao?M?	T2	-
O???C@_[F?P_E_F??[?M?	E	[10, 10, 10, 10]
O???C@_[F?P_E_E_?w?J?	X	[11, 10, 10, 9]
O???C@_[F?P_E_EO?s?M?	T2	-
O???C@_[F?P_BGE_AW?M?	E	[10, 10, 10, 10]
O???C@_[F?P_BGB_AW?e?	T2	-
O???C@_[F?P_CgF?@W?M?	E	[10, 10, 10, 10]
O???C@_[F?P_AgF?AW?M?	E	[10, 10, 10, 10]
O???C@_[F?P_AgEOAo?M?	E	[10, 10, 10, 10]
O???C@_[F?P_AWE_Ao?M?	E	[10, 10, 10, 10]
O???C@_[F?QGEOB_@o?L?	T2	-
O???C@_[F?PGF?E_?s?M?	E	[10, 10, 10, 10]
O???C@_[F?PGEOB_Ao?L?	T2	-
O???C@_[F?PGBOB_Ao?d?	T2	-
O???C@_[F?PGDGE_@o?M?	E	[10, 10, 10, 10]
O???C@_[F?PGBGE_Ao?M?	E	[10, 10, 10, 10]
O???C@_[E_T?D_BG?w?U?	E	[10, 10, 10, 10]
O???C@_[E_DGaOB_?s?k?	T2	-
O???C@_[B_R?b?B_?[?M?	T2	-
O???C@_[B_R?b?Ag?w?M?	T2	-
O???C@_[B_R?`_AW@o?M?	T2	-
O???C@_[B_R?aGB_?w?M?	T2	-
O???C@_[B_R?`GB_@W?M?	T2	-
O???C@_[B_QGaOB_@o?L?	T2	-
O???C@_[B_QGaGB_@o?M?	T2	-
O???C@_[B_QCb?Ao?w?[?	T2	-
O???C@_[B_BCb?a_?w?M?	T2	-
O???C@_[B_BCb?`_@W?M?	T2	-
O???C@_[B_BCaO`_@o?M?	T2	-
O???C@_[B_BC`Oa_@o?M?	T2	-
O???C@_[EODGcOB_Ao?L?	E	[10, 10, 10, 10]
O???C@_[EOCgcOE_@o?L?	E	[10, 10, 10, 10]
O???C@_[EOAKBOE_CoCK?	E	[10, 10, 10, 10]
O???C@_[BOAoD_b?@WCB?	E	[10, 10, 10, 10]
O???C@_[BOQGaOD_@o?L?	T2	-
O???C@_[BOQCb?E_?w?M?	E	[10, 10, 10, 10]
O???C@_[BOQC`_F?@W?M?	E	[10, 10, 10, 10]
O???C@_[BOQC`_EO@o?M?	E	[10, 10, 10, 10]
O???C@_[BOBCd?a_?w?M?	E	[10, 10, 10, 10]
O???C@_[BOBCd?`_@W?M?	E	[10, 10, 10, 10]
O???C@_[BOBCd?_o@o?M?	E	[10, 10, 10, 10]
O???C@_[BOBCcO`_@o?M?	E	[10, 10, 10, 10]
O???C@_[BOOK`OD_@o?s?	T2	-
O???C@_[EAT?F?E_?s?M?	E	[10, 10, 10, 10]
O???C@_[EAT?DGD_@o?U?	E	[10, 10, 10, 10]
O???C@_eF?J?@WCo@o@K?	E	[10, 10, 10, 10]
O???C@_eF?I_I_EO?w?L?	E	[10, 10, 10, 10]
O???C@_eF?I_AgF??w@E?	E	[10, 10, 10, 10]
O???C@_eF?I_@gD_@W@Q?	E	[10, 10, 10, 10]
O???C@_eF?I_@gDODO?U?	E	[10, 10, 10, 10]
O???C@_eF?GoDGD_@W@Q?	E	[10, 10, 10, 10]
O???C@_eF?IGL?Ag?w?[?	E	[10, 10, 10, 10]
O???C@_eF?IGJ?E_?w?L?	E	[10, 10, 10, 10]
O???C@_eF?GgM?Co@o?L?	E	[10, 10, 10, 10]
O???C@_eF?GgL?D_@S?U?	E	[10, 10, 10, 10]
O???C@_eF?BCT?H_?w?U?	E	[10, 10, 10, 10]
O???C@_eE_M?J?B_?[?M?	T2	-
O???C@_eE_M?J?Ao?w?L?	E	[10, 10, 10, 10]
O???C@_eE_M?HOAo@o?L?	E	[10, 10, 10, 10]
O???C@_eE_M?HO@o@S?[?	E	[10, 10, 10, 10]
O???C@_eE_M?HGB_?w?U?	E	[10, 10, 10, 10]
O???C@_eE_K_BGD_CW?U?	E	[10, 10, 10, 10]
O???C@_eE_K_BGB_CW?e?	E	[10, 10, 10, 10]
O???C@_eE_B_Y?H_?w?F?	E	[10, 10, 10, 10]
O???C@_eE_B_Y?Go?w?L?	E	[10, 10, 10, 10]
O???C@_eE_BGY?H_?w?L?	T2	-
O???C@_eE_DCR?Go?w?k?	E	[10, 10, 10, 10]
O???C@_eE_DCR?Co?w@K?	E	[10, 10, 10, 10]
O???C@_eE_@cQ_KO?w@K?	E	[10, 10, 10, 10]
O???C@_eE_@cQ_CoCg@K?	E	[10, 10, 10, 10]
O???C@_eCoJ?X?Go?w?L?	T2	-
O???C@_eCoJ?P_@oCg@D?	T2	-
O???C@_eCoJ?POGoCo?L?	T2	-
O???C@_eCoJ?GWP_?w@K?	T2	-
O???C@_eCoJ?@WP_CW@K?	T2	-
O???C@_eCoI_Y??w?w@K?	E	[10, 10, 10, 10]
O???C@_eCoI_OoB_CW@H?	E	[10, 10, 10, 10]
O???C@_eCoI_OoIO?s@K?	E	[10, 10, 10, 10]
