strong6: 9 graphs, 0 colorable(6), 9 not, 0 capped
R 1 18 27 NOT6 142 chi=7 | 6 7  0 1 2 0 2 1 1 2 1 2 5 1 3 4 2 3 5 1 4 5 1
R 2 24 36 NOT6 142 chi=7 | 8 9  0 1 2 0 2 1 1 2 1 2 3 1 3 4 2 4 7 1 5 6 2 5 7 1 6 7 1
R 3 30 45 NOT6 142 chi=7 | 10 11  0 1 2 0 2 1 1 2 1 2 3 1 3 4 2 4 5 1 5 6 2 6 9 1 7 8 2 7 9 1 8 9 1
R 4 36 54 NOT6 142 chi=7 | 12 13  0 1 2 0 2 1 1 2 1 2 3 1 3 4 2 4 5 1 5 6 2 6 7 1 7 8 2 8 11 1 9 10 2 9 11 1 10 11 1
R 5 42 63 NOT6 142 chi=7 | 14 15  0 1 2 0 2 1 1 2 1 2 3 1 3 4 2 4 5 1 5 6 2 6 7 1 7 8 2 8 9 1 9 10 2 10 13 1 11 12 2 11 13 1 12 13 1
R 6 48 72 NOT6 142 chi=7 | 16 17  0 1 2 0 2 1 1 2 1 2 3 1 3 4 2 4 5 1 5 6 2 6 7 1 7 8 2 8 9 1 9 10 2 10 11 1 11 12 2 12 15 1 13 14 2 13 15 1 14 15 1
R 7 54 81 NOT6 142 chi=7 | 18 19  0 1 2 0 2 1 1 2 1 2 3 1 3 4 2 4 5 1 5 6 2 6 7 1 7 8 2 8 9 1 9 10 2 10 11 1 11 12 2 12 13 1 13 14 2 14 17 1 15 16 2 15 17 1 16 17 1
R 8 60 90 NOT6 142 chi=7 | 20 21  0 1 2 0 2 1 1 2 1 2 3 1 3 4 2 4 5 1 5 6 2 6 7 1 7 8 2 8 9 1 9 10 2 10 11 1 11 12 2 12 13 1 13 14 2 14 15 1 15 16 2 16 19 1 17 18 2 17 19 1 18 19 1
R 9 66 99 NOT6 142 chi=7 | 22 23  0 1 2 0 2 1 1 2 1 2 3 1 3 4 2 4 5 1 5 6 2 6 7 1 7 8 2 8 9 1 9 10 2 10 11 1 11 12 2 12 13 1 13 14 2 14 15 1 15 16 2 16 17 1 17 18 2 18 21 1 19 20 2 19 21 1 20 21 1
