WITNESS P=0,1,3,4,5,6,8,11,16,17,18,20,21,22,24,29,30,31,32,33 M=19
WITNESS P=0,1,3,4,5,6,11,13,15,17,18,21,23,24,26,27,30,31,32,34 M=9
WITNESS P=0,1,3,4,5,6,10,12,15,18,19,20,22,23,26,27,28,29,30,34 M=11
WITNESS P=0,1,3,4,5,7,8,9,10,15,17,19,21,22,25,27,28,30,31,34 M=13
WITNESS P=0,1,3,4,5,7,8,9,12,13,15,16,18,21,22,24,26,28,33,34 M=30
WITNESS P=0,1,3,4,5,8,9,11,12,14,17,18,20,22,24,29,30,31,32,34 M=26
WITNESS P=0,1,3,4,5,8,11,13,17,18,19,20,22,23,24,28,29,30,31,32 M=12
WITNESS P=0,1,3,4,5,9,10,11,12,13,16,17,19,20,21,24,27,29,33,34 M=28
WITNESS P=0,1,3,4,6,7,8,9,10,15,17,18,19,21,22,23,28,31,33,34 M=20
WITNESS P=0,1,3,4,6,7,8,9,11,14,19,20,21,23,24,25,27,32,33,34 M=22
WITNESS P=0,1,3,4,6,8,10,12,13,19,22,23,25,26,27,28,29,30,33,34 M=32
WITNESS P=0,1,3,4,6,9,10,12,14,16,21,22,23,24,26,27,28,30,31,32 M=18
WITNESS P=0,1,3,4,7,8,9,10,11,15,16,17,19,20,21,22,26,28,31,34 M=27
WITNESS P=0,1,3,4,7,8,9,11,12,13,15,16,17,18,23,25,27,29,30,33 M=21
WITNESS P=0,1,3,4,7,13,14,16,18,20,22,23,25,26,27,28,31,32,33,34 M=29
WITNESS P=0,1,3,5,7,9,10,12,13,14,15,18,19,20,21,22,23,25,26,29 M=16
WITNESS P=0,1,3,5,7,9,10,16,19,20,22,23,24,25,26,27,30,31,32,33 M=29
WITNESS P=0,1,3,5,7,12,13,14,15,17,18,19,21,22,23,26,27,29,30,32 M=9
WITNESS P=0,1,3,6,7,9,11,13,18,19,20,21,23,24,25,27,28,29,32,33 M=15
WITNESS P=0,1,3,6,11,12,13,15,16,17,19,24,25,26,27,28,30,31,33,34 M=14
WITNESS P=0,1,3,8,9,10,11,12,14,15,17,18,19,20,22,25,30,31,32,34 M=33
WITNESS P=0,1,4,5,6,7,9,10,12,14,16,18,19,25,28,29,31,32,33,34 M=3
WITNESS P=0,1,4,5,6,7,8,12,13,14,16,17,18,19,23,25,28,31,32,33 M=24
