triple,conjectured,verdict,S,unsat_time_s,sat_time_s,proof_bytes,rup,witness,cnf_sha256
"4,4,8",87,CONFIRMED,87,19.7,15.6,34275,VERIFIED,OK,d6161795d51c0655c6de97d9e7fd9cc4fc510217245f82725218765737e5cd40
"4,4,9",98,CONFIRMED,98,107.6,70.6,35394,VERIFIED,OK,e196bace6ea4f8e0f0cf2e3ac1070aa93391866d3b0f87211c60770111af892d
"4,5,8",111,CONFIRMED,111,113.4,84.6,56361,VERIFIED,OK,2be887090f15e9e993604525e4691944676b1a8131d45b6cd99d29a07e1426f5
"4,6,7",118,CONFIRMED,118,70.5,59.5,50372,VERIFIED,OK,2633d2cce3efe4c3e099e60c62f6d5ef1ee926da63f68276853fee14af971214
