n,a_max,num_anomalous_a,floor_1e9_rho
291,140,1,1009640939
292,140,1,1007394221
293,141,1,1009299085
294,141,1,1007606069
295,142,1,1008938668
296,142,1,1007791970
297,143,1,1008560241
298,143,1,1007952587
299,144,1,1008164341
300,144,1,1008088566
301,145,1,1007751492
302,145,1,1008200536
303,146,1,1007322198
304,146,1,1008289110
305,147,1,1006876954
306,147,1,1008354884
307,148,1,1006416236
308,148,1,1008398439
309,149,1,1005940509
310,149,1,1008420338
311,150,1,1005450224
312,150,1,1008421133
313,151,1,1004945819
314,151,1,1008401359
315,152,1,1004427719
316,152,1,1008361537
317,153,2,1003896338
318,153,1,1008302176
319,154,2,1003352077
320,154,1,1008223772
321,155,2,1002795327
322,155,1,1008126805
323,156,2,1002226468
324,156,1,1008011745
325,156,2,1002101782
326,157,1,1007879051
327,157,2,1002450971
328,158,1,1007729167
329,158,2,1002777416
330,159,1,1007562529
331,159,1,1003081620
332,160,1,1007379560
333,160,1,1003364077
334,161,1,1007180671
335,161,1,1003625269
336,162,1,1006966266
337,162,1,1003865665
338,163,1,1006736736
339,163,1,1004085725
340,164,1,1006492463
341,164,1,1004285897
342,165,1,1006233820
343,165,1,1004466618
344,166,1,1005961169
345,166,1,1004628318
346,167,1,1005674865
347,167,1,1004771413
348,168,1,1005375252
349,168,1,1004896313
350,169,1,1005062668
351,169,1,1005003416
352,170,1,1004737440
353,170,1,1005093112
354,171,1,1004399890
355,171,1,1005165782
356,172,1,1004050327
357,172,1,1005221798
358,173,1,1003689059
359,173,1,1005261525
360,174,1,1003316380
361,174,1,1005285317
362,175,1,1002932582
363,175,1,1005293523
364,176,1,1002537947
365,176,1,1005286482
366,177,1,1002132750
367,177,1,1005264526
368,178,1,1001717262
369,178,1,1005227980
370,179,1,1001291743
371,179,1,1005177161
372,180,1,1000856452
373,180,1,1005112380
374,181,1,1000411636
375,181,1,1005033940
376,182,0,999957542
377,182,1,1004942137
378,182,0,999858654
379,183,1,1004837263
380,183,1,1000137291
