name,status,comment,set_index,verdict,detail
"SDS(182,101,20,[182])",All,Orbit Exhaust,7,INVALID,autocorrelation at d=1 is 24 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,8,INVALID,autocorrelation at d=1 is 32 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,9,INVALID,autocorrelation at d=1 is 14 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,10,INVALID,autocorrelation at d=1 is 16 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,11,INVALID,autocorrelation at d=1 is 18 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,12,INVALID,autocorrelation at d=1 is 26 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,13,INVALID,autocorrelation at d=2 is 26 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,14,INVALID,autocorrelation at d=1 is 18 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,15,INVALID,autocorrelation at d=1 is 30 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,16,INVALID,autocorrelation at d=1 is 14 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,17,INVALID,autocorrelation at d=1 is 10 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,18,INVALID,autocorrelation at d=1 is 14 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,19,INVALID,autocorrelation at d=2 is 26 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,20,INVALID,autocorrelation at d=1 is 26 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,21,INVALID,autocorrelation at d=1 is 22 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,22,INVALID,autocorrelation at d=1 is 18 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,23,INVALID,autocorrelation at d=1 is 16 != lam=20
"SDS(182,101,20,[182])",All,Orbit Exhaust,24,INVALID,autocorrelation at d=1 is 22 != lam=20
"SDS(182,38,2,[182])",Yes,"Orbit Exhaust, assuming multiplier 3",0,INVALID,autocorrelation at d=1 is -2 != lam=2
"SDS(182,38,2,[182])",Yes,"Orbit Exhaust, assuming multiplier 3",1,INVALID,autocorrelation at d=2 is 4 != lam=2
"SDS(182,38,2,[182])",Yes,"Orbit Exhaust, assuming multiplier 3",2,INVALID,autocorrelation at d=1 is 4 != lam=2
"SDS(182,38,2,[182])",Yes,"Orbit Exhaust, assuming multiplier 3",3,INVALID,autocorrelation at d=2 is 0 != lam=2
"SDS(182,38,2,[182])",Yes,"Orbit Exhaust, assuming multiplier 3",4,INVALID,autocorrelation at d=1 is 0 != lam=2
"SDS(182,38,2,[182])",Yes,"Orbit Exhaust, assuming multiplier 3",5,INVALID,autocorrelation at d=1 is 6 != lam=2
"SDS(182,38,2,[182])",Yes,"Orbit Exhaust, assuming multiplier 3",6,INVALID,autocorrelation at d=2 is -2 != lam=2
"SDS(182,38,2,[182])",Yes,"Orbit Exhaust, assuming multiplier 3",7,INVALID,autocorrelation at d=1 is 4 != lam=2
