utc,name,db_status,decision,witnesses,verified,wall_s,result_line,cmd,engine_sha256,source_sha256
2026-08-09T12:16:58Z,"SDS(10,7,2,[10])",No,NONEXIST,0,True,0.003,"RESULT SDS(10,7,2,[10]) NONEXIST nP=6 nM=1 nodes=731 witnesses=0 mode=reduced0P secs=0.000",./sds_search 10 7 2 10 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(11,6,1,[11])",All,EXIST,10,True,0.008,"RESULT SDS(11,6,1,[11]) EXIST nP=5 nM=1 nodes=1640 witnesses=10 mode=reduced0P secs=0.000",./sds_search 11 6 1 11 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(11,9,4,[11])",No,NONEXIST,0,True,0.007,"RESULT SDS(11,9,4,[11]) NONEXIST nP=8 nM=1 nodes=506 witnesses=0 mode=reduced0P secs=0.000",./sds_search 11 9 4 11 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(13,12,-1,[13])",Yes,EXIST,12,True,0.010,"RESULT SDS(13,12,-1,[13]) EXIST nP=6 nM=6 nodes=6914 witnesses=12 mode=reduced0P secs=0.004",./sds_search 13 12 -1 13 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(13,12,2,[13])",No,NONEXIST,0,True,0.002,"RESULT SDS(13,12,2,[13]) NONEXIST nP=9 nM=3 nodes=2335 witnesses=0 mode=reduced0P secs=0.000",./sds_search 13 12 2 13 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(14,10,2,[14])",No,NONEXIST,0,True,0.006,"RESULT SDS(14,10,2,[14]) NONEXIST nP=8 nM=2 nodes=24595 witnesses=0 mode=reduced0P secs=0.005",./sds_search 14 10 2 14 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(14,12,4,[14])",No,NONEXIST,0,True,0.003,"RESULT SDS(14,12,4,[14]) NONEXIST nP=10 nM=2 nodes=6469 witnesses=0 mode=reduced0P secs=0.001",./sds_search 14 12 4 14 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(15,11,1,[15])",No,NONEXIST,0,True,0.021,"RESULT SDS(15,11,1,[15]) NONEXIST nP=8 nM=3 nodes=101361 witnesses=0 mode=reduced0P secs=0.019",./sds_search 15 11 1 15 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(15,11,5,[15])",No,NONEXIST,0,True,0.009,"RESULT SDS(15,11,5,[15]) NONEXIST nP=10 nM=1 nodes=13055 witnesses=0 mode=reduced0P secs=0.006",./sds_search 15 11 5 15 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
2026-08-09T12:16:58Z,"SDS(15,8,2,[15])",No,NONEXIST,0,True,0.006,"RESULT SDS(15,8,2,[15]) NONEXIST nP=7 nM=1 nodes=24741 witnesses=0 mode=reduced0P secs=0.004",./sds_search 15 8 2 15 --cap=50,f59fd7eec813c4144232718fbc403811b2f5ed3bf0d97a955962caee4bc0a689,e9a34ac00672730d768a798f9c557d04ed61da2ce78efd9cadf65abdc6b1df78
