p,q,r,alphabet,L,exact,nodes,secs,word
-1,-1,0,"0,0|-1,0|1,0|0,1",440,0,600000512,53.823,"0,0 -1,0 0,0 1,0 0,0 -1,0 0,0 0,1 0,0 -1,0 1,0 0,0 1,0 0,1 0,0 1,0 0,0 -1,0 0,0 0,1 -1,0 0,0 -1,0 1,0 0,1 0,0 0,1 -1,0 0,1 1,0 0,0 1,0 0,1 1,0 -1,0 0,1 0,0 -1,0 0,0 1,0 -1,0 1,0 0,1 1,0 0,0 1,0 0,1 1,0 -1,0 0,1 1,0 0,1 0,0 0,1 1,0 0,1 -1,0 0,1 0,0 -1,0 0,0 1,0 0,0 0,1 1,0 0,1 -1,0 0,1 0,0 0,1 -1,0 0,1 1,0 -1,0 0,1 -1,0 0,0 -1,0 1,0 -1,0 0,0 -1,0 0,1 0,0 -1,0 1,0 0,0 1,0 0,1 0,0 1,0 0,0 -1,0 0,0 0,1 -1,0 1,0 -1,0 0,0 0,1 -1,0 0,1 1,0 0,1 0,0 0,1 1,0 0,1 -1,0 1,0 0,1 1,0 0,0 1,0 0,1 1,0 -1,0 1,0 0,0 -1,0 1,0 -1,0 0,1 1,0 0,0 1,0 0,1 -1,0 1,0 0,1 0,0 0,1 -1,0 0,1 1,0 -1,0 1,0 0,0 1,0 -1,0 0,1 -1,0 0,0 -1,0 1,0 0,0 1,0 0,1 1,0 0,0 1,0 -1,0 0,0 1,0 0,0 0,1 -1,0 1,0 -1,0 0,0 -1,0 0,1 -1,0 0,0 -1,0 1,0 0,0 1,0 0,1 1,0 -1,0 0,0 -1,0 1,0 -1,0 0,1 1,0 0,1 0,0 0,1 -1,0 1,0 0,1 -1,0 0,0 -1,0 0,1 1,0 -1,0 1,0 0,0 -1,0 1,0 -1,0 0,1 -1,0 0,0 -1,0 0,1 -1,0 1,0 0,1 -1,0 0,1 0,0 0,1 -1,0 0,1 1,0 0,1 0,0 1,0 -1,0 1,0 0,1 0,0 0,1 -1,0 0,0 -1,0 1,0 0,0 -1,0 0,0 0,1 1,0 0,0 1,0 -1,0 1,0 0,0 1,0 0,1 1,0 0,0 -1,0 0,1 -1,0 1,0 0,1 1,0 0,0 1,0 0,1 1,0 -1,0 0,1 1,0 0,1 0,0 0,1 -1,0 0,0 -1,0 1,0 -1,0 0,0 -1,0 0,1 -1,0 1,0 0,1 -1,0 0,1 0,0 0,1 -1,0 0,1 1,0 0,1 0,0 1,0 0,0 -1,0 0,0 0,1 -1,0 0,1 1,0 0,1 0,0 0,1 1,0 0,1 -1,0 1,0 0,1 1,0 0,0 1,0 0,1 1,0 -1,0 1,0 0,0 -1,0 0,0 0,1 1,0 -1,0 1,0 0,1 1,0 0,0 0,1 -1,0 0,1 0,0 0,1 1,0 0,1 0,0 -1,0 0,1 -1,0 1,0 -1,0 0,1 -1,0 0,0 -1,0 1,0 0,0 1,0 0,1 0,0 0,1 -1,0 1,0 0,1 1,0 0,0 1,0 -1,0 1,0 0,0 1,0 0,1 0,0 -1,0 1,0 -1,0 0,0 -1,0 0,1 -1,0 0,0 -1,0 1,0 0,0 1,0 0,1 0,0 -1,0 0,0 0,1 1,0 0,1 -1,0 0,0 -1,0 0,1 -1,0 1,0 -1,0 0,1 -1,0 0,0 0,1 1,0 0,1 0,0 0,1 -1,0 0,1 0,0 1,0 0,1 1,0 -1,0 1,0 0,1 1,0 0,0 1,0 0,1 -1,0 0,1 0,0 1,0 0,0 0,1 -1,0 0,0 -1,0 1,0 0,0 1,0 0,1 0,0 1,0 0,0 -1,0 0,1 0,0 -1,0 1,0 -1,0 0,0 -1,0 0,1 -1,0 0,0 1,0 0,1 0,0 0,1 -1,0 0,1 0,0 1,0 0,1 1,0 -1,0 1,0 0,0 0,1 -1,0 0,0 -1,0 1,0 0,0 1,0 0,1 -1,0 1,0 0,0 1,0 -1,0 1,0"
-1,-1,-1,"0,0|-1,0|1,-1|0,1",996,0,600001392,119.223,"0,0 -1,0 0,0 1,-1 0,0 -1,0 0,0 0,1 0,0 -1,0 0,0 1,-1 -1,0 0,0 -1,0 0,1 -1,0 1,-1 -1,0 0,0 1,-1 0,0 0,1 0,0 -1,0 0,0 1,-1 0,0 0,1 1,-1 -1,0 1,-1 0,0 -1,0 0,0 0,1 0,0 1,-1 0,1 0,0 0,1 -1,0 1,-1 0,1 1,-1 0,0 1,-1 -1,0 1,-1 0,0 1,-1 0,1 0,0 1,-1 0,0 -1,0 0,0 0,1 -1,0 0,0 -1,0 1,-1 0,0 1,-1 0,1 -1,0 0,1 1,-1 0,0 0,1 0,0 -1,0 0,1 0,0 0,1 1,-1 0,1 -1,0 1,-1 0,1 1,-1 0,0 1,-1 -1,0 0,0 -1,0 0,1 0,0 -1,0 0,0 1,-1 -1,0 0,0 -1,0 0,1 1,-1 -1,0 1,-1 0,0 -1,0 0,0 0,1 -1,0 0,1 1,-1 0,1 -1,0 0,0 0,1 0,0 1,-1 0,1 0,0 0,1 -1,0 0,1 1,-1 0,1 -1,0 0,1 0,0 -1,0 1,-1 0,1 1,-1 0,0 0,1 1,-1 0,1 -1,0 0,0 -1,0 1,-1 0,1 -1,0 0,0 1,-1 0,0 -1,0 0,0 0,1 1,-1 0,1 0,0 0,1 1,-1 -1,0 1,-1 0,0 1,-1 0,1 1,-1 0,0 1,-1 -1,0 0,0 -1,0 0,1 -1,0 1,-1 -1,0 0,0 -1,0 0,1 0,0 1,-1 0,0 -1,0 0,1 0,0 0,1 1,-1 0,1 -1,0 0,1 1,-1 0,1 0,0 1,-1 0,1 1,-1 -1,0 1,-1 0,0 1,-1 -1,0 1,-1 0,1 -1,0 0,1 0,0 0,1 1,-1 0,0 -1,0 1,-1 0,0 1,-1 0,1 1,-1 0,0 1,-1 -1,0 1,-1 0,1 -1,0 1,-1 -1,0 0,0 -1,0 1,-1 -1,0 0,1 -1,0 0,0 0,1 0,0 1,-1 0,0 -1,0 0,0 1,-1 0,0 0,1 1,-1 0,1 -1,0 1,-1 -1,0 0,0 -1,0 1,-1 0,1 -1,0 0,1 0,0 -1,0 0,1 -1,0 1,-1 -1,0 0,0 -1,0 1,-1 -1,0 0,1 1,-1 -1,0 0,0 1,-1 0,0 0,1 0,0 -1,0 1,-1 -1,0 0,1 1,-1 -1,0 1,-1 0,0 1,-1 0,1 1,-1 -1,0 0,1 1,-1 0,1 0,0 0,1 -1,0 0,1 0,0 0,1 1,-1 0,0 -1,0 0,0 0,1 -1,0 0,0 -1,0 1,-1 0,0 -1,0 0,0 0,1 -1,0 0,1 1,-1 0,0 0,1 1,-1 -1,0 1,-1 0,0 -1,0 1,-1 -1,0 0,1 -1,0 0,0 -1,0 0,1 -1,0 1,-1 0,1 -1,0 0,1 0,0 1,-1 0,0 -1,0 0,1 0,0 0,1 1,-1 0,1 0,0 0,1 -1,0 0,1 1,-1 -1,0 0,1 -1,0 0,0 -1,0 1,-1 0,0 -1,0 0,0 0,1 0,0 1,-1 0,1 1,-1 -1,0 1,-1 0,0 1,-1 0,1 1,-1 -1,0 0,1 0,0 0,1 -1,0 0,1 1,-1 0,1 -1,0 0,0 1,-1 -1,0 0,0 -1,0 0,1 0,0 1,-1 0,1 0,0 0,1 -1,0 0,1 0,0 0,1 1,-1 0,1 -1,0 1,-1 0,1 1,-1 0,0 -1,0 0,0 0,1 1,-1 0,1 -1,0 1,-1 0,1 1,-1 0,0 1,-1 0,1 1,-1 -1,0 1,-1 0,0 -1,0 0,0 0,1 0,0 -1,0 0,0 1,-1 0,0 -1,0 0,1 -1,0 1,-1 0,0 1,-1 -1,0 1,-1 0,1 1,-1 -1,0 1,-1 0,0 -1,0 0,0 0,1 0,0 1,-1 0,1 0,0 0,1 -1,0 0,1 1,-1 0,1 -1,0 0,1 0,0 -1,0 0,0 1,-1 0,0 0,1 0,0 -1,0 0,0 1,-1 -1,0 1,-1 0,1 1,-1 0,0 -1,0 0,0 0,1 -1,0 0,0 -1,0 1,-1 -1,0 0,0 -1,0 0,1 -1,0 1,-1 0,1 -1,0 0,1 0,0 -1,0 0,0 1,-1 0,0 0,1 -1,0 0,1 0,0 0,1 1,-1 -1,0 0,0 1,-1 -1,0 1,-1 0,1 1,-1 -1,0 0,0 0,1 -1,0 0,1 1,-1 0,1 -1,0 0,1 0,0 0,1 1,-1 0,0 1,-1 -1,0 1,-1 0,1 1,-1 0,0 0,1 -1,0 0,1 0,0 1,-1 0,0 -1,0 0,0 1,-1 0,1 1,-1 -1,0 0,0 -1,0 1,-1 -1,0 0,1 -1,0 1,-1 -1,0 0,0 1,-1 0,1 0,0 1,-1 -1,0 1,-1 0,0 0,1 1,-1 0,1 -1,0 1,-1 0,1 1,-1 0,0 1,-1 -1,0 1,-1 0,0 1,-1 0,1 0,0 1,-1 -1,0 0,0 0,1 -1,0 0,1 1,-1 0,1 0,0 0,1 1,-1 0,1 -1,0 1,-1 0,0 1,-1 0,1 -1,0 1,-1 -1,0 0,0 -1,0 0,1 0,0 0,1 1,-1 0,0 -1,0 1,-1 0,1 1,-1 0,0 0,1 0,0 -1,0 0,1 0,0 0,1 1,-1 0,1 -1,0 0,1 1,-1 0,1 0,0 1,-1 0,1 1,-1 -1,0 0,0 1,-1 0,0 0,1 1,-1 0,1 -1,0 0,1 0,0 -1,0 0,0 1,-1 0,0 0,1 1,-1 0,0 1,-1 -1,0 1,-1 0,0 1,-1 0,1 1,-1 -1,0 0,1 -1,0 0,0 -1,0 1,-1 -1,0 0,1 -1,0 0,0 0,1 0,0 1,-1 0,1 -1,0 0,0 1,-1 0,1 1,-1 -1,0 1,-1 0,1 0,0 -1,0 0,1 0,0 0,1 1,-1 0,1 0,0 0,1 -1,0 0,1 1,-1 -1,0 0,1 -1,0 0,0 1,-1 -1,0 1,-1 0,1 -1,0 0,1 0,0 0,1 1,-1 0,0 1,-1 -1,0 1,-1 0,1 1,-1 0,0 0,1 1,-1 0,1 -1,0 0,1 1,-1 0,1 0,0 0,1 -1,0 0,0 0,1 0,0 1,-1 0,1 -1,0 0,1 1,-1 0,0 1,-1 -1,0 0,1 1,-1 0,0 -1,0 0,0 0,1 -1,0 0,1 1,-1 0,1 0,0 0,1 -1,0 0,0 0,1 0,0 1,-1 -1,0 0,0 -1,0 0,1 -1,0 0,0 -1,0 1,-1 -1,0 0,1 0,0 1,-1 0,0 -1,0 0,0 0,1 1,-1 0,1 0,0 0,1 -1,0 1,-1 -1,0 0,0 1,-1 -1,0 1,-1 0,1 -1,0 0,0 -1,0 1,-1 0,0 1,-1 0,1 1,-1 0,0 -1,0 0,1 0,0 0,1 1,-1 0,1 0,0 0,1 -1,0 0,1 1,-1 -1,0 0,0 -1,0 0,1 1,-1 0,1 0,0 0,1 1,-1 -1,0 1,-1 0,0 -1,0 1,-1 -1,0 0,1 -1,0 0,0 -1,0 1,-1 0,0 -1,0 0,0 0,1 1,-1 0,0 1,-1 -1,0 1,-1 0,0 1,-1 0,1 1,-1 -1,0 0,0 0,1 0,0 1,-1 0,0 -1,0 0,1 1,-1 -1,0 1,-1 0,0 -1,0 0,1 0,0 0,1 1,-1 0,1 -1,0 0,1 1,-1 0,1 0,0 1,-1 0,0 -1,0 0,0 1,-1 0,0 0,1 1,-1 0,0 1,-1 -1,0 1,-1 0,1 1,-1 0,0 0,1 1,-1 0,1 -1,0 0,1 1,-1 0,1 0,0 0,1 -1,0 0,0 0,1 0,0 1,-1 0,1 -1,0 1,-1 0,1 0,0 0,1 1,-1 -1,0 0,1 -1,0 0,0 -1,0 0,1 -1,0 1,-1 -1,0 0,1 0,0 0,1 1,-1 0,1 -1,0 0,0 1,-1 0,0 0,1 1,-1 0,1 -1,0 0,1 1,-1 0,1 0,0 1,-1 0,1 1,-1 -1,0 1,-1 0,0 1,-1 0,1 0,0 -1,0 0,1 1,-1 -1,0 0,1 0,0 -1,0 0,0 1,-1 0,0 0,1 1,-1 0,0 1,-1 -1,0 1,-1 0,1 -1,0 0,0 -1,0 1,-1 0,0 -1,0 0,0 0,1 -1,0 0,1 1,-1 0,1 0,0 0,1 -1,0 0,1 1,-1 -1,0 1,-1 0,0 -1,0 1,-1 -1,0 0,1 -1,0 0,0 -1,0 0,1 -1,0 1,-1 0,1 -1,0 0,1 0,0 1,-1 0,0 -1,0 0,1 -1,0 1,-1 0,1 -1,0 0,1 0,0 0,1 -1,0 0,1 1,-1 0,1 0,0 1,-1 0,1 1,-1 -1,0 0,0 1,-1 0,0 0,1 1,-1 0,1 -1,0 0,1 0,0 -1,0 0,0 1,-1 0,0 0,1 1,-1 -1,0 1,-1 0,0 -1,0 0,0 0,1 -1,0 0,1 1,-1 -1,0 0,1 -1,0 0,0 -1,0 1,-1 -1,0 0,0 -1,0 0,1 0,0 -1,0 1,-1 0,0 1,-1 0,1 0,0 -1,0 0,1 -1,0 1,-1 -1,0 0,0 1,-1 -1,0 1,-1"
-1,-1,1,"0,0|-1,0|1,1|0,1",60,1,7707828,0.242,"0,0 0,1 -1,0 0,0 1,1 0,1 1,1 -1,0 0,1 -1,0 0,0 -1,0 0,1 1,1 0,1 -1,0 0,1 1,1 0,0 1,1 -1,0 0,0 -1,0 0,1 -1,0 0,0 1,1 0,0 -1,0 0,0 1,1 0,1 1,1 0,0 1,1 0,1 -1,0 0,1 1,1 0,1 0,0 1,1 0,0 -1,0 0,1 -1,0 0,0 -1,0 0,1 1,1 0,1 -1,0 0,1 0,0 -1,0 0,0 1,1 0,1 -1,0 1,1"
