a,b,c,L,exact,degenerate,nodes,secs,word
1,4,7,150,0,0,400000172,7.227,"0,1,0,4,0,1,0,7,1,0,1,4,7,4,1,4,7,0,7,1,7,0,4,1,0,4,0,7,0,4,0,1,0,7,1,0,1,4,1,7,1,0,7,0,4,0,7,1,7,4,7,1,0,1,4,1,7,4,0,7,4,7,1,7,4,7,0,7,1,0,7,0,4,0,1,0,7,1,7,4,0,7,1,0,1,4,1,7,0,1,7,4,7,1,0,7,0,4,0,7,0,1,0,4,7,1,7,0,1,0,4,0,1,0,7,1,0,1,4,1,7,4,7,0,4,1,0,1,7,0,1,0,4,0,7,0,4,0,1,4,7,1,7,0,7,4,1,7,4,7"
2,4,7,136,0,0,400000088,6.956,"0,2,0,4,0,2,0,7,0,2,0,4,2,7,4,0,7,0,2,7,0,7,4,7,2,4,7,4,0,2,0,4,0,7,2,7,4,0,7,0,2,0,4,0,2,0,7,2,4,0,4,2,4,7,2,4,0,7,2,0,2,4,0,7,2,4,7,4,0,7,0,2,7,0,7,4,7,2,7,4,7,0,4,7,4,2,0,4,2,7,2,0,7,0,4,2,0,7,4,7,2,4,7,4,0,4,2,4,0,4,7,0,4,0,2,0,7,0,2,0,4,2,7,0,7,4,7,2,4,0,2,0,7,2,0,2"
3,4,7,58,1,1,7012884,0.093,"0,3,0,4,0,7,4,0,3,7,4,0,7,4,7,3,7,4,7,0,4,0,3,0,4,0,7,4,0,3,7,4,3,7,3,0,3,7,3,4,7,4,0,4,7,4,3,7,4,0,3,7,4,3,7,3,0,3"
1,5,7,155,0,0,400000088,7.555,"0,1,0,5,0,1,0,7,0,1,5,7,5,0,5,1,0,1,7,0,5,1,7,5,7,0,7,5,7,1,7,0,1,7,1,5,0,7,5,7,1,5,1,0,1,7,1,0,1,5,0,1,0,7,0,1,0,5,0,7,5,0,5,1,0,1,7,0,1,0,5,7,0,7,1,7,0,7,5,7,1,0,1,5,0,5,7,0,7,1,7,0,5,7,5,1,7,5,7,0,7,1,7,0,7,5,0,7,1,0,1,5,1,7,1,0,1,5,0,7,0,5,0,1,0,5,7,0,7,1,7,0,7,5,7,0,1,0,5,1,5,7,1,0,5,7,0,5,0,1,0,5,7,1,5"
2,5,7,60,1,1,7385084,0.097,"0,7,5,0,2,7,2,5,7,5,0,5,7,2,7,5,7,2,0,2,5,0,5,7,5,0,2,0,5,0,2,7,2,0,2,7,5,7,2,7,0,2,0,5,7,5,0,5,7,2,7,5,7,0,5,0,2,7,5,2"
1,6,7,60,1,1,7653372,0.104,"0,7,1,0,6,7,6,1,7,1,0,1,7,6,7,1,7,6,0,6,1,0,1,7,1,0,6,0,1,0,6,7,6,0,6,7,1,7,6,7,0,6,0,1,7,1,0,1,7,6,7,1,7,0,1,0,6,7,1,6"
1,2,8,177,0,0,400000136,7.698,"0,1,0,2,0,1,0,8,0,1,0,2,1,8,2,1,2,0,1,0,8,0,1,2,0,1,0,8,1,8,2,8,1,8,0,8,1,2,0,2,1,2,8,2,1,0,8,1,8,2,8,1,8,0,8,2,0,8,0,1,8,2,8,1,8,0,1,0,2,0,1,8,1,0,1,8,2,8,1,8,2,0,2,1,0,2,0,8,2,1,2,0,1,0,8,0,1,0,2,1,0,1,8,2,0,2,1,2,8,2,1,2,0,1,8,1,0,1,2,0,1,8,2,0,8,2,8,1,8,2,0,8,0,1,0,8,0,2,0,1,2,1,8,0,1,2,8,2,0,8,2,8,1,8,2,8,0,8,1,0,8,0,2,8,2,1,2,8,0,1,0,2,1,0,8,2,1"
1,3,8,164,0,0,400000096,7.633,"0,1,0,3,0,1,0,8,0,1,0,3,1,0,1,8,1,3,8,3,0,1,3,0,8,0,1,8,0,8,3,8,1,3,0,1,8,1,3,8,3,0,3,1,0,1,8,0,1,3,0,3,8,0,3,0,1,0,8,0,1,0,3,1,0,1,8,1,3,8,3,0,3,1,0,1,8,0,3,0,8,0,1,8,3,8,1,0,8,1,3,8,3,0,8,3,8,1,8,0,8,1,8,3,1,8,1,0,3,8,0,1,8,0,8,3,1,3,8,3,1,0,8,1,0,1,3,0,8,0,3,0,1,3,1,8,3,1,3,0,3,8,0,8,1,8,3,8,1,8,0,1,3,1,0,1,8,1,0,3,1,3,8,1"
2,3,8,157,0,0,400000096,7.573,"0,2,0,3,0,2,0,8,0,2,0,3,2,0,2,8,2,3,8,2,8,0,8,2,8,3,8,0,3,2,0,3,8,0,2,3,2,8,2,0,3,8,3,2,3,0,3,2,3,8,2,0,2,3,0,2,0,8,0,3,0,2,3,0,3,8,3,2,3,0,2,0,8,3,8,2,8,0,3,2,3,8,3,2,0,8,0,2,0,3,0,2,0,8,2,3,8,2,8,0,8,2,8,3,8,0,3,8,3,2,8,0,8,2,8,3,2,3,0,2,0,8,3,8,2,0,8,0,3,0,2,3,0,3,8,3,0,3,2,3,8,2,8,0,8,2,3,8,3,0,8,0,2,0,3,2,3"
1,4,8,194,0,0,400000116,7.778,"0,1,0,4,0,1,0,8,0,1,0,4,1,8,1,0,4,0,8,0,1,4,8,4,0,8,4,8,1,8,4,8,0,4,0,1,8,4,0,1,4,1,8,1,4,1,0,1,8,0,1,0,4,0,8,4,0,4,1,0,1,8,1,4,8,1,8,0,4,8,0,1,0,4,0,8,4,1,8,4,8,0,8,4,8,1,8,0,1,8,1,4,1,8,1,0,8,0,4,1,0,8,1,8,4,8,1,0,8,0,4,0,8,0,1,0,8,4,8,1,4,1,0,1,8,1,0,1,4,0,1,0,8,0,1,0,4,0,8,4,0,4,1,8,1,4,0,1,4,8,4,0,8,4,8,1,8,4,8,0,8,1,0,1,4,1,0,1,8,0,1,0,4,8,1,4,8,4,0,8,0,1,0,4,1,0,1,8,4,0,4,1,4,0"
