cube,status,seconds,conflicts,proof_sha256,note
-37.31.-43.-33.41.34.40.-29,UNSAT,0.03,1281,a60153df779d4941ad8245f9419663a5819d6cf363f11ee753ddd57ac56e719e,61255
-37.31.-43.-33.41.34.-40.29,UNSAT,0.01,704,2f77b09f50dfb43c67424573ab08d5648ef2911173264da54a382a324e624a8b,36180
-37.31.-43.-33.41.34.-40.-29,UNSAT,0.02,307,b99f5a708f90af33f0dd7faa943d3f75bc4ef314f096b0dda1e3c8a38e3e275e,26778
-37.31.-43.-33.41.34.40.29,UNSAT,0.10,2954,2c20d9696039e84f68cea76196ee99a44f0149553b12c0e30d808aac61b0f019,191693
-37.31.-43.-33.41.-34.40.29,INDET,0.01,,,
-37.31.-43.-33.41.-34.40.29,SPLIT,0.01,,,->16 kids
-37.31.-43.-33.41.-34.-40.29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.31.-43.-33.41.-34.-40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.31.-43.-33.41.-34.40.-29,UNSAT,0.05,1437,3e20623bb50797c8d62f709cc4315a8619243916f95ec3575477f6975971f687,71666
-37.31.-43.-33.-41.34.40.29,UNSAT,0.04,1054,5d31e87a861f9c262deeea30d358264c01cce0312c8b964e61ec0f36aa075749,52029
-37.31.-43.-33.-41.34.40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.31.-43.-33.-41.34.-40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.31.-43.-33.-41.34.-40.29,UNSAT,0.01,266,3f71b6987e43a323c018945a41d94673f31cf542cdc7e000e291bea070e3d64a,16967
-37.31.-43.-33.-41.-34.40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.31.-43.-33.-41.-34.-40.29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.31.-43.-33.-41.-34.40.29,UNSAT,0.03,751,feb34f593a54f39138d9d73ffb3b9d0f76489bd2e93b8ee03b3b892364223b3e,39185
-37.31.-43.-33.-41.-34.-40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.-31.43.33.41.34.40.-29,UNSAT,0.07,2642,d9304dec1c42c88296e8b5bdfab47edba15b0237303f646af4abea597368fb00,142047
-37.-31.43.33.41.34.40.29,UNSAT,0.13,4358,6e30be3c5145066345ba819dbe7b925975ccc6fe5db890b8503778606dd50c92,265202
-37.-31.43.33.41.34.-40.29,UNSAT,0.09,3070,e54f0bd89b91a55c1cb5695c146eaa0d781f0411a3cb78d772320a20458c9c89,181718
-37.-31.43.33.41.34.-40.-29,UNSAT,0.06,2166,952cc97ca00bff08ec5d3777142513beab6d0549e0b6dd2e193031a8cd0b26bd,126582
-37.-31.43.33.41.-34.40.-29,UNSAT,0.02,806,5a5cc0dc254bead1ce7ea0926826eaaddbad25333a6c3285854e71170ac20206,42014
-37.-31.43.33.41.-34.-40.29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.-31.43.33.41.-34.40.29,UNSAT,0.05,1815,19191f9178faadb65bebb5466923f1ef8c1c961b3de41e2f283774f993494f9b,88139
-37.-31.43.33.-41.34.40.29,INDET,0.02,,,
-37.-31.43.33.-41.34.40.29,SPLIT,0.02,,,->16 kids
-37.-31.43.33.41.-34.-40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.-31.43.33.-41.34.40.-29,UNSAT,0.05,1407,baceef05b9c4d09a15823e0c28bc3475acc4ba458c9b62f6cf88523e42de2879,68696
-37.-31.43.33.-41.34.-40.29,UNSAT,0.04,2175,f316c83d75ec819aa37198f568b749d61757b17926870c81ad2b28b1a7bda384,141547
-37.-31.43.33.-41.-34.40.29,UNSAT,0.02,979,696e839099da95291ff74a348cfc2df4a099a653bf08df0bbe373fccf273994e,50160
-37.-31.43.33.-41.34.-40.-29,UNSAT,0.03,1474,8e3876ce1f94629c35a58953cc9a0555b6e36b3e161954c6d20ce34f046d565a,71515
-37.-31.43.33.-41.-34.40.-29,UNSAT,0.01,416,e358ecc75c6192b68edc35fe8a2529cad01265ebf59776d47ecaba62d8fe405d,25001
-37.-31.43.33.-41.-34.-40.29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.-31.43.33.-41.-34.-40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.-31.-43.33.41.34.40.-29,UNSAT,0.02,735,8581b73173d25a8efa311f60d03992a9f6a20f9b64db535147eeb795dc1a2001,35911
-37.-31.-43.33.41.34.40.29,UNSAT,0.04,1741,ecd9e047f36193162b450f7da45cb3b13085949962eb1a05e225db1508b63c50,79996
-37.-31.-43.33.41.34.-40.-29,INDET,0.03,,,
-37.-31.-43.33.41.34.-40.-29,SPLIT,0.03,,,->16 kids
-37.-31.-43.33.41.34.-40.29,UNSAT,0.03,906,a8f9e1e60cfd52191dd25c5fe23696584efd7af719ef9135346658c5b53707f0,45759
-37.-31.-43.33.41.-34.40.-29,UNSAT,0.01,322,686c2551053211133a61b1e459365daa3a118e024fdc5fe53f8e487f8fc14873,25164
-37.-31.-43.33.41.-34.40.29,UNSAT,0.04,1248,d604a8c20b2312c612c9204f57d05cc67abb1d9a142b8acbaf63e8174a9121fd,63846
-37.-31.-43.33.41.-34.-40.29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.-31.-43.33.41.-34.-40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.-31.-43.33.-41.34.40.-29,UNSAT,0.01,400,b2f2bff25090408e76a53a3b96a6828e642911f4fcd8aa8cb72c6d0ec9c7e4f4,27437
-37.-31.-43.33.-41.34.40.29,UNSAT,0.01,562,97cdcfb491ea5a7879c0cf4bc52096b580e7dc4b2757b534026f34d17d6dc5b3,30325
-37.-31.-43.33.-41.34.-40.-29,UNSAT,0.01,170,19f411583a6d595cf8fa66b6610f015263ba751749b2391be6d17337bd3d79fc,15307
-37.-31.-43.33.-41.34.-40.29,UNSAT,0.01,330,d1cc754a67676c6272e0a61db681006a874a7eb0a5e2932ce68e21a9f933199d,24175
-37.-31.-43.33.-41.-34.40.-29,UNSAT,0.00,174,125d5d9bbe311d6061f890d8b728edf06f7564fdf5f67f58686db099e9582919,14655
-37.-31.-43.33.-41.-34.-40.29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.-31.-43.33.-41.-34.40.29,UNSAT,0.02,584,c025a19d201fcc6a29a150c0376232fc94ca60c4b6417937d6b6172f62904971,32680
-37.-31.-43.33.-41.-34.-40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.-31.-43.-33.41.34.40.29,UNSAT,0.02,565,dfe2c796470e6152cd1b72095228e9dd5602909e54628a21436d5fd845a8fe54,31198
-37.-31.-43.-33.41.34.40.-29,UNSAT,0.01,415,bfdb45c0def83533892c528b35a9b274f412de44d0486c5285659bbf05772898,24145
-37.-31.-43.-33.41.34.-40.29,UNSAT,0.00,229,c8e35135281b832b1499dc6ff6974f97160cccc1a34de8382baa44c4c2724c76,16149
-37.-31.-43.-33.41.34.-40.-29,UNSAT,0.01,350,bf83ee813b0123cf427b343b2cfd0830278d409d45341d3e8e16ba9bdadeb69c,24475
-37.-31.-43.-33.41.-34.40.29,UNSAT,0.02,303,4d06d357fd5bd69d8ac59b1e6c2c0287d393c11c2eb97361b7746e52fcb30cf9,24403
-37.-31.-43.-33.41.-34.40.-29,UNSAT,0.01,217,09158a80a20fce5806511f22402d6fa15c38ecc1cf60c5bab448987f0fe8e309,16974
-37.-31.-43.-33.41.-34.-40.29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.-31.-43.-33.41.-34.-40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.-31.-43.-33.-41.34.40.29,UNSAT,0.00,73,0e4bcf4b77ea3c2d9536a60bb570d2449f84396e15909a9c4da7eee056acc473,12746
-37.-31.-43.-33.-41.34.40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.-31.-43.-33.-41.34.-40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.-31.-43.-33.-41.34.-40.29,UNSAT,0.00,50,64bd7dc98561c11ace730beaaa39fa26ef73a1361f3ac3c7d7e46b67daefa82c,13645
-37.-31.-43.-33.-41.-34.40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.-31.-43.-33.-41.-34.40.29,UNSAT,0.00,70,7ba539d8573b45806a018139a51ffede23ed6f642dc42c90c9b771b72f704c09,14166
-37.-31.-43.-33.-41.-34.-40.29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
-37.-31.-43.-33.-41.-34.-40.-29,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.43.-33.41.-34.40.-29.45.36.38.-35,UNSAT,0.01,19,76d59d7c62b643d480620150eaf99f1c475a5a5051adf43c28aca70265058d08,15640
37.31.43.-33.41.-34.40.-29.45.36.38.35,UNSAT,0.03,54,d9aa2f5c638e8545aadf06305bfdd6bb68e24cbef66434ac0ecf1706ca033bba,14101
37.31.43.-33.41.-34.40.-29.45.36.-38.35,UNSAT,0.01,19,18847b99d8ac2f68f9a9899e29f3682c3248a306e21c73d1d73d988545540d98,14510
37.31.43.-33.41.-34.40.-29.45.-36.38.35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.43.-33.41.-34.40.-29.45.36.-38.-35,UNSAT,0.00,88,b791d2f4753fced893887e71f12292cae8003274320c88a11c9b4baf7cf36ab5,13068
37.31.43.-33.41.-34.40.-29.45.-36.38.-35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.43.-33.41.-34.40.-29.45.-36.-38.35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.43.-33.41.-34.40.-29.45.-36.-38.-35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.43.-33.41.-34.40.-29.-45.36.38.35,UNSAT,0.00,46,256a921bbdf83803b64e150eaec0facc5963514e848800eefa8a9d751c3895ca,14363
37.31.43.-33.41.-34.40.-29.-45.36.38.-35,UNSAT,0.00,45,08aa02f03fd105eff98af916cff8295f6322f3eeddde0e83f59e00f2d1773a57,15594
37.31.43.-33.41.-34.40.-29.-45.36.-38.-35,UNSAT,0.01,172,26349563333c7303eb91da456b71f87eb3481adc4d20db30ed430739b2750183,15523
37.31.43.-33.41.-34.40.-29.-45.36.-38.35,UNSAT,0.01,158,ddc5926cfc55f079a839ea6eb6e154fc80b65014beedf9bd7f0fcc8b3dca54b3,14172
37.31.43.-33.41.-34.40.-29.-45.-36.38.-35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.43.-33.41.-34.40.-29.-45.-36.38.35,UNSAT,0.02,257,380d303fbee932c4fc83044e8c9a622d0b859f6d947deba10cb0ad3c223196a2,16866
37.31.43.-33.41.-34.40.-29.-45.-36.-38.35,UNSAT,0.01,153,5f9ad72bb59835888518335842e0b6d0938b5e44900768beb1875c789f23acac,14920
37.31.43.-33.41.-34.40.-29.-45.-36.-38.-35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.43.-33.-41.-34.40.29.45.36.38.35,UNSAT,0.00,236,2edea6341caf83bac0dc65b4d9bcf5f507bdd730f156328df5b7c20f24a9fd5c,16040
37.31.43.-33.-41.-34.40.29.45.36.38.-35,UNSAT,0.01,328,3a6b40949ec00bec783dec37427be250b0d4b5895cadf6407d9939f86f2f8d38,27524
37.31.43.-33.-41.-34.40.29.45.36.-38.-35,UNSAT,0.00,92,5a754777d7152b1c87c000d9e79b0f5cba143d2ae2e6fb82c70080125284659d,13795
37.31.43.-33.-41.-34.40.29.45.36.-38.35,UNSAT,0.01,258,0143063c985c867bc719b0520df0b0db1b7e11eafb11e5f444b38774fc76024d,16087
37.31.43.-33.-41.-34.40.29.45.-36.38.-35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.43.-33.-41.-34.40.29.45.-36.38.35,UNSAT,0.01,177,1c49de233f8f435db5078f1a4e9e091631cbad2d695dba3bc1777a152e51d088,14364
37.31.43.-33.-41.-34.40.29.45.-36.-38.-35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.43.-33.-41.-34.40.29.45.-36.-38.35,UNSAT,0.00,84,bf6abfa81ee83d1340e881fd959da51e3c460d9afb057c9893afa06187563b5e,13016
37.31.43.-33.-41.-34.40.29.-45.36.38.35,UNSAT,0.01,118,71ffa29f054cbe22da1b81c8664056e0753171de10117403e7c5ed19fd43d57a,14657
37.31.43.-33.-41.-34.40.29.-45.36.38.-35,UNSAT,0.01,259,372c2d922767ad345a7e6b9cbf1f60462dd2b7c3e0c58b93a2818ea26b6b4d72,17510
37.31.43.-33.-41.-34.40.29.-45.36.-38.35,UNSAT,0.01,238,2100bbef28494829301e759e498cb9a6ffa5dcf4aa5f530de3cbb718eeea5692,16284
37.31.43.-33.-41.-34.40.29.-45.36.-38.-35,UNSAT,0.00,91,25a54a7208ab23f7b6e706c96cf9eac52b787ce5237ab234fb1f3a2701c6fb31,13756
37.31.43.-33.-41.-34.40.29.-45.-36.38.-35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.43.-33.-41.-34.40.29.-45.-36.38.35,UNSAT,0.02,276,1d94928786d6522dd6a38778817f655037c832081f95abd8954e9105e41dd2e9,27972
37.31.43.-33.-41.-34.40.29.-45.-36.-38.35,UNSAT,0.00,67,b2859e44346ef79ec44119f4b066b377a4bb7cb86188e8c697c12f634b01e046,12926
37.31.-43.33.-41.34.40.-29.45.36.38.35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.43.-33.-41.-34.40.29.-45.-36.-38.-35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.-43.33.-41.34.40.-29.45.36.38.-35,UNSAT,0.00,179,45897b47fe3a8c318c5a1f34c02d984df31587517f816a6c1653ef0c869df699,15573
37.31.-43.33.-41.34.40.-29.45.36.-38.35,UNSAT,0.01,575,c2b3f07fe5c52a27ba764e87c5a4dd7d1186b2bb5f346e7df6251904ce413321,30963
37.31.-43.33.-41.34.40.-29.45.36.-38.-35,UNSAT,0.00,120,60f2080e2968caec2f27c408b54d7e1e261bbc9bd8e9085a4b1ae22754ae87d8,15106
37.31.-43.33.-41.34.40.-29.45.-36.38.35,UNSAT,0.01,380,0cf2c8b24c9ea9cccacf89169729091f82ec7c4f326f64f4da106477ab299846,25053
37.31.-43.33.-41.34.40.-29.45.-36.38.-35,UNSAT,0.00,160,4383c6baf02e57f1577fd93554b8305f5385e7be81f983a803aeb4f51f18b119,16388
37.31.-43.33.-41.34.40.-29.45.-36.-38.35,UNSAT,0.00,311,890e2adfff84468ffc7e24a94d6731112f17b33bf9f1f265805b6e3c2d274de4,25351
37.31.-43.33.-41.34.40.-29.-45.36.38.35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.-43.33.-41.34.40.-29.45.-36.-38.-35,UNSAT,0.01,66,0771bbe223082b8bee5d25999d6f7a59b4c17e3cde8680861ebd4af407c0720f,15461
37.31.-43.33.-41.34.40.-29.-45.36.38.-35,UNSAT,0.00,61,5ecd1826871f96aee49b7850cbf3038d2ae62f47fd291dfe98ef928cd77467df,13569
37.31.-43.33.-41.34.40.-29.-45.36.-38.-35,UNSAT,0.00,17,2bd2e2ea3a7aba3b16305e07c7da8beab8411342c44835a4d1c5b1d544cd6f34,13872
37.31.-43.33.-41.34.40.-29.-45.36.-38.35,UNSAT,0.02,241,ccbfea1512e709ab7ceb9c2b869a8fadafff2c464581e1385d4b456b961d73b9,26020
37.31.-43.33.-41.34.40.-29.-45.-36.38.35,UNSAT,0.01,179,770c5e80084473bdcc9683357915b48be1e0fbe8affeda6e9b4a71b5a5599cf4,17224
37.31.-43.33.-41.34.40.-29.-45.-36.38.-35,UNSAT,0.00,16,3121150cda89552ac9f826fcde942eaa5816aff03b95cf53b6b02f3186227b16,13919
37.31.-43.33.-41.34.40.-29.-45.-36.-38.-35,UNSAT,0.00,13,8ccc290fcf94aa52ac32a6c0a8c29ea362539db8dc2882e91d7b49840d9894f4,14956
37.31.-43.33.-41.34.40.-29.-45.-36.-38.35,UNSAT,0.00,153,24d99b26aad32d51ccd3fd6baf67a8f2e7c101fcc14ef3b1962e5ded9ccd4406,16737
37.31.-43.33.-41.-34.40.29.45.36.38.35,UNSAT,0.00,108,da2106e7ca747ddd21c0eb91f02386b15e3553b2d799d8024edd2b77a5546c9f,15160
37.31.-43.33.-41.-34.40.29.45.36.-38.35,UNSAT,0.00,78,ed92df5fda26113d51d1c339dd9ca286bb4a51ee064fd7e07fc1007220653af5,14899
37.31.-43.33.-41.-34.40.29.45.36.38.-35,UNSAT,0.01,442,af1c3db952296ecba575c9d53e8604c477c59975cdc01589fd5d182e54d2577d,25693
37.31.-43.33.-41.-34.40.29.45.-36.38.35,UNSAT,0.00,108,aa922d093caacd1f35210f3a6b3393d44dd79db3276861301fb2b479c03f465b,15389
37.31.-43.33.-41.-34.40.29.45.36.-38.-35,UNSAT,0.00,78,fe3e658238430e695cca536781f71831b44261ac70ec002a18e5124b3375e9f8,13485
37.31.-43.33.-41.-34.40.29.45.-36.-38.35,UNSAT,0.01,62,831faf8189cd4a4e88bb91d11e9a335aaf586b2b1899a9528dbc4388e4041e27,15406
37.31.-43.33.-41.-34.40.29.45.-36.38.-35,UNSAT,0.01,494,4ba26c0d1b7a6744a1965f517f93e3e73ef17037b3cdf168d2f500e98a23269e,28751
37.31.-43.33.-41.-34.40.29.45.-36.-38.-35,UNSAT,0.00,113,7a6547313c2b4ab1f3d71395aa9bb85611ac1e986570937db3f6a85be6b376a6,14552
37.31.-43.33.-41.-34.40.29.-45.36.38.35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.-43.33.-41.-34.40.29.-45.36.38.-35,UNSAT,0.01,210,cd424e58595304ab656baa09f6595a75667514ac80886c655d597d9a6166b628,16681
37.31.-43.33.-41.-34.40.29.-45.36.-38.35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.-43.33.-41.-34.40.29.-45.36.-38.-35,UNSAT,0.01,46,d2f072e117d2dd7dc37daa1ea245d06aab981a64b1d5d0679449e395fa6bc01d,14010
37.31.-43.33.-41.-34.40.29.-45.-36.38.35,UNSAT,0.01,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.-43.33.-41.-34.40.29.-45.-36.-38.35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.31.-43.33.-41.-34.40.29.-45.-36.-38.-35,UNSAT,0.00,72,72b8195ae37704eb2a4121d5482be9d26f73d7da4f1f481813212a2dba09905c,14845
37.31.-43.33.-41.-34.40.29.-45.-36.38.-35,UNSAT,0.00,173,46dd65720c577757b3f76f2d323512f17747ab0b359ac20df4f34f84ab34a050,16106
37.-31.43.33.41.34.40.-29.45.36.38.35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.-31.43.33.41.34.40.-29.45.36.38.-35,UNSAT,0.00,71,a251bdb2636955e7699cb05f44987e5181514abb66e4dbc42d83f75085e7710c,12724
37.-31.43.33.41.34.40.-29.45.36.-38.35,UNSAT,0.01,9,e76c023a26cc5b3cae487d5fae27ce8a52a7f238deb36d4bde7ecc5bb0a146c8,12688
37.-31.43.33.41.34.40.-29.45.36.-38.-35,UNSAT,0.00,147,4b5ffaa6f1e42fe75efed1008bee68669cd4e69c506ea17d235b9759e2201aca,14268
37.-31.43.33.41.34.40.-29.45.-36.38.35,UNSAT,0.01,177,5c3b2dc223f428900a8e743b741bda3bab3014a3ffc646900a48646119b4b25c,15004
37.-31.43.33.41.34.40.-29.45.-36.-38.35,UNSAT,0.00,123,6748f7c59b997080a2a9dbeab5a581ce30a2e6acdd512c7d099a303655942f7e,14101
37.-31.43.33.41.34.40.-29.45.-36.38.-35,UNSAT,0.00,199,4f5e4b9b0d90257a44c9fce15880b8c502170233242b1f690cc87ed5e7d6dfd3,15238
37.-31.43.33.41.34.40.-29.-45.36.38.35,UNSAT,0.01,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.-31.43.33.41.34.40.-29.45.-36.-38.-35,UNSAT,0.00,219,bab478696b0e233138388a02c6da1f278770215385d834d376868a5722b47a68,16183
37.-31.43.33.41.34.40.-29.-45.36.38.-35,UNSAT,0.01,28,d6bedf288f55fce30e5ecfd3f4f660d02175d4b7d11ed2e1c7edab7f2dab534e,12139
37.-31.43.33.41.34.40.-29.-45.36.-38.35,UNSAT,0.00,51,f97b98b99c775263fde418a296b6101834b25e47502da1ead03f236e2247ab45,14638
37.-31.43.33.41.34.40.-29.-45.36.-38.-35,UNSAT,0.00,69,fb8e859c63bf5a6d267b382d9b344ecbdb0a7656038c42b7d5ee4b0027e44633,13907
37.-31.43.33.41.34.40.-29.-45.-36.38.35,UNSAT,0.00,115,ff2b0ba588f90dc13a7bb5916191f7bf109e524b5996a33f2d30b5c7bbebafe5,14228
37.-31.43.33.41.34.40.-29.-45.-36.-38.35,UNSAT,0.00,62,9b9e1d69d9c40909ca6568a0a2ddbf2c0af98a06095053a4b03d47cb9ab98c14,14431
37.-31.43.33.41.34.40.-29.-45.-36.38.-35,UNSAT,0.01,216,7c6894a52152ac04a58b91678e8969025f9104de2c9dcc982c8a510d3312d219,15788
37.-31.43.-33.41.-34.40.29.45.36.38.35,UNSAT,0.00,33,607d1a4b51ca77e19b6c8aa5432b2b24269ed1011984e86d8bd84b827b032f66,14427
37.-31.43.33.41.34.40.-29.-45.-36.-38.-35,UNSAT,0.01,86,4f34795a04ef12596efe9f47701d39661c8410d1125cd6603cb26ddd0a59db24,14552
37.-31.43.-33.41.-34.40.29.45.36.38.-35,UNSAT,0.00,149,a11518e6235ba2081ef4b3f0dca95b3489e55688e427a2cf5ba06cf08e8a7adf,15379
37.-31.43.-33.41.-34.40.29.45.36.-38.35,UNSAT,0.00,72,88f1d5e7edab4ce47d0f3cbaa81679d29af8a30f687f71ff6e64b0bda0eb9d2a,13245
37.-31.43.-33.41.-34.40.29.45.-36.38.35,UNSAT,0.00,6,3c6a476a5236b319f23fc4a52ca10e083f0930052451ac7bbe0ffd97c7a9d071,15461
37.-31.43.-33.41.-34.40.29.45.36.-38.-35,UNSAT,0.01,235,51429f716f0e898cadfdc7ce5bd2e834ffc02652d93b5d98bfe5df8876a5c4b6,16810
37.-31.43.-33.41.-34.40.29.45.-36.38.-35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.-31.43.-33.41.-34.40.29.45.-36.-38.35,UNSAT,0.00,14,8ee4af113e6f823192610092af43af09fc38956aaa70cef3bfe9697ab0be6129,14598
37.-31.43.-33.41.-34.40.29.45.-36.-38.-35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.-31.43.-33.41.-34.40.29.-45.36.38.35,UNSAT,0.00,31,731af6a05cdbf4e365b1a3d8f342c94c5d2a38a36d11678ef1240f1e8bce6967,15603
37.-31.43.-33.41.-34.40.29.-45.36.-38.35,UNSAT,0.00,67,d645c2960b7686cf1823891c8ba99b6dd499289c21bdeafa99421c77787e8851,13874
37.-31.43.-33.41.-34.40.29.-45.36.38.-35,UNSAT,0.00,142,012da9f77ab9bf967843b4abe60b933f03e028abef18f30a21852fbd1c3d7066,16060
37.-31.43.-33.41.-34.40.29.-45.36.-38.-35,UNSAT,0.00,70,ca60331baefc5e1ffc45952969767f6faed84876873402f861e722e58896ea22,14363
37.-31.43.-33.41.-34.40.29.-45.-36.38.35,UNSAT,0.00,71,51b1c45ae1845c74e0495b38d73bbcef52a25682759528e86ebeee39991715ef,15049
37.-31.43.-33.41.-34.40.29.-45.-36.38.-35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.-31.43.-33.41.-34.40.29.-45.-36.-38.-35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.-31.43.-33.41.-34.40.29.-45.-36.-38.35,UNSAT,0.00,84,d72d7923635e2906be1d7471dd9c66ecfd8b82e3f9724c8671be3dfea057af85,14686
37.-31.-43.33.41.-34.-40.-29.45.36.38.35,UNSAT,0.00,367,592cac2abd609041481289edcea0e1bc0af877bd670b848d027a0338f874ebf9,25254
37.-31.-43.33.41.-34.-40.-29.45.36.38.-35,UNSAT,0.00,135,2e6597ebba9bfb1d3e4abbff27e2001fd2082c6b832094d0e0b5fabb93cef42d,14161
37.-31.-43.33.41.-34.-40.-29.45.36.-38.35,UNSAT,0.00,212,0ea3c35f7cd71f5e9a776e847a32167911ce11c4330c48b1d03e300d53143b24,15878
37.-31.-43.33.41.-34.-40.-29.45.36.-38.-35,UNSAT,0.01,22,b3782cd1358092399f5452c477d9e91c41e38965eb4e3b428cb7a43df6fdad4f,12357
37.-31.-43.33.41.-34.-40.-29.45.-36.38.35,UNSAT,0.00,192,705f71dcd823697266c7befadce09cf0ecf80dc780aed3bcb023a3e58dda1c88,16579
37.-31.-43.33.41.-34.-40.-29.45.-36.-38.35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.-31.-43.33.41.-34.-40.-29.45.-36.-38.-35,UNSAT,0.00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
37.-31.-43.33.41.-34.-40.-29.45.-36.38.-35,UNSAT,0.00,154,fcf6a20ce04657924a0e107d8601f4805375b1ef91776693497211cdc5de5be7,15939
37.-31.-43.33.41.-34.-40.-29.-45.36.38.-35,UNSAT,0.01,116,e0c4658354598fbece1ccc04dadcdf46263950a0e818d4231742af4dab53b174,15067
