cube,status,seconds,conflicts,proof_sha256,note
37.31.43.33.-41.-34.-40.29,UNSAT,0.02,902,2366875fcfa6355ce91735cbc5ee253cf0a556776161bc241470e2c6628101e8,45071
37.31.43.33.-41.-34.-40.-29,UNSAT,0.03,1221,88959897d10eb66a6528d2507c0dacc1463f30ff39e62b67857b4968c6dd562c,55756
37.31.-43.33.41.34.40.29,UNSAT,0.07,2182,ad322e0c87705e15de86a7928f043880686a484b75d3309c9750c122ec228311,122146
37.31.-43.33.41.34.40.-29,UNSAT,0.07,2048,0dee14ca756c73f0fd5db689869b3ff687e35ed8948a5d58fadb2859543c5975,116369
37.31.-43.33.41.34.-40.29,UNSAT,0.02,891,944b22298e26f2de41c7bca3ddce06e91abce9b1d1b345ecea89f1fbd9bb4834,43317
37.31.-43.33.41.34.-40.-29,UNSAT,0.04,1418,5fd0aeca7a82c2c3a6c5cb3726e68ee60c83af270bbe49937c999281b7ced4ac,66390
37.31.-43.33.41.-34.40.29,UNSAT,0.04,1784,c7fcc15a69a02ebcd795af28c1baa22a0ffbc68971f71866bd393f37a24421a8,86415
37.31.-43.33.41.-34.-40.29,UNSAT,0.01,769,2f0eb7b2fd95204ee8995856b283a3085d7a22baf2220cc8c3f225ea8a65531c,39888
37.31.-43.33.41.-34.40.-29,UNSAT,0.04,1277,7726fe694d260720e9f12997174e9d24ab7b4015fcfbcce1b6bad5887e5d67e6,57582
37.31.-43.33.41.-34.-40.-29,UNSAT,0.03,1279,fa3a7a82e8ebb21a76745fdc62022f6cf3d03da25c67d7b15747c1c894ddacbe,57448
37.31.-43.33.-41.34.40.-29,INDET,0.05,,,
37.31.-43.33.-41.34.40.-29,SPLIT,0.05,,,->16 kids
37.31.-43.33.-41.34.40.29,UNSAT,0.05,2288,6c6813b14e5e6f9da9e8930e0dae80f831d7db45f93b0abac0095447be26151d,130515
37.31.-43.33.-41.34.-40.29,UNSAT,0.01,564,dc216ca1c9903fd3aff8895231884778f2a51ed664c3e53f3a073aef9c6bcdc6,26014
37.31.-43.33.-41.-34.40.29,INDET,0.02,,,
37.31.-43.33.-41.-34.40.29,SPLIT,0.02,,,->16 kids
37.31.-43.33.-41.34.-40.-29,UNSAT,0.03,968,9ac2fb2d0f69dd480f845355f55def4d8d7846b0d63c474fb249b0e27877ccfe,49247
37.31.-43.33.-41.-34.-40.29,UNSAT,0.01,580,8a7b30daae1bcc6677ddc27aad1826cfebb43da1322187ca36fe5c399eec5103,33126
37.31.-43.33.-41.-34.40.-29,UNSAT,0.05,1475,721bcc88922a703f0486c6e137825bf0614212e6b62e805b505d9617b213e872,69486
37.31.-43.33.-41.-34.-40.-29,UNSAT,0.03,754,dc1d34c6786758aebf5c9001322ce7cb1829053c93ac9b005f60fbf046fffe3c,37378
37.-31.43.33.41.34.40.-29,INDET,0.03,,,
37.-31.43.33.41.34.40.-29,SPLIT,0.03,,,->16 kids
37.-31.43.33.41.34.-40.29,UNSAT,0.04,1183,a76b9b13f993a3cbd611b7b4d0255d15ddd8568a222ef95b0db86143b9d77e97,54425
37.-31.43.33.41.34.40.29,UNSAT,0.09,2078,917c5790e4574db72ecf47587e2efdc3da331201a0dbc02c43cc828d64f861cc,113215
37.-31.43.33.41.-34.40.29,UNSAT,0.03,1218,5f3e6af1467985351c7693e89548bb714d8a2f6fbaef034d44df9708af72b4d4,55849
37.-31.43.33.41.34.-40.-29,UNSAT,0.04,2218,651b3c74dc17530e2564c791bc76a063474ee7d94817cd41d69bc768f37256a6,126206
37.-31.43.33.41.-34.40.-29,UNSAT,0.02,1006,f9136f72c2838d1289a7405223babca389a1fa22d347347a5665a2b069add825,46751
37.-31.43.33.41.-34.-40.29,UNSAT,0.03,1005,453a1f21f9cd4c9b62cf404553f4febd61125f23daf97164d32328b4dd6c2f63,50137
37.-31.43.33.41.-34.-40.-29,UNSAT,0.04,1284,20f89c5c3c78335b1b02bd3e91718a47554ffe2be6070380fd58ca6018614b40,62703
37.-31.43.33.-41.34.40.-29,UNSAT,0.03,1057,e62df7a5c6e0c33db5dc3b5e5b03fdf42078c865ac3460012e8ebf6f0dbb1019,51002
37.-31.43.33.-41.34.40.29,UNSAT,0.08,2710,f73521d40f33f0e3eae8b98f2fa36878ae521cf8a627fba08bf91fdbc5699463,146110
37.-31.43.33.-41.34.-40.29,UNSAT,0.05,1579,b397b4c58660249d5384800e7f8e300089c2f1cab025d190b8ce7bba4285e5d3,76845
37.-31.43.33.-41.34.-40.-29,UNSAT,0.03,1051,ba244a112a43a2c2e4cdddd0cd0fae7eceba8488164dac18cf617b35763f2d50,53358
37.-31.43.33.-41.-34.40.-29,UNSAT,0.02,948,0329f66cf15616111571e53fb27792cdd357d8847475122621684d9eda1c7808,47538
37.-31.43.33.-41.-34.40.29,UNSAT,0.09,2706,083bc74346f995f2b389f83de0ebbbb3111528c2d70ca5265f6082f0e6d5ec8a,163348
37.-31.43.33.-41.-34.-40.29,UNSAT,0.04,1395,5cebe936854a02a6da3d5322c2b91ef0d92ae156162f1f2cf6402e0e92f0ca1f,66814
