k,count
1,23988173
3,23985319
5,43302932
7,19465732
9,25279728
11,33119250
13,18479388
15,14042208
17,25838659
19,14472029
21,12384602
23,19119840
25,9228169
27,10068722
29,18528439
31,5957423
33,6277225
35,10421821
37,4969068
39,5927652
41,8965063
43,3717335
45,3245303
47,5673548
49,3279684
51,2497195
53,4216411
55,2220165
57,1914263
59,4033047
61,1294119
63,1316006
65,2464449
67,1026074
69,1471823
71,1528421
73,758489
75,685839
77,1319487
79,688276
81,492528
83,1032712
85,377773
87,393141
89,807227
91,276502
93,253766
95,452970
97,240259
99,252033
101,340442
103,157816
105,139211
107,244913
109,150569
111,118720
113,183039
115,79347
117,78003
119,168126
121,54142
123,55740
125,107286
127,39209
129,53600
131,69201
133,29839
135,27280
137,51157
139,32586
141,19310
143,34008
145,14621
147,15965
149,33495
151,10801
153,13580
155,19174
157,8022
159,9715
161,12730
163,6151
165,5306
167,11777
169,5750
171,3795
173,7020
175,3209
177,2939
179,6609
181,2559
183,2197
185,3582
187,1470
189,2236
191,2514
193,1133
195,1213
197,2050
199,1074
201,799
203,1381
205,636
207,659
209,1483
211,371
213,345
215,630
217,294
219,404
221,484
223,244
225,198
227,367
229,200
231,136
233,290
235,109
237,133
239,209
241,72
243,77
245,92
247,69
249,52
251,127
253,31
255,41
257,95
259,42
261,29
263,53
265,32
267,23
269,42
271,15
273,16
275,23
277,9
279,16
281,17
283,8
285,12
287,15
289,13
291,6
293,7
295,3
297,1
299,12
301,4
303,3
305,6
307,2
309,2
311,3
313,2
317,1
319,3
321,2
325,2
329,2
331,1
335,2
339,1
353,1
