k,count
1,196963369
3,196963162
5,359157555
7,163241302
9,212534126
11,282384248
13,158774047
15,121826825
17,226182006
19,129061729
21,110105362
23,172715371
25,84494502
27,92290521
29,173315067
31,56634976
33,59748509
35,100524519
37,48506888
39,58201734
41,89736339
43,37624703
45,33141649
47,58475035
49,34323883
51,26367018
53,44857561
55,23962266
57,20692165
59,44534061
61,14586968
63,14756556
65,28150849
67,11899554
69,17183756
71,18216829
73,9073119
75,8304332
77,16108220
79,8556104
81,6180222
83,13102792
85,4880490
87,5093243
89,10664469
91,3704119
93,3431269
95,6162863
97,3318900
99,3499444
101,4833045
103,2270216
105,2002759
107,3582328
109,2248686
111,1775261
113,2779397
115,1220795
117,1198704
119,2650223
121,875002
123,891649
125,1763318
127,647269
129,894724
131,1183256
133,507734
135,475857
137,892392
139,576487
141,349069
143,617412
145,272602
147,293366
149,628818
151,209143
153,260468
155,374635
157,159871
159,191999
161,256068
163,126327
165,111856
167,242297
169,120862
171,80694
173,152899
175,72270
177,65907
179,147200
181,59605
183,49334
185,83973
187,35786
189,51095
191,60250
193,28116
195,30864
197,51579
199,26998
201,20113
203,37582
205,15644
207,17410
209,40437
211,10553
213,10370
215,18548
217,8494
219,11889
221,14394
223,7979
225,5733
227,11433
229,6435
231,4693
233,8357
235,3482
237,4183
239,7559
241,2780
243,2443
245,4628
247,2026
249,2527
251,3893
253,1577
255,1356
257,2703
259,1651
261,1022
263,2032
265,1035
267,846
269,1831
271,564
273,639
275,1047
277,464
279,739
281,766
283,349
285,370
287,537
289,344
291,232
293,522
295,193
297,171
299,408
301,130
303,171
305,246
307,150
309,149
311,172
313,86
315,74
317,125
319,72
321,79
323,88
325,39
327,49
329,104
331,32
333,28
335,58
337,27
339,35
341,44
343,20
345,20
347,41
349,20
351,17
353,21
355,11
357,5
359,29
361,7
363,8
365,15
367,5
369,2
371,7
373,7
375,3
377,6
379,10
381,2
383,8
385,4
389,8
393,1
395,5
397,2
399,1
401,3
405,2
409,1
413,2
419,2
431,1
443,1
449,1
455,1
463,1
