k,count
0,1
1,3424506
3,3424679
5,6089791
7,2695109
9,3484767
11,4468957
13,2464565
15,1846097
17,3351032
19,1824043
21,1569679
23,2367474
25,1119585
27,1219243
29,2177991
31,683896
33,719531
35,1171524
37,548746
39,648780
41,954456
43,389634
45,334720
47,577247
49,328066
51,245804
53,410754
55,211462
57,181948
59,371839
61,115558
63,118951
65,216787
67,88396
69,125565
71,126663
73,62526
75,55113
77,105313
79,53522
81,37982
83,78077
85,27793
87,28878
89,58057
91,19282
93,17669
95,31078
97,16175
99,16900
101,22393
103,10310
105,8719
107,15459
109,9065
111,7139
113,10892
115,4710
117,4502
119,9621
121,2975
123,3136
125,5863
127,2043
129,2813
131,3510
133,1487
135,1297
137,2589
139,1516
141,953
143,1555
145,668
147,724
149,1486
151,506
153,583
155,798
157,306
159,360
161,534
163,247
165,182
167,443
169,198
171,158
173,255
175,128
177,106
179,200
181,80
183,89
185,101
187,33
189,63
191,74
193,32
195,41
197,73
199,28
201,23
203,46
205,13
207,18
209,48
211,12
213,11
215,15
217,6
219,12
221,11
223,6
225,6
227,3
229,3
231,1
233,13
235,5
237,1
239,5
241,4
243,2
245,4
247,4
249,4
251,1
259,1
275,1
281,1
