order,moduli,invariant_factors,lower_d,upper_d,dpm,Dpm,status,nodes,seconds,witness
128,16 8,8 16,7,7,7,8,forced (search capped),2000001,20.319,"[[0, 1], [0, 2], [0, 4], [1, 0], [2, 0], [4, 0], [8, 0]]"
128,32 2 2,2 2 32,7,7,7,8,forced (search capped),2000001,21.952,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0], [8, 0, 0], [16, 0, 0]]"
128,32 4,4 32,7,7,7,8,forced (search capped),2000001,22.059,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0], [8, 0], [16, 0]]"
128,64 2,2 64,7,7,7,8,forced (search capped),2000001,22.912,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0], [16, 0], [32, 0]]"
128,128,128,7,7,7,8,forced (search capped),2000001,23.996,"[[1], [2], [4], [8], [16], [32], [64]]"
129,43 3,129,7,7,7,8,forced (search capped),2000001,26.794,"[[1, 1], [2, 2], [4, 1], [8, 2], [11, 1], [16, 1], [21, 1]]"
130,13 5 2,130,7,7,7,8,forced (search capped),2000001,27.915,"[[0, 0, 1], [1, 1, 0], [2, 2, 0], [3, 1, 0], [4, 4, 0], [5, 2, 0], [6, 2, 0]]"
131,131,131,7,7,7,8,forced (search capped),2000001,27.267,"[[1], [2], [4], [8], [16], [32], [64]]"
132,11 3 2 2,2 66,7,7,7,8,forced (search capped),2000001,27.287,"[[0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 0], [2, 2, 0, 0], [3, 1, 0, 0], [4, 1, 0, 0], [5, 1, 0, 0]]"
132,11 4 3,132,7,7,7,8,forced (search capped),2000001,28.311,"[[0, 1, 0], [0, 2, 0], [1, 0, 1], [2, 0, 2], [3, 0, 1], [4, 0, 1], [5, 0, 1]]"
133,19 7,133,7,7,7,8,forced (search capped),2000001,28.26,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0], [8, 0]]"
134,67 2,134,7,7,7,8,forced (search capped),2000001,28.173,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0], [16, 0], [32, 0]]"
135,5 3 3 3,3 3 15,5,7,6,7,gap:search-decided,6972788,87.943,"[[0, 0, 0, 1], [1, 0, 0, 0], [1, 0, 1, 0], [1, 1, 0, 0], [1, 2, 2, 0], [2, 1, 2, 0]]"
135,9 5 3,3 45,6,7,6,7,gap:search-decided,8293370,105.427,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
135,27 5,135,7,7,7,8,forced (search capped),2000001,28.389,"[[1, 0], [1, 1], [2, 2], [5, 4], [7, 4], [10, 3], [13, 2]]"
