order,moduli,invariant_factors,lower_d,upper_d,dpm,Dpm,status,nodes,seconds,witness
32,4 2 2 2,2 2 2 4,5,5,5,6,forced+confirmed,19149,0.078,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0]]"
32,4 4 2,2 4 4,5,5,5,6,forced+confirmed,6053,0.021,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0]]"
32,8 2 2,2 2 8,5,5,5,6,forced+confirmed,5097,0.019,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
32,8 4,4 8,5,5,5,6,forced+confirmed,2539,0.009,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0]]"
32,16 2,2 16,5,5,5,6,forced+confirmed,2251,0.01,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0]]"
32,32,32,5,5,5,6,forced+confirmed,1435,0.006,"[[1], [2], [4], [8], [16]]"
33,11 3,33,5,5,5,6,forced+confirmed,1264,0.006,"[[1, 1], [2, 2], [3, 1], [4, 1], [5, 1]]"
34,17 2,34,5,5,5,6,forced+confirmed,1834,0.009,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0]]"
35,7 5,35,5,5,5,6,forced+confirmed,1704,0.008,"[[1, 1], [1, 2], [2, 2], [2, 4], [3, 2]]"
36,3 3 2 2,6 6,4,5,5,6,gap:search-decided,3188,0.017,"[[0, 0, 0, 1], [0, 1, 1, 0], [1, 0, 1, 0], [1, 1, 1, 0], [1, 2, 1, 0]]"
36,4 3 3,3 12,4,5,5,6,gap:search-decided,2250,0.012,"[[1, 0, 0], [2, 0, 1], [2, 1, 0], [2, 1, 1], [2, 1, 2]]"
36,9 2 2,2 18,5,5,5,6,forced+confirmed,3579,0.017,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
36,9 4,36,5,5,5,6,forced+confirmed,2454,0.012,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0]]"
37,37,37,5,5,5,6,forced+confirmed,2233,0.012,"[[1], [2], [4], [8], [16]]"
38,19 2,38,5,5,5,6,forced+confirmed,3164,0.015,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0]]"
39,13 3,39,5,5,5,6,forced+confirmed,2852,0.014,"[[1, 0], [1, 1], [1, 2], [3, 1], [6, 0]]"
40,5 2 2 2,2 2 10,5,5,5,6,forced+confirmed,13885,0.067,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0]]"
40,5 4 2,2 20,5,5,5,6,forced+confirmed,6851,0.035,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0]]"
40,8 5,40,5,5,5,6,forced+confirmed,4351,0.022,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0]]"
41,41,41,5,5,5,6,forced+confirmed,3746,0.019,"[[1], [2], [4], [8], [16]]"
42,7 3 2,42,5,5,5,6,forced+confirmed,5104,0.028,"[[0, 0, 1], [1, 0, 0], [1, 1, 0], [1, 2, 0], [3, 1, 0]]"
43,43,43,5,5,5,6,forced+confirmed,4810,0.026,"[[1], [2], [4], [8], [16]]"
44,11 2 2,2 22,5,5,5,6,forced+confirmed,10552,0.056,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
44,11 4,44,5,5,5,6,forced+confirmed,7131,0.038,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0]]"
45,5 3 3,3 15,4,5,5,6,gap:search-decided,5624,0.03,"[[1, 0, 0], [1, 0, 1], [1, 1, 0], [1, 2, 2], [2, 1, 2]]"
45,9 5,45,5,5,5,6,forced+confirmed,6084,0.03,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0]]"
46,23 2,46,5,5,5,6,forced+confirmed,8747,0.044,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0]]"
47,47,47,5,5,5,6,forced+confirmed,7821,0.043,"[[1], [2], [4], [8], [16]]"
