n,i,j,gcd_factorization,family
10,3,5,2^2*3,3^2+1
16,2,6,2^3,2^4
28,3,14,2^2*3^2,3^3+1
28,5,14,2^3*3^3*5,
244,3,122,2^2*3^4,3^5+1
512,2,147,2^8,2^9
2048,2,713,2^10,2^11
2188,3,1094,2^2*3^6,3^7+1
1594324,3,797162,2^2*3^12,3^13+1
