kind,n,i,j,witness
EXC,10,3,5,3
EXC,16,2,6,2
EXC,28,3,14,3
EXC,28,5,14,5
EXC,244,3,122,3
EXC,512,2,147,2
EXC,2048,2,713,2
EXC,2188,3,1094,3
EXC,1594324,3,797162,3
