family,exp,level,status,detail
pow3,2,2,NONE,
pow3,2,3,FAIL,5:EXC
pow3,3,2,NONE,
pow3,3,3,FAIL,14:EXC
pow3,4,2,NONE,
pow3,4,3,NONE,
pow3,5,2,NONE,
pow3,5,3,FAIL,122:EXC
pow3,6,2,NONE,
pow3,6,3,NONE,
pow3,7,2,NONE,
pow3,7,3,FAIL,1094:EXC
pow3,8,2,NONE,
pow3,8,3,NONE,
pow3,9,2,NONE,
pow3,9,3,NONE,
pow3,10,2,NONE,
pow3,10,3,NONE,
pow3,11,2,NONE,
pow3,11,3,NONE,
pow3,12,2,NONE,
pow3,12,3,NONE,
pow3,13,2,NONE,
pow3,13,3,FAIL,797162:EXC
pow3,14,2,NONE,
pow3,14,3,NONE,
pow3,15,2,NONE,
pow3,15,3,NONE,
pow3,16,2,NONE,
pow3,16,3,NONE,
pow3,17,2,NONE,
pow3,17,3,NONE,
pow3,18,2,NONE,
pow3,18,3,NONE,
pow3,19,2,NONE,
pow3,19,3,NONE,
pow3,20,2,NONE,
pow3,20,3,NONE,
pow3,21,2,NONE,
pow3,21,3,NONE,
pow3,22,2,NONE,
pow3,22,3,NONE,
pow3,23,2,NONE,
pow3,23,3,NONE,
pow3,24,2,NONE,
pow3,24,3,NONE,
pow3,25,2,NONE,
pow3,25,3,NONE,
pow3,26,2,NONE,
pow3,26,3,NONE,
pow3,27,2,NONE,
pow3,27,3,NONE,
pow3,28,2,NONE,
pow3,28,3,NONE,
pow3,29,2,NONE,
pow3,29,3,NONE,
pow3,30,2,NONE,
pow3,30,3,NONE,
pow3,31,2,NONE,
pow3,31,3,NONE,
pow3,32,2,NONE,
pow3,32,3,NONE,
pow3,33,2,NONE,
pow3,33,3,NONE,
pow3,34,2,NONE,
pow3,34,3,NONE,
pow3,35,2,NONE,
pow3,35,3,NONE,
pow3,36,2,NONE,
pow3,36,3,NONE,
pow3,37,2,NONE,
pow3,37,3,NONE,
pow3,38,2,NONE,
pow3,38,3,NONE,
pow3,39,2,NONE,
pow3,39,3,NONE,
pow3,40,2,NONE,
pow3,40,3,NONE,
pow3,41,2,NONE,
pow3,41,3,NONE,
pow3,42,2,NONE,
pow3,42,3,NONE,
pow3,43,2,NONE,
pow3,43,3,NONE,
pow3,44,2,NONE,
pow3,44,3,NONE,
pow3,45,2,NONE,
pow3,45,3,NONE,
pow3,46,2,NONE,
pow3,46,3,NONE,
pow3,47,2,NONE,
pow3,47,3,NONE,
pow3,48,2,NONE,
pow3,48,3,NONE,
pow3,49,2,NONE,
pow3,49,3,NONE,
pow3,50,2,NONE,
pow3,50,3,NONE,
pow3,51,2,NONE,
pow3,51,3,NONE,
pow3,52,2,NONE,
pow3,52,3,NONE,
pow3,53,2,NONE,
pow3,53,3,NONE,
pow3,54,2,NONE,
pow3,54,3,NONE,
pow3,55,2,NONE,
pow3,55,3,NONE,
pow3,56,2,NONE,
pow3,56,3,NONE,
pow3,57,2,NONE,
pow3,57,3,NONE,
pow3,58,2,NONE,
pow3,58,3,NONE,
pow3,59,2,NONE,
pow3,59,3,NONE,
pow3,60,2,NONE,
pow3,60,3,NONE,
pow3,61,2,NONE,
pow3,61,3,NONE,
pow3,62,2,NONE,
pow3,62,3,NONE,
pow3,63,2,NONE,
pow3,63,3,NONE,
pow3,64,2,NONE,
pow3,64,3,NONE,
pow3,65,2,NONE,
pow3,65,3,NONE,
pow3,66,2,NONE,
pow3,66,3,NONE,
pow3,67,2,NONE,
pow3,67,3,NONE,
pow3,68,2,NONE,
pow3,68,3,NONE,
pow3,69,2,NONE,
pow3,69,3,NONE,
pow3,70,2,NONE,
pow3,70,3,NONE,
pow3,71,2,NONE,
pow3,71,3,NONE,
pow3,72,2,NONE,
pow3,72,3,NONE,
pow3,73,2,NONE,
pow3,73,3,NONE,
pow3,74,2,NONE,
pow3,74,3,NONE,
pow3,75,2,NONE,
pow3,75,3,NONE,
pow3,76,2,NONE,
pow3,76,3,NONE,
pow3,77,2,NONE,
pow3,77,3,NONE,
pow3,78,2,NONE,
pow3,78,3,NONE,
pow3,79,2,NONE,
pow3,79,3,NONE,
pow3,80,2,NONE,
pow3,80,3,NONE,
pow3,81,2,NONE,
pow3,81,3,NONE,
pow3,82,2,NONE,
pow3,82,3,NONE,
pow3,83,2,NONE,
pow3,83,3,NONE,
pow3,84,2,NONE,
pow3,84,3,NONE,
pow3,85,2,NONE,
pow3,85,3,NONE,
pow3,86,2,NONE,
pow3,86,3,NONE,
pow3,87,2,NONE,
pow3,87,3,NONE,
pow3,88,2,NONE,
pow3,88,3,NONE,
pow3,89,2,NONE,
pow3,89,3,UNDECIDED,hard:[8126595501012767621872809571207381135979]
pow3,90,2,NONE,
pow3,90,3,NONE,
pow3,91,2,NONE,
pow3,91,3,NONE,
pow3,92,2,NONE,
pow3,92,3,NONE,
pow3,93,2,NONE,
pow3,93,3,NONE,
pow3,94,2,NONE,
pow3,94,3,NONE,
pow3,95,2,NONE,
pow3,95,3,NONE,
pow3,96,2,NONE,
pow3,96,3,NONE,
pow3,97,2,NONE,
pow3,97,3,NONE,
pow3,98,2,NONE,
pow3,98,3,NONE,
pow3,99,2,NONE,
pow3,99,3,NONE,
pow3,100,2,NONE,
pow3,100,3,NONE,
pow3,101,2,NONE,
pow3,101,3,NONE,
pow3,102,2,NONE,
pow3,102,3,NONE,
pow3,103,2,NONE,
pow3,103,3,NONE,
pow3,104,2,NONE,
pow3,104,3,NONE,
pow3,105,2,NONE,
pow3,105,3,NONE,
pow3,106,2,NONE,
pow3,106,3,NONE,
pow3,107,2,NONE,
pow3,107,3,NONE,
pow3,108,2,NONE,
pow3,108,3,NONE,
pow3,109,2,NONE,
pow3,109,3,NONE,
pow3,110,2,NONE,
pow3,110,3,NONE,
pow3,111,2,NONE,
pow3,111,3,NONE,
pow3,112,2,NONE,
pow3,112,3,NONE,
pow3,113,2,NONE,
pow3,113,3,NONE,
pow3,114,2,NONE,
pow3,114,3,NONE,
pow3,115,2,NONE,
pow3,115,3,NONE,
pow3,116,2,NONE,
pow3,116,3,NONE,
pow3,117,2,NONE,
pow3,117,3,NONE,
pow3,118,2,NONE,
pow3,118,3,NONE,
pow3,119,2,NONE,
pow3,119,3,UNDECIDED,hard:[17756195655524305700186432225942580761159759]
