n,alpha,m,exists,witness
4,7/5,140,1,01302310321301231021320312301321023120321302310320130210312301320310230120321023120132103123021320123103213023120321023012031021320123021032
4,7/5,141,1,012310213012031023013210312013021032012302132031230132102312032130123102132012302103120132102301203102130123103213023120321023013203123021032
4,7/5,142,1,0132103120130231032012302132031023012032130231032013021031230132102312032130123102132012302103201302312032102301320312302132012310213012031023
4,7/5,143,1,01203210231201302103201231021320312301321031201302310320123021320310230120321023120130210312301320310213012310321302312013210312302132012310213
4,7/5,144,1,012302132031023012032102312013021032012310213012031023013203123021320123103213023120132103123013203102130123103201302103120132102312032130231032
4,7/5,145,1,0132103120130231032130123102132031230132102312032130231032012302103120132102301203102132012302103201302312032102301320312302132012310213012031023
4,7/5,146,1,01321023012031021301231032013021031230132031023012032130231032012302132031023013210312013021032012310213012032102312013210312302132012310321302312
4,7/5,147,0,
4,7/5,148,1,0132031230213201231021301203210231201321031230132031023012032130231032012302103120132102312032130123103201302103123013203102130123103213023120321023
4,7/5,149,1,01203102132012302103201302310321301203102301320312302103201231021301203210231201302103123013203102301203213023120132103123021320123103213023120321023
4,7/5,150,1,013210312302132031023012032130231032012302103120132102312032130123102132031230210320130231203210230120310213012310320130210312301320310213012032102312
4,7/5,151,1,0123103213023120132103123013203102301203210231201302103201231021301203102301321031201302310320123021320310230120321302310320130210312013210230120310213
4,7/5,152,1,01321031230213203102301203213023103201302103123013203102130120321023120130210320123102130120310230132031230210320130231203210230120310213012310321302312
4,7/5,153,1,012310213012031023013210312013023103213012031021320123021032013023120321023013203102130123103201302103120132102301203102132012310321302312013210312302132
4,7/5,154,0,
4,7/5,155,1,01231021320312301321023120321302310320123021320310230132103120130210320123102130120321023120132103123021320123103213023120321023013203123021032013023103213
4,7/5,156,1,012302103120132102301203102132012310321302312013210312302132012310213012032102312013021031230132031023012032130231032012302132031230132102312032130123102132
4,7/5,157,1,0120310230132103120130231032130123102132031230132102312013021032012302132031023012032102312013210312301320310213012310321302312032102301320312302132012310213
4,7/5,158,1,01203210231201321031230213201231021301203102301321031201302103201231021320312301321023120321302310320123021031201321023012031021301231032013021031230132031023
4,7/5,159,1,013210312301320310213012310320130231203210230132031230213201231021301203210231201302103123013203102130123103213023120321023013203123021032012310213012032102312
4,7/5,160,1,0123103213023120132103123021320310230120321302310320130210312301321023120321301231021320312301321031201302310320123021320310230120321023120130210312301320310213
4,7/5,161,1,01302103201230213203102301203210231201321031230213201231032130231203210230132031230210320130231032130120310213201230210312013210231203213012310213203123013210312
4,7/5,162,1,013210231201302103201231021301203102301320312302103201302310321301203102132012302103120132102301203102130123103201302103123013203102301203213023103201230213203123
4,7/5,163,1,0123021320312301321023120321301231021320312302103201302312032102301320310213012310320130210312301320310230120321302312013210312302132012310213012032102312013021032
4,7/5,164,1,01203210230132031230210320130231032130120310230132103123021320123103213023120132102301203102132012302103120132102312032130123102132031230132102312013021032012310213
