n,alpha,m,exists,witness
5,5/4,1,1,0
5,5/4,2,1,01
5,5/4,3,1,012
5,5/4,4,1,0123
5,5/4,5,1,01234
5,5/4,6,0,
5,5/4,7,0,
5,5/4,8,0,
5,5/4,9,0,
5,5/4,10,1,0123041324
5,5/4,11,0,
5,5/4,12,1,012304210324
5,5/4,13,0,
5,5/4,14,0,
5,5/4,15,0,
5,5/4,16,0,
5,5/4,17,0,
5,5/4,18,1,014321042314021342
5,5/4,19,0,
5,5/4,20,0,
5,5/4,21,0,
5,5/4,22,0,
5,5/4,23,0,
5,5/4,24,0,
5,5/4,25,0,
5,5/4,26,0,
5,5/4,27,0,
5,5/4,28,1,0123041320142310241304210324
5,5/4,29,0,
5,5/4,30,1,014203410231403241302143204123
5,5/4,31,0,
5,5/4,32,1,01324103420143210423140213041234
5,5/4,33,0,
5,5/4,34,0,
5,5/4,35,0,
5,5/4,36,0,
5,5/4,37,0,
5,5/4,38,0,
5,5/4,39,0,
5,5/4,40,1,0123042134023142013241034213024312041324
5,5/4,41,0,
5,5/4,42,0,
5,5/4,43,0,
5,5/4,44,1,01340214320412340132410231403210423012403142
5,5/4,45,1,014203124302134201432104230124310234013204123
5,5/4,46,1,0124031420134023104213024312041324012341032143
5,5/4,47,0,
5,5/4,48,1,014230412031402134201430241032140234120431024132
5,5/4,49,0,
5,5/4,50,1,01230413201423102430123402130412031423012431042134
5,5/4,51,0,
5,5/4,52,1,0123041320142310432140312041324012341032140231042134
5,5/4,53,0,
5,5/4,54,0,
5,5/4,55,0,
5,5/4,56,1,01432041302431203421043201340231420341230421340124310423
5,5/4,57,0,
5,5/4,58,0,
5,5/4,59,0,
5,5/4,60,1,012304210324130214031204321034123042134023104321403124302134
5,5/4,61,1,0132410342014302413204310234120314230124032104312034213041234
5,5/4,62,1,01340214301240321043120342130241032140231042134012304132403142
5,5/4,63,0,
5,5/4,64,1,0123041320142310241304210324012341024312041324031423012431042134
5,5/4,65,1,01342104320142310241320431240321042314021342014321034123014203124
5,5/4,66,1,013204312403214302413201423104321403124302134201432104230124310234
5,5/4,67,1,0124031420134021432041302431203421043201423041203140213420143210423
5,5/4,68,1,01234021304120314230124310234013204123014203124013421032413042310243
5,5/4,69,1,012304132014231024130421032401234102430142310432140312041302431042134
5,5/4,70,1,0134203140213041234013204312403210423140213420312430142310241304210324
5,5/4,71,1,01423104320134210324130214320412340132410231420341230421032401342031243
