n,alpha,m,exists,witness
6,4/3,1,1,0
6,4/3,2,1,01
6,4/3,3,1,012
6,4/3,4,1,0123
6,4/3,5,1,01234
6,4/3,6,1,012034
6,4/3,7,1,0120314
6,4/3,8,1,01203143
6,4/3,9,1,012031023
6,4/3,10,1,0120310213
6,4/3,11,1,01203102134
6,4/3,12,1,012031021324
6,4/3,13,1,0120310213045
6,4/3,14,1,01203102130415
6,4/3,15,1,012031021304154
6,4/3,16,1,0120310213014025
6,4/3,17,1,01203102130140235
6,4/3,18,1,012031021301402315
6,4/3,19,1,0120310213012310324
6,4/3,20,1,01203102130123103214
6,4/3,21,1,012031021301231032045
6,4/3,22,1,0120310213012310320415
6,4/3,23,1,01203102130123103204134
6,4/3,24,1,012031021301231032013024
6,4/3,25,1,0120310213012310320130214
6,4/3,26,1,01203102130123103201302145
6,4/3,27,1,012031021301231032013021034
6,4/3,28,1,0120310213012310320130210345
6,4/3,29,1,01203102130123103201302103415
6,4/3,30,1,012031021301231032013021031425
6,4/3,31,1,0120310213012310320130210312345
6,4/3,32,1,01203102130123103201302103123045
6,4/3,33,1,012031021301231032013021031230415
6,4/3,34,1,0120310213012310320130210312014025
6,4/3,35,1,01203102130123103201302103120140215
6,4/3,36,1,015435245342543245235425345243541345
6,4/3,37,1,0120310213012310320130210312014021324
6,4/3,38,1,01203102130123103201302103120140213245
6,4/3,39,1,012031021301231032013021031201402132045
6,4/3,40,1,0120310213012310320130210312014021304154
6,4/3,41,1,01203102130123103201302103120140213041024
6,4/3,42,1,012031021301231032013021031201402130410234
6,4/3,43,1,0120310213012310320130210312014021301502314
6,4/3,44,1,01203102130123103201302103120140213015023045
6,4/3,45,1,012031021301231032013021031201402130150230425
6,4/3,46,1,0120310213012310320130210312014021301240314215
6,4/3,47,1,01203102130123103201302103120140213012041021425
6,4/3,48,1,012031021301231032013021031201402130120410214035
6,4/3,49,1,0120310213012310320130210312014021301204102140325
6,4/3,50,1,01203102130123103201302103120140213012032102304134
6,4/3,51,1,012031021301231032013021031201402130120321023013245
6,4/3,52,1,0120310213012310320130210312014021301203210230132045
6,4/3,53,1,01203102130123103201302103120140213012031401302103245
6,4/3,54,1,012031021301231032013021031201402130120314013021032045
6,4/3,55,1,0120310213012310320130210312014021301203140130210320415
6,4/3,56,1,01203102130123103201302103120140213012031041230132034025
6,4/3,57,1,012031021301231032013021031201402130120310412301320340215
6,4/3,58,1,0120310213012310320130210312014021301203104123013203402145
6,4/3,59,1,01203102130123103201302103120140213012031023013203401420415
6,4/3,60,1,012031021301231032013021031201402130120310230132034012302145
