n,alpha,m,exists,witness
4,3/2,1,1,0
4,3/2,2,1,01
4,3/2,3,1,012
4,3/2,4,1,0102
4,3/2,5,1,01023
4,3/2,6,1,010203
4,3/2,7,1,0132312
4,3/2,8,1,01020123
4,3/2,9,1,010201213
4,3/2,10,1,0102012103
4,3/2,11,1,01323130321
4,3/2,12,1,012320313231
4,3/2,13,1,0102012101323
4,3/2,14,1,01020121013103
4,3/2,15,1,010201210130203
4,3/2,16,1,0132313032302131
4,3/2,17,1,01323130323021312
4,3/2,18,1,013231303230213203
4,3/2,19,1,0102012101302010313
4,3/2,20,1,01020121013020103123
4,3/2,21,1,010201210130201021203
4,3/2,22,1,0102012101302010212023
4,3/2,23,1,01323012320302130123021
4,3/2,24,1,010201210130201021201323
4,3/2,25,1,0102012101302010212013103
4,3/2,26,1,01232120301230323132030231
4,3/2,27,1,010201210130201021201302103
4,3/2,28,1,0123212031323121310301230321
4,3/2,29,1,01020121013020102120130210123
4,3/2,30,1,010201210130201021201302101203
4,3/2,31,1,0102012101302010212013021012023
4,3/2,32,1,01020121013020102120130210120213
4,3/2,33,1,010201210130201021201302101202123
4,3/2,34,1,0123212031323121310323130321232023
4,3/2,35,1,01020121013020102120130210120212313
4,3/2,36,1,010201210130201021201302101202123103
4,3/2,37,1,0102012101302010212013021012021230203
4,3/2,38,1,01023120210131032012321032310130232103
4,3/2,39,1,012313230212320302321312320231323031203
4,3/2,40,1,0102012101302010212013021012021230120313
4,3/2,41,1,01020121013020102120130210120212301030213
4,3/2,42,1,010201210130201021201302101202123010302313
4,3/2,43,1,0102012101302010212013021012021230102130203
4,3/2,44,1,01213010213202301213120213032101213020313032
4,3/2,45,1,010201210130201021201302101202123010203012313
4,3/2,46,1,0102012101302010212013021012021230102030120213
4,3/2,47,1,01232120323121323020323132123202312032302132313
4,3/2,48,1,012313230212310230323121323021303231203213023203
4,3/2,49,1,0132030213101230131202103132010321312021231320103
4,3/2,50,1,01321202130321231012023121303210230120231013032102
4,3/2,51,1,010201210130201021201302101202123010201213010313203
4,3/2,52,1,0132303212310131203213010212013021312030103212013021
4,3/2,53,1,01020121013020102120130210120212301020121023010302313
4,3/2,54,1,012313230212310232031323031232120231213103230312320302
4,3/2,55,1,0131032012301310212023103212302130321202310301230312102
4,3/2,56,1,01232120323121323020323132123202312132313023202123213021
4,3/2,57,1,010201210130201021201302101202123010201210131020103012313
4,3/2,58,1,0102012101302010212013021012021230102012101310201030120213
4,3/2,59,1,01020121013020102120130210120212301020121013031012021013103
4,3/2,60,1,010201312023101320212321302312013101213203010213032013101213
