n,alpha,m,exists,witness
6,6/5,1,1,0
6,6/5,2,1,01
6,6/5,3,1,012
6,6/5,4,1,0123
6,6/5,5,1,01234
6,6/5,6,1,012345
6,6/5,7,0,
6,6/5,8,0,
6,6/5,9,0,
6,6/5,10,0,
6,6/5,11,0,
6,6/5,12,1,012340513245
6,6/5,13,0,
6,6/5,14,0,
6,6/5,15,0,
6,6/5,16,0,
6,6/5,17,0,
6,6/5,18,0,
6,6/5,19,0,
6,6/5,20,1,01234051320453102435
6,6/5,21,1,014253041520345102435
6,6/5,22,0,
6,6/5,23,0,
6,6/5,24,0,
6,6/5,25,0,
6,6/5,26,0,
6,6/5,27,0,
6,6/5,28,1,0123405132041523014253102435
6,6/5,29,0,
6,6/5,30,0,
6,6/5,31,0,
6,6/5,32,0,
6,6/5,33,0,
6,6/5,34,1,0135421034512304152031450234105324
6,6/5,35,0,
6,6/5,36,0,
6,6/5,37,0,
6,6/5,38,0,
6,6/5,39,1,015423104521305412350142530415234051243
6,6/5,40,1,0152430514203154023510425314052130451234
6,6/5,41,0,
6,6/5,42,1,013420514302153401254310523415032140531245
6,6/5,43,0,
6,6/5,44,1,01524305123450132541023514203154021350412534
6,6/5,45,0,
6,6/5,46,1,0142530412354013245031254302145320154230512435
6,6/5,47,1,01534205143250134521035412053142503415230451324
6,6/5,48,1,015230412503145201342510435214032541305243102534
6,6/5,49,0,
6,6/5,50,1,01452304153240513420154321045231405324150342105432
6,6/5,51,1,012543102451320415302143501234051324503142530415234
6,6/5,52,0,
6,6/5,53,1,01452034125304215032410523401254302153420135240315423
6,6/5,54,1,015420351243052134025310423501245302143520134250314523
6,6/5,55,1,0123450214305241035420153240512304152034510243150421354
6,6/5,56,1,01235042130524103542013452104351240531425034120543102534
6,6/5,57,1,014532104352013425103245012354021534205143250134520315423
6,6/5,58,1,0143521045312405132041523401253042135024315203451230541325
6,6/5,59,0,
6,6/5,60,1,015342051324503125430152340512435021345203154230145320413524
6,6/5,61,1,0123450214352041530245132054312503415204351024530142350413254
6,6/5,62,1,01235402153420514302541320453102435120341502314052130425103245
6,6/5,63,1,015342051324503125430152341025314052130451203415230145320413524
6,6/5,64,1,0134521035412053421504312540321453024150342105431204513240531425
6,6/5,65,1,01324503142530415203451024350142305124031542013524105342150431254
6,6/5,66,1,014235041325401234502135420153240513425014352104531205432150341253
6,6/5,67,1,0125430215342013524031250413205142301543210453124051342015324105234
6,6/5,68,1,01542310452130541203451023540132450312543021534012354102531420351243
6,6/5,69,1,012340513204152301425031240532104351203415023145201354021530425103245
6,6/5,70,1,0142530415234012543021450312405134201543210534120351402315042130541235
6,6/5,71,1,01254032150423105432015340213504123051420315402351043215034120543102453
6,6/5,72,1,012340513204152301425031240532104351203415024310542301524035120453102435
6,6/5,73,1,0123541025314205132401534210352413054231045213402514305241350423154021345
6,6/5,74,1,01352403125430214503241530421354023150432510345213054120351423015432105342
6,6/5,75,1,015230412503142051340215304251032415023451204315240132504123051420354102534
6,6/5,76,1,0143502134520314253041235014320541302451032540135241053421504325140352104532
6,6/5,77,1,01423054132045312405134201532410523401253042135024310542301452031540235104325
6,6/5,78,1,015423105243012534021350423154032145301243510425314023541205342103524130251432
6,6/5,79,1,0123405132041523014250312405321043512034150231405213045123401524310254130521435
6,6/5,80,1,01324510234150321453012435021345203142530412354021534205132401523410532145031254
6,6/5,81,1,012435104231540321450234105324013520431502413054210352401325041235402134520314253
6,6/5,82,1,0123405132041523014250312405321043512034150231452013540215304251340521430254103245
6,6/5,83,1,01234051320415230142503124053210435120341502314520134251043521405312045130254103245
6,6/5,84,1,014532104351240315204135024310523401254302145032415304251034521305412350421530241352
6,6/5,85,1,0123405132041523014250312405321043512034150231405213450124351023415032451304253102435
6,6/5,86,1,01523410254312053421504325103452130425310245132041530214350124531042513024150342105324
6,6/5,87,1,015320413502431520345123041532014350213452031425301243510234501324053120451302543105234
6,6/5,88,1,0123405132041523014250312405321043512034150231405213450123541025314205134021530425103245
6,6/5,89,1,01234051320415230142503124053210435120341502314052130425103245013420531402354120345102435
6,6/5,90,1,013240512345021430524103254012350413205142301524031250432105342013524103251402354120531425
6,6/5,91,1,0142305124350214530125431024513042150324105231402513420153240512304521035412053140235104325
6,6/5,92,1,01432054130251403215430124531025413052431504235102453012540315243051234502135420153240513425
6,6/5,93,1,012350413205143021534201352410325401234502143051240315423014532105431204513240531420354102534
6,6/5,94,1,0153402513042150341205314250132405123450214352041532401354203152430125341023514032150423105432
6,6/5,95,1,01234051320415230142503124053210435120341502314052130425103245013420531240351423054120345102435
6,6/5,96,1,012340513204152301425031240532104351203415023140521304251032415302145031254301524035120453102435
