n,alpha,m,exists,witness
3,7/4,1,1,0
3,7/4,2,1,01
3,7/4,3,1,012
3,7/4,4,1,0102
3,7/4,5,0,
3,7/4,6,1,010212
3,7/4,7,0,
3,7/4,8,1,01210212
3,7/4,9,0,
3,7/4,10,0,
3,7/4,11,1,01020120212
3,7/4,12,1,010212021012
3,7/4,13,1,0102012021012
3,7/4,14,0,
3,7/4,15,1,010212021012102
3,7/4,16,0,
3,7/4,17,0,
3,7/4,18,1,010210120212012102
3,7/4,19,1,0121020102101210212
3,7/4,20,1,01210120102101202102
3,7/4,21,1,012102012021012010212
3,7/4,22,0,
3,7/4,23,1,01210201021012010212021
3,7/4,24,1,010201202101210212021012
3,7/4,25,1,0102012021012010201210212
3,7/4,26,1,01210212021020121021201021
3,7/4,27,1,012010210121021202102012021
3,7/4,28,1,0102012021012010201210120212
3,7/4,29,1,01210120210201021012102120102
3,7/4,30,1,012102010210120212012102012021
3,7/4,31,1,0102012021020121021201210120212
3,7/4,32,1,01210120102101210212012101202102
3,7/4,33,1,012102120210201210212012101201021
3,7/4,34,1,0102120210201021012021201020121012
3,7/4,35,1,01021202101210201021012010201202102
3,7/4,36,1,010201210120212012102120210201021012
3,7/4,37,1,0121021202102012102120121012021201021
3,7/4,38,1,01210120102012021201210201202102010212
3,7/4,39,1,012102120210201021012021020121012010212
3,7/4,40,1,0120210120102101210201202120121021202102
3,7/4,41,1,01210201202120121020102101202102010212021
3,7/4,42,1,012021012102010212021020120212010210120102
3,7/4,43,1,0102120121012010210121021202101201021202102
3,7/4,44,1,01020121021202102010210121021201210201021012
3,7/4,45,1,012021012010212021012102120102012101202120102
3,7/4,46,1,0120212010210120102012021020102101201021202102
3,7/4,47,1,01210201021012010212012102012021020102101210212
3,7/4,48,1,012102120210201202101210212021012010201210120212
3,7/4,49,1,0121021201021012021201210120102012021201210201021
3,7/4,50,1,01202120102012021012010212021012102010212021020121
3,7/4,51,1,012101202102012102120210201021201210201021012010212
3,7/4,52,1,0120102012021201210201021201210120212010201210212021
3,7/4,53,1,01201020120210201021202101210201021012010201210212021
3,7/4,54,1,012101201020120210201210212021012102010212021020120212
3,7/4,55,1,0120212012102120102012101201021012021201210120210201021
3,7/4,56,1,01210212021020121012021201020120210121020102120210120102
3,7/4,57,1,010201210120210201210212010210120210201021201210201021012
3,7/4,58,1,0120212012102120210201202101201020121021202102012101201021
3,7/4,59,1,01021012102120102012101202102010212021012102120102101202102
3,7/4,60,1,012102120102012101202120121020102120210201210212012101201021
3,7/4,61,1,0121020102120210121020102101201021201210212021020102101210212
3,7/4,62,1,01020121012021020120212012102010210120102012102120102012021012
3,7/4,63,1,012010201202102010210121021202102012102120121012010201210212021
3,7/4,64,1,0120102012021201210201021012102120210120102012101202102010212021
3,7/4,65,1,01202120102012101202120102101210201021201210201202101201021012102
3,7/4,66,1,012010201202120102101210201202102010212021012102120102012021020121
3,7/4,67,1,0102101210201202101201020121021202101210201021012021201210212021012
3,7/4,68,1,01202102010212012102120210201210120102120121020102120210201210120102
3,7/4,69,1,012102120102012021012010210121020120210121021202102012021012010212021
3,7/4,70,1,0121021201210120210201202120121021201020121012021201210201202101201021
3,7/4,71,1,01201021201210201202101210212021020121021201210120210201021012102012021
3,7/4,72,1,012021201020120210120102101210201202101210212021012010210121021201020121
3,7/4,73,1,0102101210212021020121012021201020120210121021202101201021201210201202102
3,7/4,74,1,01210212010201210120102120121021202102010212012101202102010210120102012021
3,7/4,75,1,010212021012102120121020120210120102101210201202120102012102120102101202102
3,7/4,76,1,0102012101201021202102010210120212010201202102012101202120121020102101210212
3,7/4,77,1,01020121012010212012101202120102101210212021020120212010201210212010210120212
3,7/4,78,1,012021012102010212012102120210201202101201021202101210212010201210120212012102
3,7/4,79,1,0102120121012021020102120121021202101210201021012021020120212010201210212021012
3,7/4,80,1,01021012010212021020120210121021202101201021201210201021202101210212010201202102
3,7/4,81,1,010212021012102010212012102012021020102101210212012101201020121021202102012021012
3,7/4,82,1,0120210201021202101210201202120121012021020102101202120102101210212012101202120102
3,7/4,83,1,01202120121020102101210201202102010212021012102120102101210201021201210212021012102
3,7/4,84,1,010212021012010201210120210201202120102101201020120212012102010212021012102120121012
3,7/4,85,1,0121012010212012102012021201210120102120210121021201210201202120102101210201021202102
3,7/4,86,1,01202102010212021012102010212012101202120102012102120210120102012021201210201021012102
3,7/4,87,1,012102120210201202120121020102101201021202102010212012102120210201210120212010210120102
3,7/4,88,1,0120212012102120102101201020121012021020121021201021012102120210201210120210201021012102
3,7/4,89,1,01202120102101210212012102010210120212012102120102101210201202102010210120212012102120102
3,7/4,90,1,010201210120102120121012021201021012010201210120212012102012021012010201210212021020120212
3,7/4,91,1,0120212010210121021201210201202101201020121021201021012021020121021201210120102012102120102
3,7/4,92,1,01202101201021201210201021012010212021020121021201020120212012102120102101202102012102120102
3,7/4,93,1,012102120102101202120121020120210201021012010212021020120210120102101210212012101201021202102
3,7/4,94,1,0102012101202120121021202101210201021202102012101201021201210201021012102120121012021201021012
3,7/4,95,1,01201020120210121020102120210201202101210212012102010212021012010201202101210212021020102120121
3,7/4,96,1,012102010212012101201020120212012101202102012101201020120212010210120210201202120102012101201021
3,7/4,97,1,0121020120210121020102120121012010212021020121012010201202120121012010212021012010201202102010212
3,7/4,98,1,01021012102012021201021012102120121012010201210212021012010201202101210201021012021020121021202102
3,7/4,99,1,010201210120102120121021202101210201202120121012010201202102012102120210201021012102012021201210212
3,7/4,100,1,0121012021020120212010210121021202101201021201210201021202101201021012102012021012102120210201210212
3,7/4,101,1,01021012102120210120102012102120121012021020121021201020121012010210121021201210201202102010210120212
3,7/4,102,1,012102012021201210120102120210201202120102101202102010212021012010201202102010210120212010201210212021
3,7/4,103,1,0121021202101201020121012021201210212021012010201202102012102120121012010201202101210201021202102012021
3,7/4,104,1,01202120121012010212021020121012010201202102010212021012102120121012010210120210201021201210212021012102
3,7/4,105,1,010201202120121020102120210201202101201020120212012101201021012021020121021201020121012021201210201021012
